mediator	outcome	n	indirect_product	ci_low	ci_high
"FAP_inflammatory"	"Inflammatory"	17	0.0878324576267886	-0.0960013236282295	0.332422625010599
"Alpha5Beta1_adhesion"	"Inflammatory"	17	0.166233095050242	-0.0816152006416161	0.514880066877982
"Neutrophil_recruitment"	"Inflammatory"	17	0.0543423480338062	-0.108368779549763	0.259893249752743
"OSM_response"	"Inflammatory"	17	0.277623142561548	0.0171143745822709	0.774856967898393
"FAP_inflammatory"	"NET_associated"	17	0.0152730913438461	0.00389988428181166	0.0411441321256753
"Alpha5Beta1_adhesion"	"NET_associated"	17	0.0220229448401648	-0.000194146862152942	0.0497363954802621
"Neutrophil_recruitment"	"NET_associated"	17	0.0112550920896667	-0.000516254648217934	0.0391986640743236
"OSM_response"	"NET_associated"	17	0.0155104429244601	0.000758497976693434	0.03724926914387
"FAP_inflammatory"	"Retention_aging"	17	0.409931315444183	0.199043475903866	0.766911071353746
"Alpha5Beta1_adhesion"	"Retention_aging"	17	0.547196027769656	0.0645262431913902	0.999165988789822
"Neutrophil_recruitment"	"Retention_aging"	17	0.303659654531797	0.0978748336520768	0.668013810590458
"OSM_response"	"Retention_aging"	17	0.363046918390716	0.032986090789476	0.743387248918011
"FAP_inflammatory"	"Survival_immaturity"	17	0.128489011868747	0.0635245557517955	0.255918533615215
"Alpha5Beta1_adhesion"	"Survival_immaturity"	17	0.178718727993027	0.00234552952422387	0.332628462443222
"Neutrophil_recruitment"	"Survival_immaturity"	17	0.096470834168118	0.0459625537543091	0.200554497076137
"OSM_response"	"Survival_immaturity"	17	0.105485950319351	-0.00872673990571539	0.252986686441171
"FAP_inflammatory"	"frac_Neutrophil OSM"	17	-0.00412676817276636	-0.0336440476674131	0.0368169565798024
"Alpha5Beta1_adhesion"	"frac_Neutrophil OSM"	17	0.00831533222783549	-0.0402493299082093	0.0745797173957913
"Neutrophil_recruitment"	"frac_Neutrophil OSM"	17	-0.00581948614326359	-0.0298120833926437	0.0296412668728319
"OSM_response"	"frac_Neutrophil OSM"	17	0.0501857952584257	-0.00135695074206376	0.170556094533462
"FAP_inflammatory"	"frac_Neutrophil PADI4"	17	0.0370089975599099	0.0186765254595509	0.0655836454999151
"Alpha5Beta1_adhesion"	"frac_Neutrophil PADI4"	17	0.0461296977221959	0.000952216007148831	0.097219732698014
"Neutrophil_recruitment"	"frac_Neutrophil PADI4"	17	0.0310966486663688	0.0177585584524325	0.0572058898347318
"OSM_response"	"frac_Neutrophil PADI4"	17	0.021434360140104	-0.0240010608086789	0.0672082022278089
