state,n,effect,se,low,high,p,p_signflip,same_sign,omitted_donor
CXCR4 neutrophil,5,-0.782041808088678,0.468071784658654,-2.08161742348539,0.517533807308038,0.170086721349626,0.1875,4,Donor1
MX1/ISG neutrophil,5,-0.661789751399018,0.526018822021959,-2.12225213504379,0.798672632245759,0.276784430425841,0.3125,4,Donor1
OSM neutrophil,5,0.40176294836915,0.283474935903898,-0.385289649867486,1.18881554660579,0.229366960091652,0.25,3,Donor1
PADI4 neutrophil,5,1.04206861111854,0.335694867500078,0.110030239407931,1.97410698282916,0.0360734759980601,0.0625,5,Donor1
CXCR4 neutrophil,5,-0.963039852101426,0.488318768375847,-2.31883010633476,0.39275040213191,0.119873408958497,0.125,4,Donor2
MX1/ISG neutrophil,5,-0.808598403901596,0.566006360372869,-2.38008399266967,0.762887184866475,0.226316379456581,0.25,4,Donor2
OSM neutrophil,5,0.263900540090849,0.183218588344492,-0.244795812699465,0.772596892881163,0.223192487142627,0.25,3,Donor2
PADI4 neutrophil,5,1.50773771591216,0.378124535437722,0.457895700340909,2.55757973148342,0.016300065109045,0.0625,5,Donor2
CXCR4 neutrophil,5,-0.891346036127197,0.492483231159434,-2.2586986926718,0.476006620417407,0.144563877108908,0.1875,4,Donor3
MX1/ISG neutrophil,5,-0.807573749506655,0.565935057829971,-2.37886137067851,0.763713871665197,0.226753107965239,0.25,4,Donor3
OSM neutrophil,5,0.546196888839882,0.261184938897659,-0.178968756313909,1.27136253399367,0.104685502428529,0.125,4,Donor3
PADI4 neutrophil,5,1.15272289679396,0.422863885926488,-0.021335469451554,2.32678126303948,0.0526602709586216,0.0625,5,Donor3
CXCR4 neutrophil,5,-0.884255868481327,0.492042461471002,-2.25038475218197,0.481873015219311,0.14673053629723,0.1875,4,Donor4
MX1/ISG neutrophil,5,-0.831679433748517,0.566874481536264,-2.40557531327142,0.742216445774381,0.216238825707028,0.25,4,Donor4
OSM neutrophil,5,0.467773232510712,0.287358075667584,-0.330060690115609,1.26560715513703,0.1788887613679,0.25,3,Donor4
PADI4 neutrophil,5,1.24816206971912,0.454247319624248,-0.0130306774008371,2.50935481683909,0.0514929098709654,0.0625,5,Donor4
CXCR4 neutrophil,5,-0.674174564001197,0.401014208646215,-1.78756850071175,0.439219372709354,0.168023342690346,0.1875,4,Donor5
MX1/ISG neutrophil,5,-1.26442988460872,0.209509344556789,-1.84612107879661,-0.682738690420823,0.00380015363849668,0.0625,5,Donor5
OSM neutrophil,5,0.5863227258321,0.231811025893952,-0.0572878623420423,1.22993331400624,0.0647119109076322,0.125,4,Donor5
PADI4 neutrophil,5,1.35228172277781,0.452994522027988,0.094567299411785,2.60999614614383,0.040529685598107,0.0625,5,Donor5
CXCR4 neutrophil,5,-1.2543562795639,0.251460091247318,-1.9525214190601,-0.556191140067688,0.00755279384908581,0.0625,5,Donor6
MX1/ISG neutrophil,5,-0.631981869760275,0.509836021787798,-2.04751359690652,0.783549857385972,0.282887112309156,0.3125,4,Donor6
OSM neutrophil,5,0.409812177431327,0.285180898715475,-0.381976932903162,1.20160128776582,0.224073919361292,0.25,3,Donor6
PADI4 neutrophil,5,1.47652597189284,0.401607283618618,0.361485395078141,2.59156654870753,0.0212684717342847,0.0625,5,Donor6
