DonorID,ConditionCode,state,program,value,cells,version
Donor1,N,PADI4 neutrophil,NETosis,0.595769570254846,3,full_gene
Donor6,N,PADI4 neutrophil,NETosis,0.854122377672267,65,full_gene
Donor6,N,OSM neutrophil,NETosis,-0.226080448739824,563,full_gene
Donor5,NNAMPT,CXCR4 neutrophil,NETosis,-0.0100325235751385,9,full_gene
Donor6,N,CXCR4 neutrophil,NETosis,0.00943103412711232,156,full_gene
Donor2,NNAMPT,OSM neutrophil,NETosis,-0.233972068346509,162,full_gene
Donor6,N,MX1/ISG neutrophil,NETosis,0.188714487500575,17,full_gene
Donor1,N,CXCR4 neutrophil,NETosis,-0.037906137221848,10,full_gene
Donor2,NNAMPT,CXCR4 neutrophil,NETosis,-0.031782309763013,44,full_gene
Donor1,NNAMPT,OSM neutrophil,NETosis,-0.204962253082203,49,full_gene
Donor4,NNAMPT,OSM neutrophil,NETosis,-0.210456496051392,157,full_gene
Donor1,N,OSM neutrophil,NETosis,-0.214691747831476,42,full_gene
Donor5,NNAMPT,OSM neutrophil,NETosis,-0.242659985719399,31,full_gene
Donor4,N,CXCR4 neutrophil,NETosis,-0.00669807765172869,47,full_gene
Donor5,N,CXCR4 neutrophil,NETosis,-0.149070098958569,11,full_gene
Donor4,N,OSM neutrophil,NETosis,-0.165859428329528,168,full_gene
Donor3,N,CXCR4 neutrophil,NETosis,0.0275683542823069,32,full_gene
Donor4,NNAMPT,CXCR4 neutrophil,NETosis,0.0933801378416803,59,full_gene
Donor4,NNAMPT,PADI4 neutrophil,NETosis,1.43166922464803,11,full_gene
Donor4,N,MX1/ISG neutrophil,NETosis,0.248498675256547,7,full_gene
Donor3,N,OSM neutrophil,NETosis,-0.110350708701586,57,full_gene
Donor3,NNAMPT,OSM neutrophil,NETosis,-0.113860365555768,20,full_gene
Donor2,N,OSM neutrophil,NETosis,-0.150761447408512,39,full_gene
Donor3,NNAMPT,CXCR4 neutrophil,NETosis,0.193651255275257,16,full_gene
Donor5,N,OSM neutrophil,NETosis,-0.233898217599006,48,full_gene
Donor2,N,CXCR4 neutrophil,NETosis,-0.150516392534317,8,full_gene
Donor2,NNAMPT,PADI4 neutrophil,NETosis,1.33247100024093,6,full_gene
Donor6,NNAMPT,OSM neutrophil,NETosis,-0.29746213948742,12,full_gene
Donor1,NNAMPT,CXCR4 neutrophil,NETosis,-0.102187124553747,14,full_gene
Donor4,N,PADI4 neutrophil,NETosis,0.778137087096007,12,full_gene
Donor3,N,PADI4 neutrophil,NETosis,1.17968426103299,10,full_gene
