state,program,version,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q
CXCR4 neutrophil,NETosis,full_gene,3,-0.157859764887678,0.0280091048213655,-0.278373216205166,-0.037346313570191,0.0300688168184801,0.25,3,alpha_interaction,10,0.0526204294323402
CXCR4 neutrophil,NETosis,identity_markers_removed,3,-0.135700252368665,0.0149169705597982,-0.199882796467373,-0.0715177082699566,0.0118689965621616,0.25,3,alpha_interaction,10,0.0226996009584249
CXCR4 neutrophil,Degranulation,full_gene,3,0.0830274749600617,0.0636167881202305,-0.190693472103341,0.356748422023465,0.321806589379185,0.5,2,alpha_interaction,10,0.333725351948784
CXCR4 neutrophil,Degranulation,identity_markers_removed,3,0.0830274749600617,0.0636167881202305,-0.190693472103341,0.356748422023465,0.321806589379185,0.5,2,alpha_interaction,10,0.333725351948784
CXCR4 neutrophil,Oxidative_burst,full_gene,3,-0.11681347216988,0.0440610151190423,-0.30639271914736,0.0727657748075998,0.117682083107485,0.25,3,alpha_interaction,10,0.149761137274628
CXCR4 neutrophil,Oxidative_burst,identity_markers_removed,3,-0.11681347216988,0.0440610151190423,-0.30639271914736,0.0727657748075998,0.117682083107485,0.25,3,alpha_interaction,10,0.149761137274628
CXCR4 neutrophil,Phagocytosis,full_gene,3,-0.395876400087854,0.136859404452784,-0.984734890248509,0.192982090072802,0.101623566086019,0.25,3,alpha_interaction,10,0.142272992520427
CXCR4 neutrophil,Phagocytosis,identity_markers_removed,3,-0.395876400087854,0.136859404452784,-0.984734890248509,0.192982090072802,0.101623566086019,0.25,3,alpha_interaction,10,0.142272992520427
CXCR4 neutrophil,Chemotaxis,full_gene,3,-0.258917278433567,0.0733412329697734,-0.574479134674154,0.05664457780702,0.0717128988079634,0.25,3,alpha_interaction,10,0.105682166664367
CXCR4 neutrophil,Chemotaxis,identity_markers_removed,3,-0.293500336584864,0.0804611228042874,-0.639696606257437,0.05269593308771,0.0676204437519659,0.25,3,alpha_interaction,10,0.099651180266055
CXCR4 neutrophil,OSM_inflammation,full_gene,3,-0.269237946444076,0.0389397210672842,-0.436782043589909,-0.101693849298243,0.0202834128060259,0.25,3,alpha_interaction,10,0.0378623705712483
CXCR4 neutrophil,OSM_inflammation,identity_markers_removed,3,-0.239295647088058,0.0374462381456559,-0.400413805864313,-0.0781774883118032,0.023623368843291,0.25,3,alpha_interaction,10,0.0413408954757592
CXCR4 neutrophil,Type_I_interferon,full_gene,3,0.0440289814572506,0.0235962415125023,-0.0574974514983451,0.145555414412846,0.203037126823398,0.5,2,alpha_interaction,10,0.227401582042206
CXCR4 neutrophil,Type_I_interferon,identity_markers_removed,3,0.0474372790801663,0.0311120767669091,-0.0864271829491498,0.181301741109482,0.266822977708111,0.5,2,alpha_interaction,10,0.287347822147196
CXCR4 neutrophil,Immature_granulopoiesis,full_gene,3,0.219953014533796,0.0826603597310796,-0.135705807905206,0.575611836972798,0.11696640132416,0.25,3,alpha_interaction,10,0.149761137274628
CXCR4 neutrophil,Immature_granulopoiesis,identity_markers_removed,3,0.219953014533796,0.0826603597310796,-0.135705807905206,0.575611836972798,0.11696640132416,0.25,3,alpha_interaction,10,0.149761137274628
CXCR4 neutrophil,Survival_antiapoptosis,full_gene,3,-0.300041502084015,0.0274688960024638,-0.41823062245222,-0.181852381715809,0.0082775387402435,0.25,3,alpha_interaction,10,0.0206980613190552
