min_cells_per_patient_condition,program,n_pairs,median_change,p_asymptotic_continuity_corrected,p_exact,q_BH_8_asymptotic,q_BH_8_exact
1,FAP_inflammatory,14,0.4512326225867585,0.0010970505857231026,0.0001220703125,0.0043882023428924105,0.00048828125
1,Alpha5Beta1_adhesion,14,0.1664175475764655,0.0900820575789648,0.090576171875,0.1201094101052864,0.12076822916666667
1,Neutrophil_recruitment,14,0.6329803010975095,0.0010970505857231026,0.0001220703125,0.0043882023428924105,0.00048828125
1,OSM_response,14,0.272845429169637,0.012036948107094771,0.008544921875,0.032098528285586056,0.022786458333333332
1,ECM_remodeling,14,0.19788392296613,0.01705562940659306,0.013427734375,0.03411125881318612,0.02685546875
1,TGFb_response,14,0.033888517988569955,0.18740119200172056,0.1937255859375,0.2141727908591092,0.22140066964285715
1,NFkB_AP1,14,0.434271800233684,0.05164621830780401,0.0494384765625,0.08263394929248642,0.0791015625
1,YAP_mechanotransduction,14,-0.011369376505085016,0.9499444935219997,0.9515380859375,0.9499444935219997,0.9515380859375
5,FAP_inflammatory,9,0.3297570157080612,0.00915168885265007,0.00390625,0.03660675541060028,0.015625
5,Alpha5Beta1_adhesion,9,0.151345782442106,0.2863205967930593,0.30078125,0.3817607957240791,0.4010416666666667
5,Neutrophil_recruitment,9,0.30961857489444655,0.00915168885265007,0.00390625,0.03660675541060028,0.015625
5,OSM_response,9,0.201291248349437,0.07556056752594133,0.07421875,0.15112113505188265,0.1484375
5,ECM_remodeling,9,0.2126518477583601,0.0580240199462214,0.0546875,0.15112113505188265,0.14583333333333334
5,TGFb_response,9,0.038235019781230006,0.19251757243647138,0.203125,0.3080281158983542,0.325
5,NFkB_AP1,9,0.06115409183735987,0.40694121691803053,0.42578125,0.46507567647774917,0.48660714285714285
5,YAP_mechanotransduction,9,-0.02675367026884401,0.7222829627161922,0.734375,0.7222829627161922,0.734375
10,FAP_inflammatory,6,0.2205602099873231,0.036031686218233584,0.03125,0.14412674487293434,0.125
10,Alpha5Beta1_adhesion,6,0.18341896084917195,0.1422132419363924,0.15625,0.22754118709822785,0.25
10,Neutrophil_recruitment,6,0.20402338218341476,0.036031686218233584,0.03125,0.14412674487293434,0.125
10,OSM_response,6,0.272845429169637,0.09349248368983565,0.09375,0.1869849673796713,0.1875
10,ECM_remodeling,6,0.36034352730568,0.09349248368983565,0.09375,0.1869849673796713,0.1875
10,TGFb_response,6,0.06785214716184806,0.2084128036841486,0.21875,0.2778837382455315,0.2916666666666667
10,NFkB_AP1,6,0.15807415158720353,0.6749867139704893,0.6875,0.7714133873948449,0.7857142857142857
10,YAP_mechanotransduction,6,-0.011369376505085016,0.833935414088552,0.84375,0.833935414088552,0.84375
20,FAP_inflammatory,5,0.3297570157080612,0.05905822909053671,0.0625,0.16903268672300306,0.2
20,Alpha5Beta1_adhesion,5,0.2154921392562379,0.10564542920187692,0.125,0.16903268672300306,0.2
20,Neutrophil_recruitment,5,0.30961857489444655,0.05905822909053671,0.0625,0.16903268672300306,0.2
20,OSM_response,5,0.324177072276577,0.10564542920187692,0.125,0.16903268672300306,0.2
20,ECM_remodeling,5,0.4958561839974098,0.10564542920187692,0.125,0.16903268672300306,0.2
20,TGFb_response,5,0.07428545671209008,0.2807126652684958,0.3125,0.37428355369132776,0.4166666666666667
20,NFkB_AP1,5,0.33007863837766804,0.5896385516265672,0.625,0.5896385516265672,0.625
20,YAP_mechanotransduction,5,0.004014917258673978,0.5896385516265672,0.625,0.5896385516265672,0.625
