"program","gene","present","state_marker"
"Recruitment_migration","CXCR1",TRUE,FALSE
"Recruitment_migration","CXCR2",TRUE,FALSE
"Recruitment_migration","FPR1",TRUE,FALSE
"Recruitment_migration","FPR2",TRUE,FALSE
"Recruitment_migration","SELL",TRUE,FALSE
"Recruitment_migration","ITGAM",TRUE,FALSE
"Recruitment_migration","ITGB2",TRUE,FALSE
"Retention_aging","CXCR4",TRUE,TRUE
"Retention_aging","ICAM1",TRUE,FALSE
"Retention_aging","CD44",TRUE,FALSE
"Retention_aging","SELL",TRUE,FALSE
"Retention_aging","BCL2A1",TRUE,FALSE
"Degranulation","MMP8",TRUE,FALSE
"Degranulation","MMP9",TRUE,FALSE
"Degranulation","ELANE",TRUE,FALSE
"Degranulation","CTSG",TRUE,FALSE
"Degranulation","AZU1",TRUE,FALSE
"Degranulation","LTF",TRUE,FALSE
"Degranulation","DEFA3",TRUE,FALSE
"Degranulation","OLFM4",TRUE,FALSE
"NET_associated","PADI4",TRUE,TRUE
"NET_associated","MPO",TRUE,FALSE
"NET_associated","ELANE",TRUE,FALSE
"NET_associated","CTSG",TRUE,FALSE
"NET_associated","HIST1H2AC",TRUE,FALSE
"NET_associated","HIST1H4C",TRUE,FALSE
"Oxidative_burst","CYBA",TRUE,FALSE
"Oxidative_burst","CYBB",TRUE,FALSE
"Oxidative_burst","NCF1",TRUE,FALSE
"Oxidative_burst","NCF2",TRUE,FALSE
"Oxidative_burst","NCF4",TRUE,FALSE
"Oxidative_burst","RAC2",TRUE,FALSE
"Inflammatory","OSM",TRUE,TRUE
"Inflammatory","IL1B",TRUE,FALSE
"Inflammatory","TNF",TRUE,FALSE
"Inflammatory","PTGS2",TRUE,FALSE
"Inflammatory","NFKBIA",TRUE,FALSE
"Inflammatory","CXCL8",TRUE,FALSE
"Interferon","MX1",TRUE,TRUE
"Interferon","ISG15",TRUE,FALSE
"Interferon","IFIT1",TRUE,FALSE
"Interferon","IFIT2",TRUE,FALSE
"Interferon","IFIT3",TRUE,FALSE
"Interferon","IFI6",TRUE,FALSE
"Interferon","OAS1",TRUE,FALSE
"Survival_immaturity","CSF3R",TRUE,FALSE
"Survival_immaturity","BCL2A1",TRUE,FALSE
"Survival_immaturity","OLFM4",TRUE,FALSE
"Survival_immaturity","LCN2",TRUE,FALSE
"Survival_immaturity","LTF",TRUE,FALSE
"Survival_immaturity","MPO",TRUE,FALSE
"Survival_immaturity","ELANE",TRUE,FALSE
"Tissue_injury","MMP8",TRUE,FALSE
"Tissue_injury","MMP9",TRUE,FALSE
"Tissue_injury","S100A8",TRUE,FALSE
"Tissue_injury","S100A9",TRUE,FALSE
"Tissue_injury","LCN2",TRUE,FALSE
"Tissue_injury","CTSG",TRUE,FALSE
"Tissue_injury","ELANE",TRUE,FALSE
