"PatientID","condition","biopsy_id","neut_state","cell","OSM","CXCR4","PADI4","MX1","IL1B","CXCL8","NFKBIA","CXCR2","FPR1","ITGAM","ICAM1","CD44","BCL2A1","MMP9","ELANE","LTF","CYBB","NCF2","RAC2","ISG15","IFIT3","IFI6"
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil PADI4","SAM24406426_264619",0,0,0,0,2.76260971935275,0,2.76260971935275,3.18210022848627,0,2.76260971935275,0,0,2.76260971935275,3.53398586789084,0,0,0,2.76260971935275,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_701911",0,0,0,0,0,3.07265757635476,3.46199542384573,3.07265757635476,3.46199542384573,0,0,0,3.07265757635476,0,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_99205",0,0,0,0,0,0,0,3.3543534099914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil PADI4","SAM24406426_602144",0,0,0,0,3.33236201604088,3.33236201604088,0,0,0,0,0,0,3.33236201604088,3.69647461249501,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_781622",0,3.82113852132017,0,0,3.82113852132017,3.9967965485631,3.46955157658766,0,3.46955157658766,0,0,0,0,0,0,0,0,3.46955157658766,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_773052",0,0,0,0,3.94889871073006,3.94889871073006,3.76496270671905,0,3.76496270671905,0,0,0,3.3974701154484,0,0,0,3.3974701154484,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil PADI4","SAM24406426_120675",0,0,0,0,0,3.69014638008782,0,3.69014638008782,3.69014638008782,0,0,0,3.32135736246304,0,0,0,3.32135736246304,3.69014638008782,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_836730",0,0,0,0,0,0,4.07780619229792,0,0,0,0,0,3.7528836130244,0,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_438158",0,0,0,0,3.8124897333878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_645120",0,0,0,0,0,0,0,0,3.6231464784403,0,0,0,3.6231464784403,0,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil PADI4","SAM24406426_461834",0,0,0,0,0,0,0,0,3.79772456337389,3.43900760654587,0,0,3.43900760654587,0,0,0,0,3.43900760654587,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_346166",0,0,0,0,0,0,0,0,3.8670571050831,3.52086114858656,0,3.52086114858656,3.52086114858656,0,0,0,0,0,3.52086114858656,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil PADI4","SAM24406426_450271",0,0,0,0,3.42847568163194,3.96560901415495,3.42847568163194,0,3.42847568163194,0,0,0,0,3.78657021095469,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_391626",0,0,0,0,3.61304803859598,0,0,0,0,0,0,0,0,0,0,0,0,3.61304803859598,3.61304803859598,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_352877",0,0,0,0,4.00830098004315,4.00830098004315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil PADI4","SAM24406426_123525",0,0,0,0,4.10118733315092,3.92884468835686,3.58354492775118,3.58354492775118,0,0,0,3.58354492775118,3.58354492775118,0,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_724969",0,0,0,0,0,4.18617217323651,3.69475349645978,0,3.69475349645978,0,0,0,0,0,0,0,3.69475349645978,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil PADI4","SAM24406426_63232",0,0,0,0,0,0,4.27399067989676,0,3.65608238703296,0,0,0,3.65608238703296,3.65608238703296,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_838647",0,0,0,0,0,0,3.69632498923037,0,0,0,0,3.69632498923037,0,0,0,0,0,3.69632498923037,3.69632498923037,0,3.69632498923037,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_575250",0,0,0,0,0,0,0,0,0,4.00002131947223,0,4.00002131947223,0,0,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil PADI4","SAM24406426_86519",0,0,3.73515680162834,0,0,3.73515680162834,4.2173001562987,0,4.05685707825817,3.73515680162834,0,0,0,0,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_674712",0,4.09175445272424,0,0,3.76810237115764,4.43187101338334,0,4.09175445272424,0,0,0,0,0,0,0,0,0,3.76810237115764,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_755599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94276575421919,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_107313",0,0,0,0,0,0,0,0,0,0,0,0,4.01451553998971,0,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_843081",0,0,0,0,0,0,0,0,3.91110914886764,0,0,0,0,3.91110914886764,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil lowRNA","SAM24406426_359408",0,0,0,0,4.00031898194719,0,0,0,0,0,0,0,4.00031898194719,0,0,0,0,0,0,0,4.00031898194719,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil OSM","SAM24406426_206008",0,0,0,0,4.03519432403539,4.58675939710343,4.58675939710343,0,0,0,0,0,4.03519432403539,0,0,0,0,0,0,0,0,0
"P007","Uninflamed UC","P007__Uninflamed UC","Neutrophil OSM","SAM24406426_244132",3.96520090397754,0,0,0,0,0,0,3.96520090397754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P007","Inflamed UC","P007__Inflamed UC","Neutrophil lowRNA","SAM24406427_465468",0,0,0,0,4.4808004379441,3.56850312200255,3.41583491773013,0,0,0,3.41583491773013,2.72409288523931,3.41583491773013,0,0,0,0,2.72409288523931,0,0,0,0
"P007","Inflamed UC","P007__Inflamed UC","Neutrophil lowRNA","SAM24406427_710444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P007","Inflamed UC","P007__Inflamed UC","Neutrophil lowRNA","SAM24406427_873311",0,0,0,0,0,4.24582935422257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
