variant,min_cells_per_state,n_complete_patients,program,highest_mean_state,q_BH_all_9_programs,correlation_with_primary_4_state_profile
Original,10,12,Recruitment_migration,Neutrophil PADI4,6.210256640819649e-06,0.9995010095202136
Original,10,12,Retention_aging,Neutrophil MX1,9.682853354117923e-05,0.41879181394951354
Original,10,12,Degranulation,Neutrophil PADI4,0.0002369982071871208,0.9987345870885302
Original,10,12,NET_associated,Neutrophil PADI4,9.682853354117923e-05,0.996683748386837
Original,10,12,Oxidative_burst,Neutrophil PADI4,0.00010260345745293569,0.9978044587201425
Original,10,12,Inflammatory,Neutrophil OSM,9.425238678970858e-06,0.983345834916371
Original,10,12,Interferon,Neutrophil MX1,9.446914675558077e-06,0.9996893136956508
Original,10,12,Survival_immaturity,Neutrophil OSM,9.682853354117923e-05,0.9999188528195971
Original,10,12,Tissue_injury,Neutrophil PADI4,1.1510788227329053e-06,0.9995314970007062
Original,20,11,Recruitment_migration,Neutrophil PADI4,1.221450877803901e-05,1.0
Original,20,11,Retention_aging,Neutrophil MX1,0.0001705871498790398,0.43644973396137815
Original,20,11,Degranulation,Neutrophil PADI4,0.0001772672770493718,0.9999999999999999
Original,20,11,NET_associated,Neutrophil PADI4,1.701750845262078e-05,0.9919493750064694
Original,20,11,Oxidative_burst,Neutrophil PADI4,0.0001284744612784166,1.0
Original,20,11,Inflammatory,Neutrophil OSM,1.221450877803901e-05,0.9861663081796558
Original,20,11,Interferon,Neutrophil MX1,1.701750845262078e-05,0.999845528814938
Original,20,11,Survival_immaturity,Neutrophil OSM,5.5511990958680684e-05,0.9999999999999999
Original,20,11,Tissue_injury,Neutrophil PADI4,4.922551755696137e-06,0.9999999999999999
Original,50,10,Recruitment_migration,Neutrophil PADI4,4.20985996388846e-05,0.9998352508124844
Original,50,10,Retention_aging,Neutrophil MX1,0.00041548115593381685,0.43784069421603533
Original,50,10,Degranulation,Neutrophil PADI4,0.00041548115593381685,0.9999370883560079
Original,50,10,NET_associated,Neutrophil PADI4,5.0461559792497096e-05,0.9915159831385033
Original,50,10,Oxidative_burst,Neutrophil PADI4,0.00041548115593381685,0.9994137411291769
Original,50,10,Inflammatory,Neutrophil OSM,5.003020084019845e-05,0.9918282021344929
Original,50,10,Interferon,Neutrophil MX1,5.0461559792497096e-05,0.9998604542315178
Original,50,10,Survival_immaturity,Neutrophil OSM,0.00021035349984126366,0.9999661614878985
Original,50,10,Tissue_injury,Neutrophil PADI4,2.0950259326158377e-05,0.999904062186108
Marker-excluded,10,12,Recruitment_migration,Neutrophil PADI4,5.8104488111985534e-06,0.9995010095202136
Marker-excluded,10,12,Retention_aging,Neutrophil OSM,5.8104488111985534e-06,0.9994990788126367
Marker-excluded,10,12,Degranulation,Neutrophil PADI4,0.0002666229830855109,0.9987345870885302
Marker-excluded,10,12,NET_associated,Neutrophil PADI4,0.006423057576577902,0.9688116086726178
Marker-excluded,10,12,Oxidative_burst,Neutrophil PADI4,0.0001172610942319265,0.9978044587201425
Marker-excluded,10,12,Inflammatory,Neutrophil OSM,8.576714093656323e-06,0.9961540278178617
Marker-excluded,10,12,Interferon,Neutrophil MX1,1.3489052318733536e-05,0.9998646548385387
Marker-excluded,10,12,Survival_immaturity,Neutrophil OSM,9.784668304534505e-05,0.9999188528195971
Marker-excluded,10,12,Tissue_injury,Neutrophil PADI4,1.1510788227329053e-06,0.9995314970007062
Marker-excluded,20,11,Recruitment_migration,Neutrophil PADI4,1.3352659084758441e-05,1.0
Marker-excluded,20,11,Retention_aging,Neutrophil OSM,1.5513122369608738e-05,1.0
Marker-excluded,20,11,Degranulation,Neutrophil PADI4,0.00019942568668054327,0.9999999999999999
Marker-excluded,20,11,NET_associated,Neutrophil PADI4,0.0015572918296478254,1.0
Marker-excluded,20,11,Oxidative_burst,Neutrophil PADI4,0.0001284744612784166,0.9999999999999998
Marker-excluded,20,11,Inflammatory,Neutrophil OSM,1.5513122369608738e-05,1.0
Marker-excluded,20,11,Interferon,Neutrophil MX1,2.7310556025439817e-05,1.0
Marker-excluded,20,11,Survival_immaturity,Neutrophil OSM,5.5511990958680684e-05,0.9999999999999999
Marker-excluded,20,11,Tissue_injury,Neutrophil PADI4,4.922551755696137e-06,0.9999999999999999
Marker-excluded,50,10,Recruitment_migration,Neutrophil PADI4,4.20985996388846e-05,0.9998352508124844
Marker-excluded,50,10,Retention_aging,Neutrophil OSM,5.305416582541284e-05,0.9984863222825799
Marker-excluded,50,10,Degranulation,Neutrophil PADI4,0.00037069959318386455,0.9999370883560079
Marker-excluded,50,10,NET_associated,Neutrophil PADI4,0.00018030299986394028,0.999405326586549
Marker-excluded,50,10,Oxidative_burst,Neutrophil PADI4,0.00037069959318386455,0.9994137411291769
Marker-excluded,50,10,Inflammatory,Neutrophil OSM,5.305416582541284e-05,0.9991519941945376
Marker-excluded,50,10,Interferon,Neutrophil MX1,9.509106932340586e-05,0.9999642325241841
Marker-excluded,50,10,Survival_immaturity,Neutrophil OSM,0.00018030299986394028,0.9999661614878985
Marker-excluded,50,10,Tissue_injury,Neutrophil PADI4,2.0950259326158377e-05,0.999904062186108
