"compartment","program","gene"
"Fibroblast","FAP_inflammatory","FAP"
"Fibroblast","FAP_inflammatory","PDPN"
"Fibroblast","FAP_inflammatory","CXCL1"
"Fibroblast","FAP_inflammatory","CXCL5"
"Fibroblast","FAP_inflammatory","CXCL6"
"Fibroblast","FAP_inflammatory","CXCL8"
"Fibroblast","FAP_inflammatory","CSF3"
"Fibroblast","FAP_inflammatory","IL6"
"Fibroblast","FAP_inflammatory","ICAM1"
"Fibroblast","Alpha5Beta1_adhesion","ITGA5"
"Fibroblast","Alpha5Beta1_adhesion","ITGB1"
"Fibroblast","Alpha5Beta1_adhesion","FN1"
"Fibroblast","Alpha5Beta1_adhesion","PTK2"
"Fibroblast","Alpha5Beta1_adhesion","SRC"
"Fibroblast","Alpha5Beta1_adhesion","PXN"
"Fibroblast","Alpha5Beta1_adhesion","VCL"
"Fibroblast","Alpha5Beta1_adhesion","TLN1"
"Fibroblast","Alpha5Beta1_adhesion","ACTN1"
"Fibroblast","Alpha5Beta1_adhesion","RHOA"
"Fibroblast","Alpha5Beta1_adhesion","ROCK1"
"Fibroblast","Alpha5Beta1_adhesion","MYL9"
"Fibroblast","Neutrophil_recruitment","CXCL1"
"Fibroblast","Neutrophil_recruitment","CXCL2"
"Fibroblast","Neutrophil_recruitment","CXCL3"
"Fibroblast","Neutrophil_recruitment","CXCL5"
"Fibroblast","Neutrophil_recruitment","CXCL6"
"Fibroblast","Neutrophil_recruitment","CXCL8"
"Fibroblast","Neutrophil_recruitment","CSF3"
"Fibroblast","OSM_response","OSMR"
"Fibroblast","OSM_response","LIFR"
"Fibroblast","OSM_response","IL6ST"
"Fibroblast","OSM_response","STAT3"
"Fibroblast","OSM_response","SOCS3"
"Fibroblast","OSM_response","CEBPD"
"Fibroblast","OSM_response","JUNB"
"Fibroblast","OSM_response","FOSL2"
"Fibroblast","OSM_response","CXCL1"
"Fibroblast","OSM_response","CXCL8"
"Fibroblast","ECM_remodeling","COL1A1"
"Fibroblast","ECM_remodeling","COL1A2"
"Fibroblast","ECM_remodeling","COL3A1"
"Fibroblast","ECM_remodeling","COL5A1"
"Fibroblast","ECM_remodeling","COL6A1"
"Fibroblast","ECM_remodeling","FN1"
"Fibroblast","ECM_remodeling","POSTN"
"Fibroblast","ECM_remodeling","MMP2"
"Fibroblast","ECM_remodeling","MMP3"
"Fibroblast","ECM_remodeling","MMP14"
"Fibroblast","ECM_remodeling","TIMP1"
"Fibroblast","TGFb_response","TGFBR1"
"Fibroblast","TGFb_response","TGFBR2"
"Fibroblast","TGFb_response","SMAD2"
"Fibroblast","TGFb_response","SMAD3"
"Fibroblast","TGFb_response","SERPINE1"
"Fibroblast","TGFb_response","CTGF"
"Fibroblast","TGFb_response","COL1A1"
"Fibroblast","TGFb_response","COL3A1"
"Fibroblast","NFkB_AP1","NFKBIA"
"Fibroblast","NFkB_AP1","NFKB1"
"Fibroblast","NFkB_AP1","RELA"
"Fibroblast","NFkB_AP1","TNFAIP3"
"Fibroblast","NFkB_AP1","JUN"
"Fibroblast","NFkB_AP1","JUNB"
"Fibroblast","NFkB_AP1","FOS"
"Fibroblast","NFkB_AP1","FOSB"
"Fibroblast","NFkB_AP1","ATF3"
"Fibroblast","YAP_mechanotransduction","YAP1"
"Fibroblast","YAP_mechanotransduction","WWTR1"
"Fibroblast","YAP_mechanotransduction","TEAD1"
"Fibroblast","YAP_mechanotransduction","CTGF"
"Fibroblast","YAP_mechanotransduction","CYR61"
"Fibroblast","YAP_mechanotransduction","ANKRD1"
"Fibroblast","YAP_mechanotransduction","AMOTL2"
