region_id,group,cells,eligible_cells,neutrophils,eligible_neutrophils,edge_cells
P01,Control,6708,6617,85,85,81
P02,Control,7442,7228,144,142,192
P03,Control,13226,13101,252,248,85
P04,Control,7354,7081,129,127,238
P05,Control,12550,12418,256,251,79
P06,Control,11321,10985,385,374,277
P07,UC_Inflamed,18361,18159,539,531,147
P08,UC_Inflamed,12665,12568,619,614,77
P09,UC_Inflamed,3235,3138,647,636,74
P10,UC_Inflamed,10454,10369,952,941,57
P11,UC_Inflamed,9900,9736,475,472,148
P12,UC_Inflamed,16842,16694,2974,2903,74
P13,UC_Inflamed,14729,14436,2758,2702,237
P14,UC_Inflamed,9763,9538,1003,983,162
P15,UC_Inflamed,9140,8936,961,953,170
P16,UC_Noninflamed,9767,9603,46,44,138
P17,UC_Noninflamed,12265,12054,79,77,168
P18,UC_Noninflamed,5817,5607,46,44,169
P19,UC_Noninflamed,10687,10382,32,32,280
P20,UC_Noninflamed,7423,7191,36,33,206
P21,UC_Noninflamed,4181,4056,10,10,114
P22,UC_Noninflamed,4850,4572,93,85,266
P23,UC_Noninflamed,19124,18817,1754,1694,268
P24,UC_Noninflamed,7216,7111,631,596,92
