region_id,group,CN,name,cells,total_cells,tissue_fraction,neutrophils,total_neutrophils,neutrophil_fraction
P01,Control,CN1,Epithelial / Fibroblast,387,6708,0.057692307692307696,12,85,0.1411764705882353
P01,Control,CN2,Fibroblast / Epithelial,109,6708,0.016249254621347645,10,85,0.11764705882352941
P01,Control,CN3,Neutrophil / Fibroblast,4,6708,0.0005963029218843172,0,85,0.0
P01,Control,CN4,CD4 T / Fibroblast,3178,6708,0.47376267143709005,33,85,0.38823529411764707
P01,Control,CN5,CD4 T / Macrophage,1310,6708,0.1952892069171139,4,85,0.047058823529411764
P01,Control,CN6,Plasma B / Macrophage,1629,6708,0.2428443649373882,26,85,0.3058823529411765
P01,Control,U,Unassigned / boundary,91,6708,0.013565891472868217,0,85,0.0
P02,Control,CN1,Epithelial / Fibroblast,825,7442,0.11085729642569202,5,144,0.034722222222222224
P02,Control,CN2,Fibroblast / Epithelial,172,7442,0.023112066648750335,0,144,0.0
P02,Control,CN3,Neutrophil / Fibroblast,50,7442,0.0067186240257995165,7,144,0.04861111111111111
P02,Control,CN4,CD4 T / Fibroblast,3424,7442,0.46009137328675087,49,144,0.3402777777777778
P02,Control,CN5,CD4 T / Macrophage,1086,7442,0.14592851384036548,2,144,0.013888888888888888
P02,Control,CN6,Plasma B / Macrophage,1671,7442,0.22453641494221982,79,144,0.5486111111111112
P02,Control,U,Unassigned / boundary,214,7442,0.02875571083042193,2,144,0.013888888888888888
P03,Control,CN1,Epithelial / Fibroblast,1068,13226,0.08075003780432481,41,252,0.1626984126984127
P03,Control,CN2,Fibroblast / Epithelial,825,13226,0.062377135944352034,21,252,0.08333333333333333
P03,Control,CN3,Neutrophil / Fibroblast,40,13226,0.0030243459851807047,5,252,0.01984126984126984
P03,Control,CN4,CD4 T / Fibroblast,5400,13226,0.40828670799939515,126,252,0.5
P03,Control,CN5,CD4 T / Macrophage,2527,13226,0.19106305761379103,4,252,0.015873015873015872
P03,Control,CN6,Plasma B / Macrophage,3241,13226,0.24504763344926658,51,252,0.20238095238095238
P03,Control,U,Unassigned / boundary,125,13226,0.009451081203689702,4,252,0.015873015873015872
P04,Control,CN1,Epithelial / Fibroblast,272,7354,0.03698667391895567,6,129,0.046511627906976744
P04,Control,CN2,Fibroblast / Epithelial,540,7354,0.07342942616263258,14,129,0.10852713178294573
P04,Control,CN3,Neutrophil / Fibroblast,6,7354,0.0008158825129181398,0,129,0.0
P04,Control,CN4,CD4 T / Fibroblast,3723,7354,0.5062550992657058,74,129,0.5736434108527132
P04,Control,CN5,CD4 T / Macrophage,1353,7354,0.18398150666304053,5,129,0.03875968992248062
P04,Control,CN6,Plasma B / Macrophage,1187,7354,0.161408757138972,28,129,0.21705426356589147
P04,Control,U,Unassigned / boundary,273,7354,0.03712265433777536,2,129,0.015503875968992248
P05,Control,CN1,Epithelial / Fibroblast,1147,12550,0.09139442231075698,70,256,0.2734375
P05,Control,CN2,Fibroblast / Epithelial,1698,12550,0.1352988047808765,5,256,0.01953125
P05,Control,CN3,Neutrophil / Fibroblast,160,12550,0.012749003984063745,33,256,0.12890625
P05,Control,CN4,CD4 T / Fibroblast,4342,12550,0.3459760956175299,63,256,0.24609375
P05,Control,CN5,CD4 T / Macrophage,3102,12550,0.24717131474103585,48,256,0.1875
P05,Control,CN6,Plasma B / Macrophage,1969,12550,0.15689243027888447,32,256,0.125
P05,Control,U,Unassigned / boundary,132,12550,0.01051792828685259,5,256,0.01953125
P06,Control,CN1,Epithelial / Fibroblast,913,11321,0.08064658599063687,48,385,0.12467532467532468
P06,Control,CN2,Fibroblast / Epithelial,762,11321,0.06730854164826429,8,385,0.02077922077922078
P06,Control,CN3,Neutrophil / Fibroblast,104,11321,0.009186467626534758,17,385,0.04415584415584416
P06,Control,CN4,CD4 T / Fibroblast,4652,11321,0.4109177634484586,174,385,0.45194805194805193
P06,Control,CN5,CD4 T / Macrophage,1974,11321,0.1743662220651886,22,385,0.05714285714285714
P06,Control,CN6,Plasma B / Macrophage,2580,11321,0.22789506227365075,105,385,0.2727272727272727
P06,Control,U,Unassigned / boundary,336,11321,0.02967935694726614,11,385,0.02857142857142857
P07,UC_Inflamed,CN1,Epithelial / Fibroblast,2949,18361,0.16061216709329557,92,539,0.17068645640074212
P07,UC_Inflamed,CN2,Fibroblast / Epithelial,197,18361,0.010729263112030936,4,539,0.0074211502782931356
P07,UC_Inflamed,CN3,Neutrophil / Fibroblast,324,18361,0.017646097707096565,72,539,0.13358070500927643
P07,UC_Inflamed,CN4,CD4 T / Fibroblast,2948,18361,0.1605577038287675,68,539,0.1261595547309833
P07,UC_Inflamed,CN5,CD4 T / Macrophage,2902,18361,0.15805239366047602,15,539,0.027829313543599257
P07,UC_Inflamed,CN6,Plasma B / Macrophage,8839,18361,0.48140079516366213,280,539,0.5194805194805194
P07,UC_Inflamed,U,Unassigned / boundary,202,18361,0.011001579434671314,8,539,0.014842300556586271
P08,UC_Inflamed,CN1,Epithelial / Fibroblast,3471,12665,0.27406237662850375,30,619,0.048465266558966075
P08,UC_Inflamed,CN2,Fibroblast / Epithelial,268,12665,0.021160679036715358,2,619,0.0032310177705977385
P08,UC_Inflamed,CN3,Neutrophil / Fibroblast,898,12665,0.07090406632451639,464,619,0.7495961227786753
P08,UC_Inflamed,CN4,CD4 T / Fibroblast,797,12665,0.06292933280694828,13,619,0.0210016155088853
P08,UC_Inflamed,CN5,CD4 T / Macrophage,609,12665,0.04808527437820766,4,619,0.006462035541195477
P08,UC_Inflamed,CN6,Plasma B / Macrophage,6525,12665,0.5151993683379392,101,619,0.1631663974151858
P08,UC_Inflamed,U,Unassigned / boundary,97,12665,0.007658902487169364,5,619,0.008077544426494346
P09,UC_Inflamed,CN1,Epithelial / Fibroblast,212,3235,0.06553323029366306,14,647,0.021638330757341576
P09,UC_Inflamed,CN2,Fibroblast / Epithelial,7,3235,0.0021638330757341576,0,647,0.0
P09,UC_Inflamed,CN3,Neutrophil / Fibroblast,919,3235,0.28408037094281297,475,647,0.7341576506955177
P09,UC_Inflamed,CN4,CD4 T / Fibroblast,51,3235,0.015765069551777436,7,647,0.010819165378670788
P09,UC_Inflamed,CN5,CD4 T / Macrophage,254,3235,0.078516228748068,20,647,0.030911901081916538
P09,UC_Inflamed,CN6,Plasma B / Macrophage,1695,3235,0.5239567233384853,120,647,0.18547140649149924
P09,UC_Inflamed,U,Unassigned / boundary,97,3235,0.029984544049459043,11,647,0.017001545595054096
P10,UC_Inflamed,CN1,Epithelial / Fibroblast,351,10454,0.03357566481729481,20,952,0.02100840336134454
P10,UC_Inflamed,CN2,Fibroblast / Epithelial,498,10454,0.04763726803137555,22,952,0.023109243697478993
P10,UC_Inflamed,CN3,Neutrophil / Fibroblast,1234,10454,0.11804094126650086,590,952,0.6197478991596639
P10,UC_Inflamed,CN4,CD4 T / Fibroblast,4713,10454,0.45083221733307827,163,952,0.17121848739495799
P10,UC_Inflamed,CN5,CD4 T / Macrophage,807,10454,0.07719533193036159,19,952,0.01995798319327731
P10,UC_Inflamed,CN6,Plasma B / Macrophage,2766,10454,0.26458771762004973,127,952,0.1334033613445378
P10,UC_Inflamed,U,Unassigned / boundary,85,10454,0.0081308590013392,11,952,0.011554621848739496
P11,UC_Inflamed,CN1,Epithelial / Fibroblast,389,9900,0.039292929292929296,13,475,0.02736842105263158
P11,UC_Inflamed,CN2,Fibroblast / Epithelial,291,9900,0.029393939393939392,3,475,0.00631578947368421
P11,UC_Inflamed,CN3,Neutrophil / Fibroblast,722,9900,0.07292929292929293,339,475,0.7136842105263158
P11,UC_Inflamed,CN4,CD4 T / Fibroblast,4679,9900,0.4726262626262626,44,475,0.09263157894736843
P11,UC_Inflamed,CN5,CD4 T / Macrophage,1517,9900,0.15323232323232322,20,475,0.042105263157894736
P11,UC_Inflamed,CN6,Plasma B / Macrophage,2138,9900,0.21595959595959596,53,475,0.11157894736842106
P11,UC_Inflamed,U,Unassigned / boundary,164,9900,0.016565656565656565,3,475,0.00631578947368421
P12,UC_Inflamed,CN1,Epithelial / Fibroblast,1419,16842,0.08425365158532241,72,2974,0.0242098184263618
P12,UC_Inflamed,CN2,Fibroblast / Epithelial,587,16842,0.03485334283339271,27,2974,0.009078681909885675
P12,UC_Inflamed,CN3,Neutrophil / Fibroblast,3217,16842,0.1910105688160551,2479,2974,0.8335574983187626
P12,UC_Inflamed,CN4,CD4 T / Fibroblast,7105,16842,0.42186201163757275,176,2974,0.05917955615332885
P12,UC_Inflamed,CN5,CD4 T / Macrophage,970,16842,0.05759410996318727,14,2974,0.004707464694014795
P12,UC_Inflamed,CN6,Plasma B / Macrophage,3396,16842,0.20163876024225152,135,2974,0.04539340954942838
P12,UC_Inflamed,U,Unassigned / boundary,148,16842,0.008787554922218263,71,2974,0.02387357094821789
P13,UC_Inflamed,CN1,Epithelial / Fibroblast,2207,14729,0.1498404508113246,125,2758,0.045322697606961566
P13,UC_Inflamed,CN2,Fibroblast / Epithelial,937,14729,0.0636159956548306,67,2758,0.024292965917331398
P13,UC_Inflamed,CN3,Neutrophil / Fibroblast,4886,14729,0.3317265259012832,1974,2758,0.7157360406091371
P13,UC_Inflamed,CN4,CD4 T / Fibroblast,2268,14729,0.1539819403897074,157,2758,0.05692530819434373
P13,UC_Inflamed,CN5,CD4 T / Macrophage,525,14729,0.03564396768280263,57,2758,0.020667150108774474
P13,UC_Inflamed,CN6,Plasma B / Macrophage,3613,14729,0.2452983909294589,322,2758,0.116751269035533
P13,UC_Inflamed,U,Unassigned / boundary,293,14729,0.01989272863059271,56,2758,0.02030456852791878
P14,UC_Inflamed,CN1,Epithelial / Fibroblast,1243,9763,0.12731742292328177,25,1003,0.024925224327018942
P14,UC_Inflamed,CN2,Fibroblast / Epithelial,436,9763,0.04465840417904333,39,1003,0.038883349950149554
P14,UC_Inflamed,CN3,Neutrophil / Fibroblast,2148,9763,0.2200143398545529,794,1003,0.7916251246261217
P14,UC_Inflamed,CN4,CD4 T / Fibroblast,1168,9763,0.11963535798422616,33,1003,0.03290129611166501
P14,UC_Inflamed,CN5,CD4 T / Macrophage,1387,9763,0.14206698760626857,21,1003,0.020937188434695914
P14,UC_Inflamed,CN6,Plasma B / Macrophage,3156,9763,0.3232612926354604,71,1003,0.0707876370887338
P14,UC_Inflamed,U,Unassigned / boundary,225,9763,0.023046194817166854,20,1003,0.019940179461615155
P15,UC_Inflamed,CN1,Epithelial / Fibroblast,2160,9140,0.2363238512035011,185,961,0.19250780437044746
P15,UC_Inflamed,CN2,Fibroblast / Epithelial,171,9140,0.018708971553610503,5,961,0.005202913631633715
P15,UC_Inflamed,CN3,Neutrophil / Fibroblast,1536,9140,0.16805251641137856,575,961,0.5983350676378772
