cell_ID,patient,stratum,state,neutrophil_edges
P01_1043,P01,0,3,0
P01_1049,P01,0,3,0
P01_1054,P01,1,3,1
P01_1067,P01,1,3,1
P01_1093,P01,0,3,0
P01_1097,P01,0,3,0
P01_112,P01,1,0,0
P01_1120,P01,1,0,1
P01_1122,P01,1,3,0
P01_1135,P01,0,3,1
P01_1138,P01,0,3,0
P01_1143,P01,1,3,1
P01_1156,P01,1,3,0
P01_1171,P01,1,3,0
P01_1173,P01,1,3,0
P01_1177,P01,0,3,0
P01_1187,P01,2,3,0
P01_1189,P01,0,3,0
P01_1193,P01,3,3,2
P01_120,P01,1,3,1
P01_1200,P01,0,3,0
P01_1207,P01,2,3,0
P01_1208,P01,4,3,2
P01_1214,P01,1,3,1
P01_1223,P01,4,3,2
P01_1224,P01,2,3,0
P01_1247,P01,2,3,0
P01_1252,P01,0,3,0
P01_1257,P01,4,3,2
P01_1259,P01,3,3,2
P01_1260,P01,4,3,2
P01_1283,P01,0,3,0
P01_1284,P01,0,3,0
P01_1291,P01,1,3,0
P01_1295,P01,1,3,0
P01_1321,P01,1,3,2
P01_1322,P01,1,3,0
P01_1325,P01,1,3,0
P01_1336,P01,0,3,0
P01_1341,P01,1,3,2
P01_1344,P01,3,3,2
P01_1350,P01,1,3,0
P01_1382,P01,1,3,2
P01_1395,P01,0,3,0
P01_1403,P01,0,3,0
P01_1404,P01,1,0,1
P01_1407,P01,0,3,2
P01_1419,P01,5,3,1
P01_1421,P01,0,3,1
P01_1432,P01,0,0,0
P01_1436,P01,1,3,2
P01_1439,P01,0,3,0
P01_1444,P01,5,3,1
P01_1453,P01,0,3,0
P01_1456,P01,5,3,1
P01_1460,P01,5,3,1
P01_1484,P01,5,3,2
P01_1486,P01,0,3,0
P01_1504,P01,5,3,1
P01_1505,P01,3,3,1
P01_1511,P01,5,3,0
P01_1513,P01,1,3,1
P01_152,P01,1,3,0
P01_1523,P01,0,3,0
P01_1531,P01,0,3,1
P01_1545,P01,0,3,0
P01_1547,P01,2,3,2
P01_1565,P01,0,3,0
P01_1570,P01,0,3,0
P01_1571,P01,1,3,2
P01_1577,P01,5,3,0
P01_158,P01,0,3,3
P01_1584,P01,2,3,0
P01_1600,P01,1,3,1
P01_1602,P01,1,3,1
P01_1603,P01,1,3,1
P01_1604,P01,1,1,1
P01_1606,P01,1,3,2
P01_1607,P01,1,3,0
P01_163,P01,1,0,0
P01_1634,P01,1,3,2
P01_1636,P01,5,3,0
P01_1637,P01,1,3,2
P01_164,P01,1,3,1
P01_1646,P01,1,3,2
P01_1649,P01,1,3,2
P01_1670,P01,1,3,1
P01_1673,P01,0,3,0
P01_1683,P01,1,3,2
P01_1699,P01,1,3,2
P01_1703,P01,5,3,0
P01_1707,P01,1,3,2
P01_1716,P01,0,3,1
P01_1721,P01,0,3,2
P01_1722,P01,1,3,0
P01_1725,P01,2,3,2
P01_1745,P01,2,3,0
P01_1772,P01,2,3,0
P01_1773,P01,2,3,1
P01_179,P01,1,3,2
P01_1791,P01,0,3,2
P01_1807,P01,2,3,0
P01_1810,P01,1,3,2
P01_1814,P01,2,3,0
P01_1824,P01,2,3,0
P01_1834,P01,2,3,0
P01_1840,P01,2,3,0
P01_1841,P01,1,3,2
P01_1845,P01,0,3,2
P01_1852,P01,2,3,0
P01_1866,P01,0,3,0
P01_1868,P01,0,1,2
P01_1870,P01,1,3,2
P01_1875,P01,0,3,2
P01_1878,P01,2,3,0
P01_1881,P01,0,3,2
P01_1882,P01,0,3,2
P01_1898,P01,2,3,1
P01_1907,P01,1,1,2
P01_1925,P01,0,3,2
P01_1926,P01,0,1,2
P01_1927,P01,2,3,0
P01_1934,P01,2,3,0
P01_1948,P01,0,3,2
P01_1949,P01,0,3,0
P01_1950,P01,0,3,0
P01_1968,P01,0,1,2
P01_1974,P01,2,3,0
P01_1993,P01,0,3,1
P01_1999,P01,2,3,0
P01_2016,P01,0,3,1
P01_2018,P01,0,3,0
P01_2044,P01,2,3,0
P01_2053,P01,0,3,0
P01_2107,P01,0,3,2
P01_2115,P01,2,3,1
P01_2120,P01,2,3,2
P01_2121,P01,2,3,0
P01_2127,P01,2,1,0
P01_2139,P01,2,3,2
P01_2140,P01,5,0,0
P01_2142,P01,2,3,1
P01_215,P01,0,3,3
P01_2154,P01,2,3,0
P01_2183,P01,2,3,0
P01_2187,P01,2,3,0
P01_2224,P01,2,3,0
P01_2229,P01,2,3,1
P01_2252,P01,2,3,1
P01_2271,P01,0,3,2
P01_228,P01,1,3,3
P01_2286,P01,0,3,2
P01_2289,P01,0,3,2
P01_2294,P01,1,3,0
P01_2312,P01,1,3,0
P01_2317,P01,0,3,1
P01_2319,P01,0,3,0
P01_2320,P01,0,3,1
P01_2330,P01,0,3,0
P01_2332,P01,2,1,1
P01_2337,P01,1,3,0
P01_2338,P01,3,3,0
