"ligand","target","prior_weight","rank"
"COL1A2","ENPP2",0.0274026384473665,1
"COL1A2","CDKN1A",0.0253206671924848,2
"COL1A2","ABCC2",0.0248655969594255,3
"FN1","EGFR",0.0430427339165555,1
"FN1","NFKBIA",0.0423959424166618,2
"FN1","MMP3",0.0407923862152932,3
"IL1B","PTGS2",0.286800132346689,1
"IL1B","CSF1",0.284266854027447,2
"IL1B","BMP2",0.283421665966352,3
"CEACAM1","CTF1",0.0233328854997721,1
"CEACAM1","GAB2",0.0233028604810802,2
"CEACAM1","OLIG2",0.023294466329088,3
"CXCL12","SERPINE1",0.244908804746779,1
"CXCL12","MT2A",0.22410012122466,2
"CXCL12","CXCL8",0.214450503559127,3
"C5","CCL3",0.100149497259171,1
"C5","IL6",0.0990129647436162,2
"C5","TNF",0.0976147191885997,3
