condition,observation,value,provenance,unit
Neutrophils alone,1,11.102,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
Neutrophils alone,2,10.9388,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
Neutrophils alone,3,10.0,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
Neutrophils alone,4,9.1429,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
Neutrophils alone,5,9.0612,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
Neutrophils alone,6,8.9796,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ Ctrl FB,1,10.8327,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ Ctrl FB,2,9.7061,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ Ctrl FB,3,9.2327,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ Ctrl FB,4,8.1306,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ Ctrl FB,5,7.4286,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ Ctrl FB,6,5.4449,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ UC FB,1,33.8939,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ UC FB,2,25.6571,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ UC FB,3,24.9388,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ UC FB,4,21.8776,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ UC FB,5,19.6735,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ UC FB,6,19.6082,digitized from original display,mU/mL per 10^6 cells (inherited from source axis)
+ UC FB + α5β1i,1,12.0,user supplied,mU/mL per 10^6 cells (inherited from source axis)
+ UC FB + α5β1i,2,18.0,user supplied,mU/mL per 10^6 cells (inherited from source axis)
+ UC FB + α5β1i,3,16.0,user supplied,mU/mL per 10^6 cells (inherited from source axis)
+ UC FB + α5β1i,4,14.0,user supplied,mU/mL per 10^6 cells (inherited from source axis)
+ UC FB + α5β1i,5,14.0,user supplied,mU/mL per 10^6 cells (inherited from source axis)
+ UC FB + α5β1i,6,16.0,user supplied,mU/mL per 10^6 cells (inherited from source axis)
