"ligand","module","gene","prior_weight","percentile","top_decile"
"COL1A2","OSM_inflammation","OSM",0.00407735905722905,0.518885385248149,FALSE
"COL1A2","OSM_inflammation","IL1B",0.0133574121874227,0.998594735398958,TRUE
"COL1A2","OSM_inflammation","TNF",0.012205269125926,0.997635042500685,TRUE
"COL1A2","OSM_inflammation","NFKBIA",0.0113596032627608,0.996058404167809,TRUE
"COL1A2","OSM_inflammation","CXCL8",0.0121211052506264,0.997429394022484,TRUE
"COL1A2","OSM_inflammation","CCL3",0.00566857455649489,0.845386619139018,FALSE
"COL1A2","OSM_inflammation","CCL4",0.00519811016104607,0.778071017274472,FALSE
"COL1A2","OSM_inflammation","IL1R2",0.00540082117899097,0.81035782835207,FALSE
"COL1A2","OSM_inflammation","SOCS3",0.00957587842937778,0.991739786125583,TRUE
"COL1A2","Type_I_interferon","MX1",0.00626663675294725,0.90495612832465,TRUE
"COL1A2","Type_I_interferon","ISG15",0.00565789161402401,0.844426926240746,FALSE
"COL1A2","Type_I_interferon","IFIT2",0.00797977605345126,0.975562105840417,TRUE
"COL1A2","Type_I_interferon","IFIT3",0.0091238074101449,0.989340553879901,TRUE
"COL1A2","Type_I_interferon","IFI6",0.00618728453911726,0.898238278036742,FALSE
"COL1A2","Type_I_interferon","OAS2",0.00572318437581511,0.853201261310666,FALSE
"COL1A2","Type_I_interferon","OASL",0.0065756584859463,0.925109679188374,TRUE
"COL1A2","Type_I_interferon","RSAD2",0.00569913932101338,0.850664930079517,FALSE
"COL1A2","Type_I_interferon","IRF7",0.00802043606105714,0.976316150260488,TRUE
"COL1A2","Type_I_interferon","STAT1",0.00948936675734788,0.991397038661914,TRUE
"COL1A2","Degranulation","LTF",0.00550462417118069,0.824479023855223,FALSE
"COL1A2","Degranulation","BPI",0.0020414001916673,0.162839319989032,FALSE
"COL1A2","Degranulation","CAMP",0.00412456841679212,0.532800932273101,FALSE
"COL1A2","Degranulation","LCN2",0.00743653960681406,0.961098162873595,TRUE
"COL1A2","Degranulation","MMP8",0.00289601329795864,0.252570605977516,FALSE
"COL1A2","Degranulation","MMP9",0.0129160077839636,0.998251987935289,TRUE
"COL1A2","Degranulation","OLFM4",0.00365260745044024,0.401391554702495,FALSE
"COL1A2","Degranulation","CEACAM8",0.00169561787991326,0.138161502604881,FALSE
"COL1A2","Degranulation","FCGR3B",0.00116358002028409,0.111769947902386,FALSE
"COL1A2","Oxidative_burst","CYBB",0.00260962465240231,0.213771593090211,FALSE
"COL1A2","Oxidative_burst","CYBA",0.00498242266304957,0.740163147792706,FALSE
"COL1A2","Oxidative_burst","NCF1",0.00306073786162845,0.275603235536057,FALSE
"COL1A2","Oxidative_burst","NCF2",0.00636604682779748,0.912359473539896,TRUE
"COL1A2","Oxidative_burst","NCF4",0.00411181200303482,0.528893611187277,FALSE
"COL1A2","Oxidative_burst","RAC2",0.00617196548229543,0.896593090211132,FALSE
"COL1A2","Oxidative_burst","MPO",0.00526146598278054,0.788353441184535,FALSE
"COL1A2","Chemotaxis","CXCR1",0.00190350820083862,0.152625445571703,FALSE
"COL1A2","Chemotaxis","CXCR2",0.0034985574136957,0.363003838771593,FALSE
"COL1A2","Chemotaxis","CXCR4",0.012168187888994,0.997497943515218,TRUE
"COL1A2","Chemotaxis","FPR1",0.00377188788862167,0.433746915272827,FALSE
"COL1A2","Chemotaxis","FPR2",0.00351586801044952,0.367253907321086,FALSE
"COL1A2","Chemotaxis","C5AR1",0.00304211753507922,0.273204003290376,FALSE
"COL1A2","Chemotaxis","CCR1",0.00368372978406499,0.409274746366877,FALSE
"COL1A2","Chemotaxis","CCRL2",0.00468618909090779,0.672504798464491,FALSE
"COL1A2","Hypoxia_glycolysis","HIF1A",0.00819638899965906,0.979263778448039,TRUE
"COL1A2","Hypoxia_glycolysis","SLC2A1",0.00920723020577204,0.990026048807239,TRUE
"COL1A2","Hypoxia_glycolysis","HK2",0.00644916174503956,0.918186180422265,TRUE
"COL1A2","Hypoxia_glycolysis","PFKP",0.00623853284414774,0.903036742528105,TRUE
"COL1A2","Hypoxia_glycolysis","GAPDH",0.0094319853022085,0.991191390183713,TRUE
"COL1A2","Hypoxia_glycolysis","PGK1",0.00621718952187805,0.901254455717028,TRUE
"COL1A2","Hypoxia_glycolysis","LDHA",0.0074233265585849,0.960892514395393,TRUE
"COL1A2","Hypoxia_glycolysis","ENO1",0.00758666099849581,0.965416780915821,TRUE
"FN1","OSM_inflammation","OSM",0.00355603026207897,0.635282423910063,FALSE
"FN1","OSM_inflammation","IL1B",0.00984381794045664,0.997429394022484,TRUE
"FN1","OSM_inflammation","TNF",0.00952120708717741,0.997018097066082,TRUE
"FN1","OSM_inflammation","NFKBIA",0.0423959424166618,0.999897175760899,TRUE
"FN1","OSM_inflammation","CXCL8",0.0110121458751979,0.998526185906224,TRUE
"FN1","OSM_inflammation","CCL3",0.00405380911498204,0.770599122566493,FALSE
"FN1","OSM_inflammation","CCL4",0.00450606825800684,0.854709350150809,FALSE
"FN1","OSM_inflammation","IL1R2",0.00442387036845865,0.841684946531396,FALSE
"FN1","OSM_inflammation","SOCS3",0.00810253816896333,0.993864820400329,TRUE
"FN1","Type_I_interferon","MX1",0.005725929561338,0.955408554976693,TRUE
"FN1","Type_I_interferon","ISG15",0.00516463438916948,0.923533040855498,TRUE
"FN1","Type_I_interferon","IFIT2",0.00696716758558,0.985501782286811,TRUE
"FN1","Type_I_interferon","IFIT3",0.00769828686518532,0.992013984096518,TRUE
"FN1","Type_I_interferon","IFI6",0.00538592972129914,0.938271181793255,TRUE
"FN1","Type_I_interferon","OAS2",0.00554333711980438,0.946634219906773,TRUE
"FN1","Type_I_interferon","OASL",0.00584333300321695,0.960207019468056,TRUE
"FN1","Type_I_interferon","RSAD2",0.00576894802666997,0.957190841787771,TRUE
"FN1","Type_I_interferon","IRF7",0.00638640116862775,0.974602412942144,TRUE
"FN1","Type_I_interferon","STAT1",0.00798146375982454,0.993247874965725,TRUE
"FN1","Degranulation","LTF",0.00489879895708276,0.899403619413216,FALSE
"FN1","Degranulation","BPI",0.00205971136694285,0.208493282149712,FALSE
"FN1","Degranulation","CAMP",0.003397830477322,0.582499314505073,FALSE
"FN1","Degranulation","LCN2",0.00508175161556704,0.916883740060324,TRUE
"FN1","Degranulation","MMP8",0.00210890169387238,0.21466273649575,FALSE
"FN1","Degranulation","MMP9",0.0098151858384787,0.99736084452975,TRUE
"FN1","Degranulation","OLFM4",0.0030725537134604,0.467610364683301,FALSE
"FN1","Degranulation","CEACAM8",0.00130252594253668,0.133500137098985,FALSE
"FN1","Degranulation","FCGR3B",0.00120955769475388,0.127125034274746,FALSE
"FN1","Oxidative_burst","CYBB",0.00177630558506171,0.174012887304634,FALSE
"FN1","Oxidative_burst","CYBA",0.0042609932247727,0.812619961612284,FALSE
"FN1","Oxidative_burst","NCF1",0.00305966769142647,0.463428845626542,FALSE
"FN1","Oxidative_burst","NCF2",0.00554002739859992,0.946497120921305,TRUE
"FN1","Oxidative_burst","NCF4",0.0028325863389734,0.387407458184809,FALSE
"FN1","Oxidative_burst","RAC2",0.00477271283619293,0.886310666301069,FALSE
"FN1","Oxidative_burst","MPO",0.00434696833182677,0.829208938853852,FALSE
"FN1","Chemotaxis","CXCR1",0.00199719558202528,0.200198793528928,FALSE
"FN1","Chemotaxis","CXCR2",0.00258798839066215,0.312414313134083,FALSE
"FN1","Chemotaxis","CXCR4",0.00965889672002694,0.997223745544283,TRUE
"FN1","Chemotaxis","FPR1",0.00307297306262647,0.467884562654236,FALSE
"FN1","Chemotaxis","FPR2",0.00280577463461718,0.379455717027694,FALSE
"FN1","Chemotaxis","C5AR1",0.00262319638593035,0.323108034000548,FALSE
"FN1","Chemotaxis","CCR1",0.00310114298130464,0.477070194680559,FALSE
"FN1","Chemotaxis","CCRL2",0.00391285782593805,0.737352618590622,FALSE
"FN1","Hypoxia_glycolysis","HIF1A",0.00733056335261349,0.989546202358103,TRUE
"FN1","Hypoxia_glycolysis","SLC2A1",0.00806903671589934,0.993727721414862,TRUE
"FN1","Hypoxia_glycolysis","HK2",0.0058380869284643,0.959864272004387,TRUE
"FN1","Hypoxia_glycolysis","PFKP",0.00469429258179587,0.877673430216616,FALSE
"FN1","Hypoxia_glycolysis","GAPDH",0.00729490015818014,0.988997806416232,TRUE
"FN1","Hypoxia_glycolysis","PGK1",0.00588620964578735,0.962194954757335,TRUE
"FN1","Hypoxia_glycolysis","LDHA",0.00725403657857584,0.988723608445297,TRUE
"FN1","Hypoxia_glycolysis","ENO1",0.00749352800037065,0.990368796270908,TRUE
"IL1B","OSM_inflammation","OSM",0.0694467316949196,0.975767754318618,TRUE
"IL1B","OSM_inflammation","IL1B",0.131672781157882,0.99132848916918,TRUE
"IL1B","OSM_inflammation","TNF",0.211612462333247,0.998457636413491,TRUE
"IL1B","OSM_inflammation","NFKBIA",0.221949552304668,0.999074581848094,TRUE
"IL1B","OSM_inflammation","CXCL8",0.282296202564857,0.999760076775432,TRUE
"IL1B","OSM_inflammation","CCL3",0.122856772818435,0.990094598299973,TRUE
"IL1B","OSM_inflammation","CCL4",0.121959217523753,0.989888949821771,TRUE
"IL1B","OSM_inflammation","IL1R2",0.0106404895750037,0.849088291746641,FALSE
"IL1B","OSM_inflammation","SOCS3",0.210513435097819,0.998320537428023,TRUE
"IL1B","Type_I_interferon","MX1",0.114548112403424,0.985159034823142,TRUE
"IL1B","Type_I_interferon","ISG15",0.108516513192312,0.982417055113792,TRUE
"IL1B","Type_I_interferon","IFIT2",0.114804996854363,0.985501782286811,TRUE
"IL1B","Type_I_interferon","IFIT3",0.190703351173426,0.996058404167809,TRUE
"IL1B","Type_I_interferon","IFI6",0.0571049017008557,0.946839868384974,TRUE
"IL1B","Type_I_interferon","OAS2",0.123914474483383,0.990368796270908,TRUE
"IL1B","Type_I_interferon","OASL",0.115477636927008,0.986050178228681,TRUE
"IL1B","Type_I_interferon","RSAD2",0.114945719764015,0.985638881272279,TRUE
"IL1B","Type_I_interferon","IRF7",0.0643247429276518,0.968844255552509,TRUE
"IL1B","Type_I_interferon","STAT1",0.11848088620332,0.987969564025226,TRUE
"IL1B","Degranulation","LTF",0.0101761595626915,0.837229229503702,FALSE
"IL1B","Degranulation","BPI",0.0036268692315036,0.184226761721963,FALSE
"IL1B","Degranulation","CAMP",0.00943238081779001,0.814539347408829,FALSE
"IL1B","Degranulation","LCN2",0.110714180773816,0.983239649026597,TRUE
"IL1B","Degranulation","MMP8",0.0698271321391681,0.976316150260488,TRUE
"IL1B","Degranulation","MMP9",0.159923685421566,0.992768028516589,TRUE
"IL1B","Degranulation","OLFM4",0.00707874948836378,0.61841924869756,FALSE
"IL1B","Degranulation","CEACAM8",0.00273434046905756,0.141109130792432,FALSE
"IL1B","Degranulation","FCGR3B",0.00248937825785126,0.132883191664382,FALSE
"IL1B","Oxidative_burst","CYBB",0.00504381039765937,0.308918289004661,FALSE
"IL1B","Oxidative_burst","CYBA",0.00853415167115677,0.765595009596929,FALSE
"IL1B","Oxidative_burst","NCF1",0.00638249427282464,0.51415547024952,FALSE
"IL1B","Oxidative_burst","NCF2",0.0123290848037952,0.87225802029065,FALSE
"IL1B","Oxidative_burst","NCF4",0.00716067339546406,0.627947628187551,FALSE
"IL1B","Oxidative_burst","RAC2",0.00888990683589862,0.787805045242665,FALSE
"IL1B","Oxidative_burst","MPO",0.00915174493242305,0.803023032629559,FALSE
"IL1B","Chemotaxis","CXCR1",0.068596812854379,0.974465313956677,TRUE
"IL1B","Chemotaxis","CXCR2",0.0067177470195137,0.567692624074582,FALSE
"IL1B","Chemotaxis","CXCR4",0.125003873139281,0.990505895256375,TRUE
"IL1B","Chemotaxis","FPR1",0.00572108660309085,0.408383602961338,FALSE
"IL1B","Chemotaxis","FPR2",0.0668777046587972,0.971312037290924,TRUE
"IL1B","Chemotaxis","C5AR1",0.00563201794707008,0.395976144776529,FALSE
"IL1B","Chemotaxis","CCR1",0.00665499609928013,0.556381957773513,FALSE
"IL1B","Chemotaxis","CCRL2",0.0574181491885066,0.950747189470798,TRUE
"IL1B","Hypoxia_glycolysis","HIF1A",0.1518382471327,0.992356731560186,TRUE
"IL1B","Hypoxia_glycolysis","SLC2A1",0.115494725143816,0.986118727721415,TRUE
"IL1B","Hypoxia_glycolysis","HK2",0.0508613056225212,0.894605154921854,FALSE
"IL1B","Hypoxia_glycolysis","PFKP",0.00875554293344671,0.780333150534686,FALSE
"IL1B","Hypoxia_glycolysis","GAPDH",0.0154057106310977,0.882951741157115,FALSE
"IL1B","Hypoxia_glycolysis","PGK1",0.0135406578653477,0.878496024129421,FALSE
"IL1B","Hypoxia_glycolysis","LDHA",0.014294037680804,0.880689607896902,FALSE
"IL1B","Hypoxia_glycolysis","ENO1",0.0146011737183506,0.881306553331505,FALSE
"CEACAM1","OSM_inflammation","OSM",0.00318215987568212,0.649060871949548,FALSE
"CEACAM1","OSM_inflammation","IL1B",0.0082788549914054,0.996469701124212,TRUE
"CEACAM1","OSM_inflammation","TNF",0.0103421058013797,0.998114888949822,TRUE
"CEACAM1","OSM_inflammation","NFKBIA",0.0083702266472388,0.996743899095147,TRUE
"CEACAM1","OSM_inflammation","CXCL8",0.0100147836537505,0.997772141486153,TRUE
"CEACAM1","OSM_inflammation","CCL3",0.00356418190849787,0.767034548944338,FALSE
"CEACAM1","OSM_inflammation","CCL4",0.00408225359227513,0.871846723334247,FALSE
"CEACAM1","OSM_inflammation","IL1R2",0.00418422758500576,0.886310666301069,FALSE
"CEACAM1","OSM_inflammation","SOCS3",0.00727953875443369,0.993247874965725,TRUE
"CEACAM1","Type_I_interferon","MX1",0.0063467090866486,0.986735673156019,TRUE
"CEACAM1","Type_I_interferon","ISG15",0.00458067293766844,0.922778996435426,TRUE
"CEACAM1","Type_I_interferon","IFIT2",0.00612419695150329,0.984062242939402,TRUE
"CEACAM1","Type_I_interferon","IFIT3",0.00793908617638881,0.995441458733205,TRUE
"CEACAM1","Type_I_interferon","IFI6",0.00505256273867218,0.952940773238278,TRUE
"CEACAM1","Type_I_interferon","OAS2",0.00444248343084971,0.912222374554428,TRUE
"CEACAM1","Type_I_interferon","OASL",0.00482884373412394,0.94183575541541,TRUE
"CEACAM1","Type_I_interferon","RSAD2",0.00544813861450368,0.968158760625171,TRUE
"CEACAM1","Type_I_interferon","IRF7",0.00551382020431969,0.970900740334522,TRUE
"CEACAM1","Type_I_interferon","STAT1",0.00674407243150329,0.990437345763641,TRUE
"CEACAM1","Degranulation","LTF",0.00415056067616355,0.882608993693447,FALSE
"CEACAM1","Degranulation","BPI",0.00209493458114508,0.26305867836578,FALSE
"CEACAM1","Degranulation","CAMP",0.00399397229348338,0.857040032903757,FALSE
"CEACAM1","Degranulation","LCN2",0.00593390514132041,0.980771867288182,TRUE
"CEACAM1","Degranulation","MMP8",0.00205650568847154,0.253598848368522,FALSE
"CEACAM1","Degranulation","MMP9",0.00848141391140036,0.996949547573348,TRUE
"CEACAM1","Degranulation","OLFM4",0.00266206168950942,0.453214971209213,FALSE
"CEACAM1","Degranulation","CEACAM8",0.00123435147606516,0.141520427748835,FALSE
"CEACAM1","Degranulation","FCGR3B",0.000953283695612984,0.118624897175761,FALSE
"CEACAM1","Oxidative_burst","CYBB",0.00236167156779616,0.341959144502331,FALSE
"CEACAM1","Oxidative_burst","CYBA",0.0039619804463015,0.851967370441459,FALSE
"CEACAM1","Oxidative_burst","NCF1",0.00251673639326041,0.396250342747464,FALSE
"CEACAM1","Oxidative_burst","NCF2",0.00543335822496825,0.967610364683301,TRUE
"CEACAM1","Oxidative_burst","NCF4",0.0034001314704605,0.721928982725528,FALSE
"CEACAM1","Oxidative_burst","RAC2",0.00484303414179593,0.942726898820949,TRUE
"CEACAM1","Oxidative_burst","MPO",0.00425062047676377,0.89398820948725,FALSE
"CEACAM1","Chemotaxis","CXCR1",0.00220723618126359,0.291712366328489,FALSE
"CEACAM1","Chemotaxis","CXCR2",0.00306114634455414,0.606765834932822,FALSE
"CEACAM1","Chemotaxis","CXCR4",0.00770650917948819,0.994755963805868,TRUE
"CEACAM1","Chemotaxis","FPR1",0.00268323416851212,0.460481217438991,FALSE
"CEACAM1","Chemotaxis","FPR2",0.00196654392887275,0.235913079243214,FALSE
"CEACAM1","Chemotaxis","C5AR1",0.00224311214996766,0.301172196325747,FALSE
"CEACAM1","Chemotaxis","CCR1",0.00352018243378422,0.755792432136002,FALSE
"CEACAM1","Chemotaxis","CCRL2",0.00487701446605341,0.94457773512476,TRUE
"CEACAM1","Hypoxia_glycolysis","HIF1A",0.00610845759269991,0.983582396490266,TRUE
"CEACAM1","Hypoxia_glycolysis","SLC2A1",0.00684288508142504,0.991191390183713,TRUE
"CEACAM1","Hypoxia_glycolysis","HK2",0.005284425512263,0.962263504250069,TRUE
"CEACAM1","Hypoxia_glycolysis","PFKP",0.00335069036077564,0.707670688236907,FALSE
"CEACAM1","Hypoxia_glycolysis","GAPDH",0.00633675437660707,0.986530024677817,TRUE
"CEACAM1","Hypoxia_glycolysis","PGK1",0.0051604730407093,0.957190841787771,TRUE
"CEACAM1","Hypoxia_glycolysis","LDHA",0.00571525765719667,0.976453249245956,TRUE
"CEACAM1","Hypoxia_glycolysis","ENO1",0.00630999665108875,0.986255826706882,TRUE
"CXCL12","OSM_inflammation","OSM",0.00931794928609538,0.949033452152454,TRUE
"CXCL12","OSM_inflammation","IL1B",0.0157530854070492,0.965005483959419,TRUE
"CXCL12","OSM_inflammation","TNF",0.0756903668198133,0.987832465039759,TRUE
"CXCL12","OSM_inflammation","NFKBIA",0.0133304507662186,0.963634494104744,TRUE
"CXCL12","OSM_inflammation","CXCL8",0.214450503559127,0.999828626268166,TRUE
"CXCL12","OSM_inflammation","CCL3",0.00870118775970067,0.942452700850014,TRUE
"CXCL12","OSM_inflammation","CCL4",0.00670189059259311,0.873971757608994,FALSE
"CXCL12","OSM_inflammation","IL1R2",0.00539852132001503,0.746126953660543,FALSE
"CXCL12","OSM_inflammation","SOCS3",0.0183757133068183,0.965416780915821,TRUE
"CXCL12","Type_I_interferon","MX1",0.0727256124451996,0.987421168083356,TRUE
"CXCL12","Type_I_interferon","ISG15",0.0088186793809034,0.943549492733754,TRUE
"CXCL12","Type_I_interferon","IFIT2",0.0104639473138392,0.957190841787771,TRUE
"CXCL12","Type_I_interferon","IFIT3",0.0136173358077965,0.963908692075679,TRUE
"CXCL12","Type_I_interferon","IFI6",0.0807561216262761,0.993247874965725,TRUE
"CXCL12","Type_I_interferon","OAS2",0.0496152449203427,0.971723334247327,TRUE
"CXCL12","Type_I_interferon","OASL",0.00940958620809725,0.950335892514395,TRUE
"CXCL12","Type_I_interferon","RSAD2",0.0103890392789886,0.956573896353167,TRUE
"CXCL12","Type_I_interferon","IRF7",0.0119247436274222,0.962400603235536,TRUE
"CXCL12","Type_I_interferon","STAT1",0.0151394857299337,0.964594187003016,TRUE
"CXCL12","Degranulation","LTF",0.00700881860619544,0.89289141760351,FALSE
"CXCL12","Degranulation","BPI",0.00199278472294286,0.161399780641623,FALSE
"CXCL12","Degranulation","CAMP",0.00595130384407929,0.813785302988758,FALSE
"CXCL12","Degranulation","LCN2",0.0476921109394106,0.970626542363586,TRUE
"CXCL12","Degranulation","MMP8",0.00445470397620413,0.575712914724431,FALSE
"CXCL12","Degranulation","MMP9",0.0729564680550154,0.98748971757609,TRUE
"CXCL12","Degranulation","OLFM4",0.00535023198214292,0.739409103372635,FALSE
"CXCL12","Degranulation","CEACAM8",0.00131661486543389,0.123286262681656,FALSE
"CXCL12","Degranulation","FCGR3B",0.00163945235744462,0.140012338908692,FALSE
"CXCL12","Oxidative_burst","CYBB",0.00211323847247874,0.171339457088018,FALSE
"CXCL12","Oxidative_burst","CYBA",0.00592479623573335,0.810769125308473,FALSE
"CXCL12","Oxidative_burst","NCF1",0.00277676451244757,0.244139018371264,FALSE
"CXCL12","Oxidative_burst","NCF2",0.00781562161951651,0.925109679188374,TRUE
"CXCL12","Oxidative_burst","NCF4",0.00418967918105708,0.518405538799013,FALSE
"CXCL12","Oxidative_burst","RAC2",0.0535433063687694,0.976521798738689,TRUE
"CXCL12","Oxidative_burst","MPO",0.00578415863167789,0.796305182341651,FALSE
"CXCL12","Chemotaxis","CXCR1",0.00289552003468759,0.262030435974774,FALSE
"CXCL12","Chemotaxis","CXCR2",0.00409454416428961,0.497018097066082,FALSE
"CXCL12","Chemotaxis","CXCR4",0.214115896353953,0.999760076775432,TRUE
"CXCL12","Chemotaxis","FPR1",0.00422641524870687,0.527248423361667,FALSE
"CXCL12","Chemotaxis","FPR2",0.0032707523508427,0.324479023855223,FALSE
"CXCL12","Chemotaxis","C5AR1",0.00370540447789908,0.414690156292843,FALSE
"CXCL12","Chemotaxis","CCR1",0.00445530578796276,0.575781464217165,FALSE
"CXCL12","Chemotaxis","CCRL2",0.0061540822865471,0.833527556896079,FALSE
"CXCL12","Hypoxia_glycolysis","HIF1A",0.0100715135948284,0.955202906498492,TRUE
"CXCL12","Hypoxia_glycolysis","SLC2A1",0.00902766673976865,0.946565670414039,TRUE
"CXCL12","Hypoxia_glycolysis","HK2",0.00797880747912049,0.928537153825062,TRUE
"CXCL12","Hypoxia_glycolysis","PFKP",0.00567165545151243,0.782800932273101,FALSE
"CXCL12","Hypoxia_glycolysis","GAPDH",0.00844777249068712,0.938339731285988,TRUE
"CXCL12","Hypoxia_glycolysis","PGK1",0.0110398886263789,0.960069920482588,TRUE
"CXCL12","Hypoxia_glycolysis","LDHA",0.00848952014084255,0.938751028242391,TRUE
"CXCL12","Hypoxia_glycolysis","ENO1",0.00796480713816466,0.927988757883192,TRUE
"C5","OSM_inflammation","OSM",0.00342493716838379,0.938819577735125,TRUE
"C5","OSM_inflammation","IL1B",0.0427857633187368,0.999074581848094,TRUE
"C5","OSM_inflammation","TNF",0.0976147191885997,0.999828626268166,TRUE
"C5","OSM_inflammation","NFKBIA",0.00692740535374535,0.996880998080614,TRUE
"C5","OSM_inflammation","CXCL8",0.00772147649453622,0.997566493007952,TRUE
"C5","OSM_inflammation","CCL3",0.100149497259171,0.999965725253633,TRUE
"C5","OSM_inflammation","CCL4",0.00373236767096336,0.962400603235536,TRUE
