"ligand","module","score","n_module_genes","n_requested","top_decile_targets","examples","background_genes"
"COL1A2","OSM_inflammation",0.763146269384273,9,9,5,"IL1B;TNF",14588
"COL1A2","Type_I_interferon",0.841842610364683,10,12,6,"STAT1;IFIT3",14588
"COL1A2","Degranulation",-0.0259193248636627,9,9,2,"MMP9;LCN2",14588
"COL1A2","Oxidative_burst",0.244496455011947,7,7,1,"NCF2;RAC2",14588
"COL1A2","Chemotaxis",-0.0827221003564573,8,8,1,"CXCR4;CCRL2",14588
"COL1A2","Hypoxia_glycolysis",0.902316972854401,8,9,8,"GAPDH;SLC2A1",14588
"FN1","OSM_inflammation",0.797558114736618,9,9,5,"NFKBIA;CXCL8",14588
"FN1","Type_I_interferon",0.925322182615849,10,12,10,"STAT1;IFIT3",14588
"FN1","Degranulation",0.0105642384913018,9,9,2,"MMP9;LCN2",14588
"FN1","Oxidative_burst",0.285567393944142,7,7,1,"NCF2;RAC2",14588
"FN1","Chemotaxis",-0.0263230052097615,8,8,1,"CXCR4;CCRL2",14588
"FN1","Hypoxia_glycolysis",0.937774197970935,8,9,7,"SLC2A1;ENO1",14588
"IL1B","OSM_inflammation",0.953729092404716,9,9,8,"CXCL8;NFKBIA",14588
"IL1B","Type_I_interferon",0.962969564025226,10,12,10,"IFIT3;OAS2",14588
"IL1B","Degranulation",0.262384608353898,9,9,3,"MMP9;LCN2",14588
"IL1B","Oxidative_burst",0.337057855771867,7,7,0,"NCF2;MPO",14588
"IL1B","Chemotaxis",0.453866191390184,8,8,4,"CXCR4;CXCR1",14588
"IL1B","Hypoxia_glycolysis",0.794214422813271,8,9,2,"HIF1A;SLC2A1",14588
"CEACAM1","OSM_inflammation",0.812578070255613,9,9,5,"TNF;CXCL8",14588
"CEACAM1","Type_I_interferon",0.925102824239101,10,12,10,"IFIT3;STAT1",14588
"CEACAM1","Degranulation",0.0994196142948542,9,9,2,"MMP9;LCN2",14588
"CEACAM1","Oxidative_burst",0.461837518116652,7,7,2,"NCF2;RAC2",14588
"CEACAM1","Chemotaxis",0.147792706333973,8,8,2,"CXCR4;CCRL2",14588
"CEACAM1","Hypoxia_glycolysis",0.887784480394845,8,9,7,"SLC2A1;GAPDH",14588
"CXCL12","OSM_inflammation",0.865178381013314,9,9,7,"CXCL8;TNF",14588
"CXCL12","Type_I_interferon",0.930189196599945,10,12,10,"IFI6;MX1",14588
"CXCL12","Degranulation",0.201025195746885,9,9,2,"MMP9;LCN2",14588
"CXCL12","Oxidative_burst",0.269311371381566,7,7,2,"RAC2;NCF2",14588
"CXCL12","Chemotaxis",0.108633808609816,8,8,1,"CXCR4;CCRL2",14588
"CXCL12","Hypoxia_glycolysis",0.844564025226213,8,9,7,"PGK1;HIF1A",14588
"C5","OSM_inflammation",0.951626907960881,9,9,8,"CCL3;TNF",14588
"C5","Type_I_interferon",0.913120372909241,10,12,10,"IFIT3;STAT1",14588
"C5","Degranulation",0.0755796240441153,9,9,2,"MMP9;LCN2",14588
"C5","Oxidative_burst",0.277615652787027,7,7,1,"NCF2;MPO",14588
"C5","Chemotaxis",0.200644365231697,8,8,1,"CXCR4;CCRL2",14588
"C5","Hypoxia_glycolysis",0.926617768028517,8,9,7,"SLC2A1;GAPDH",14588
