program,contrast,population,version,min_cells,n,effect,se,low,high,p,q,q_bh_30,p_exact_signflip,q_signflip_bh_30
Degranulation,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.0190024310227804,0.0536446410606619,-0.129938970070187,0.167943832115748,0.741052667780219,0.741052667780219,0.7939850011930918,0.75,0.8035714285714286
Degranulation,UC_vs_alone,Resolved,full_gene,20,6,0.0152390104417445,0.0515098397348417,-0.117171247937177,0.147649268820666,0.779240224515652,0.779240224515652,0.8061105770851573,0.78125,0.8081896551724138
Degranulation,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.0170835856679172,0.020518207165615,-0.0740512615203232,0.0398840901844888,0.451890425849558,0.790808245236727,0.5648630323119476,0.5,0.625
Degranulation,alpha_alone,Resolved,full_gene,20,5,0.0729615754647341,0.0463996098753307,-0.055864394256715,0.201787545186183,0.190947377620315,0.205635637437262,0.26038278766406586,0.1875,0.26785714285714285
Degranulation,alpha_in_UC,Resolved,full_gene,20,5,0.0626996053451998,0.0011725092074407,0.0594441978954015,0.0659550127949981,7.32057584636002e-07,1.0248806184904e-05,2.196172753908006e-05,0.0625,0.10416666666666667
Oxidative_burst,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.253792153078813,0.0257787866823191,0.18221876697675,0.325365539180876,0.0005970240215199,0.0020895840753197,0.0017910720645597001,0.0625,0.10416666666666667
Oxidative_burst,UC_vs_alone,Resolved,full_gene,20,6,0.278415449805064,0.0538056199592192,0.140103700482744,0.416727199127383,0.003541636099215,0.00550921170989,0.009659007543313634,0.03125,0.10416666666666667
Oxidative_burst,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.0230999198415811,0.0400545070193985,-0.134309059796701,0.0881092201135385,0.595034057200929,0.8330476800813,0.7140408686411147,0.5625,0.6749999999999999
Oxidative_burst,alpha_alone,Resolved,full_gene,20,5,0.276281903746686,0.0184905341861635,0.224943950613019,0.327619856880352,0.0001168640541542,0.0002726827930264,0.00043824020307825,0.0625,0.10416666666666667
Oxidative_burst,alpha_in_UC,Resolved,full_gene,20,5,-0.0473573581127813,0.0521939715265994,-0.192271054878641,0.0975563386530787,0.415548594081919,0.528880028831533,0.5420199053242422,0.375,0.4891304347826087
Chemotaxis,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.460405926694835,0.0148338101550973,0.419220667098282,0.501591186291389,6.42094512554006e-06,8.98932317575608e-05,9.63141768831009e-05,0.0625,0.10416666666666667
Chemotaxis,UC_vs_alone,Resolved,full_gene,20,6,0.481561132027388,0.0369942839895867,0.386464297581385,0.576657966473391,4.77137831044581e-05,0.0001798879720713,0.0003083793806936892,0.03125,0.10416666666666667
Chemotaxis,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.0034856839824112,0.0358834998911118,-0.103114251612454,0.0961428836476315,0.92728868408757,0.92728868408757,0.92728868408757,0.9375,0.9375
Chemotaxis,alpha_alone,Resolved,full_gene,20,5,0.504994067744672,0.0252830284987083,0.434797127024857,0.575191008464487,3.70765914008467e-05,0.0002555964426591,0.0003083793806936892,0.0625,0.10416666666666667
Chemotaxis,alpha_in_UC,Resolved,full_gene,20,5,-0.136515676476041,0.0398071209823491,-0.247037962679501,-0.0259933902725817,0.026549541218223,0.0929233942637805,0.04978038978416813,0.0625,0.10416666666666667
OSM_inflammation,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.320721014590299,0.0555340056926648,0.166533896312874,0.474908132867725,0.004463743424295,0.0069436008822366,0.010300946363757692,0.0625,0.10416666666666667
OSM_inflammation,UC_vs_alone,Resolved,full_gene,20,6,0.395512165665862,0.030850797832299,0.316207665143266,0.474816666188458,5.13965634489482e-05,0.0001798879720713,0.0003083793806936892,0.03125,0.10416666666666667
OSM_inflammation,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,0.0847131435473275,0.0326212854159245,-0.0058580646709763,0.175284351765631,0.0602464883732926,0.396216626653617,0.10631733242345752,0.125,0.1875
OSM_inflammation,alpha_alone,Resolved,full_gene,20,5,0.348825884979493,0.0218854854377232,0.288062036061049,0.409589733897937,9.05793803383556e-05,0.0002555964426591,0.0003912190448864747,0.0625,0.10416666666666667
OSM_inflammation,alpha_in_UC,Resolved,full_gene,20,5,-0.0734347214089509,0.030576935641347,-0.158329904702317,0.011460461884415,0.0742243847304163,0.173190231037638,0.1128427627181271,0.0625,0.10416666666666667
Type_I_interferon,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.0624200962913391,0.0118223235994106,0.0295960638016912,0.0952441287809869,0.0061707689073669,0.0086390764703136,0.013223076230071927,0.0625,0.10416666666666667
Type_I_interferon,UC_vs_alone,Resolved,full_gene,20,6,0.0367455996923878,0.0164053609779119,-0.0054257232444894,0.078916922629265,0.0752285084787514,0.08776659322521,0.1128427627181271,0.0625,0.10416666666666667
Type_I_interferon,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.014284127069464,0.0086252646102066,-0.0382317007775079,0.0096634466385799,0.173047114292544,0.484531920019123,0.24721016327506284,0.25,0.3409090909090909
Type_I_interferon,alpha_alone,Resolved,full_gene,20,5,0.0612018311887183,0.012154256810943,0.0274562043586588,0.0949474580187779,0.0073055472532536,0.0092979692314136,0.0146110945065072,0.0625,0.10416666666666667
Type_I_interferon,alpha_in_UC,Resolved,full_gene,20,5,0.0060760714381245,0.0148508875149732,-0.0351566025106658,0.0473087453869149,0.703397177766942,0.721417378692547,0.7939850011930918,0.625,0.721153846153846
Hypoxia_glycolysis,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.191580728155982,0.0318894830504879,0.103041329033167,0.280120127278797,0.0038644546319227,0.0067627956058648,0.00966113657980675,0.0625,0.10416666666666667
Hypoxia_glycolysis,UC_vs_alone,Resolved,full_gene,20,6,0.137984943407559,0.01385006923972,0.10238220699763,0.173587679817488,0.000174033082309,0.0003045578940408,0.0005801102743633334,0.03125,0.10416666666666667
Hypoxia_glycolysis,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.0578701251470172,0.0228944962451545,-0.121435437182846,0.0056951868888113,0.0648239811385456,0.396216626653617,0.10803996856424267,0.125,0.1875
Hypoxia_glycolysis,alpha_alone,Resolved,full_gene,20,5,0.195898805935366,0.0123149363485476,0.161707061189619,0.230090550681114,9.12844438068441e-05,0.0002555964426591,0.0003912190448864747,0.0625,0.10416666666666667
Hypoxia_glycolysis,alpha_in_UC,Resolved,full_gene,20,5,0.0113307501918699,0.0296083612637299,-0.0708752395117408,0.0935367398954806,0.721417378692547,0.721417378692547,0.7939850011930918,0.75,0.8035714285714286
