program,gene,in_full,in_reduced,identity_marker
Degranulation,LTF,True,True,False
Degranulation,BPI,True,True,False
Degranulation,CAMP,True,True,False
Degranulation,LCN2,True,True,False
Degranulation,MMP8,True,True,False
Degranulation,MMP9,True,False,False
Degranulation,OLFM4,True,True,False
Degranulation,CEACAM8,True,True,False
Degranulation,FCGR3B,True,True,False
Oxidative_burst,CYBB,True,True,False
Oxidative_burst,CYBA,True,False,False
Oxidative_burst,NCF1,True,False,False
Oxidative_burst,NCF2,True,False,False
Oxidative_burst,NCF4,True,False,False
Oxidative_burst,RAC2,True,False,False
Oxidative_burst,MPO,True,True,False
Chemotaxis,CXCR1,True,False,False
Chemotaxis,CXCR2,True,False,False
Chemotaxis,CXCR4,True,True,True
Chemotaxis,FPR1,True,True,False
Chemotaxis,FPR2,True,False,False
Chemotaxis,C5AR1,True,True,False
Chemotaxis,CCR1,True,True,False
Chemotaxis,CCRL2,True,False,False
OSM_inflammation,OSM,True,True,True
OSM_inflammation,IL1B,True,True,False
OSM_inflammation,TNF,True,True,False
OSM_inflammation,NFKBIA,True,True,False
OSM_inflammation,CXCL8,True,True,False
OSM_inflammation,CCL3,True,True,False
OSM_inflammation,CCL4,True,True,False
OSM_inflammation,IL1R2,True,True,False
OSM_inflammation,SOCS3,True,True,False
Type_I_interferon,MX1,True,True,True
Type_I_interferon,ISG15,True,True,False
Type_I_interferon,IFIT1,True,True,False
Type_I_interferon,IFIT2,True,True,False
Type_I_interferon,IFIT3,True,True,False
Type_I_interferon,IFI6,True,True,False
Type_I_interferon,OAS1,True,True,False
Type_I_interferon,OAS2,True,True,False
Type_I_interferon,OASL,True,True,False
Type_I_interferon,RSAD2,True,True,False
Type_I_interferon,IRF7,True,True,False
Type_I_interferon,STAT1,True,True,False
Hypoxia_glycolysis,HIF1A,True,False,False
Hypoxia_glycolysis,SLC2A1,True,True,False
Hypoxia_glycolysis,HK2,True,False,False
Hypoxia_glycolysis,PFKP,True,False,False
Hypoxia_glycolysis,ALDOA,True,False,False
Hypoxia_glycolysis,GAPDH,True,False,False
Hypoxia_glycolysis,PGK1,True,False,False
Hypoxia_glycolysis,LDHA,True,True,False
Hypoxia_glycolysis,ENO1,True,True,False
