sample,group,position
P1-1,N,1
P1-2,N,2
P1-3,N,3
P1-4,N,4
P1-5,N,5
P1-6,N,6
P5-1,N+NF,7
P5-2,N+NF,8
P5-3,N+NF,9
P5-4,N+NF,10
P5-6,N+NF,11
P3-1,N+IF,12
P3-2,N+IF,13
P3-3,N+IF,14
P3-4,N+IF,15
P3-5,N+IF,16
P3-6,N+IF,17
P3-7,N+IF+FK,18
P3-8,N+IF+FK,19
P3-9,N+IF+FK,20
P3-10,N+IF+FK,21
P3-11,N+IF+FK,22
P3-12,N+IF+FK,23
P4-1,N+IF+ATN,24
P4-2,N+IF+ATN,25
P4-3,N+IF+ATN,26
P4-4,N+IF+ATN,27
P4-5,N+IF+ATN,28
P4-6,N+IF+ATN,29
P4-7,N+IF+ATN+FK,30
P4-8,N+IF+ATN+FK,31
P4-9,N+IF+ATN+FK,32
P4-10,N+IF+ATN+FK,33
P4-11,N+IF+ATN+FK,34
P4-12,N+IF+ATN+FK,35
P1-7,N+FK,36
P1-8,N+FK,37
P1-9,N+FK,38
P1-10,N+FK,39
P1-11,N+FK,40
P1-12,N+FK,41
P5-7,N+ATN,42
P5-8,N+ATN,43
P5-9,N+ATN,44
P5-10,N+ATN,45
P5-11,N+ATN,46
P5-12,N+ATN,47
