marker,comparison,reference,p_exact,q_bh_45,stars,displayed_significance
OSM,N+NF,N,0.7748917748917749,0.810933252793718,,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+IF,N,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+IF,N+NF,0.004329004329004329,0.00927643784786642,**,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+FK,N,0.8896103896103896,0.9098288075560803,,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+ATN,N,0.5800865800865801,0.6366803927779539,,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+IF+FK,N+IF,0.9718614718614719,0.9718614718614719,,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+IF+ATN,N+IF,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+IF+ATN+FK,N+IF,0.004329004329004329,0.00927643784786642,**,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+IF+ATN+FK,N+IF+FK,0.006493506493506494,0.012704686617730098,*,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+NF,N,0.004329004329004329,0.00927643784786642,**,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+IF,N,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+IF,N+NF,0.004329004329004329,0.00927643784786642,**,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+FK,N,0.44155844155844154,0.5228981544771018,,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+ATN,N,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+IF+FK,N+IF,0.021645021645021644,0.032467532467532464,*,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+IF+ATN,N+IF,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+IF+ATN+FK,N+IF,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+IF+ATN+FK,N+IF+FK,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+NF,N,0.012987012987012988,0.02247752247752248,*,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+IF,N,0.008658008658008658,0.015584415584415584,*,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+IF,N+NF,0.004329004329004329,0.00927643784786642,**,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+FK,N,0.487012987012987,0.5478896103896104,,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+ATN,N,0.008658008658008658,0.015584415584415584,*,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+IF+FK,N+IF,0.047619047619047616,0.06493506493506493,,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+IF+ATN,N+IF,0.006493506493506494,0.012704686617730098,*,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+IF+ATN+FK,N+IF,0.004329004329004329,0.00927643784786642,**,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+IF+ATN+FK,N+IF+FK,0.030303030303030304,0.04398826979472141,*,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+NF,N,0.021645021645021644,0.032467532467532464,*,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+IF,N,0.2792207792207792,0.349025974025974,,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+IF,N+NF,0.004329004329004329,0.00927643784786642,**,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+FK,N,0.46320346320346323,0.5344655344655345,,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+ATN,N,0.015151515151515152,0.024350649350649352,*,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+IF+FK,N+IF,0.047619047619047616,0.06493506493506493,,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+IF+ATN,N+IF,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+IF+ATN+FK,N+IF,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+IF+ATN+FK,N+IF+FK,0.015151515151515152,0.024350649350649352,*,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+NF,N,0.36363636363636365,0.44226044226044225,,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+IF,N,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+IF,N+NF,0.004329004329004329,0.00927643784786642,**,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+FK,N,0.7359307359307359,0.7884972170686456,,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+ATN,N,0.24891774891774893,0.3200371057513915,,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+IF+FK,N+IF,0.14502164502164502,0.19194041252864782,,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+IF+ATN,N+IF,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+IF+ATN+FK,N+IF,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+IF+ATN+FK,N+IF+FK,0.0021645021645021645,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
