gene,DonorID,ConditionCode,cells,sample,log2CPM
PRIM1,Donor4,UF,3393,Donor4|UF,6.06586703619327
PRIM1,Donor2,UF,720,Donor2|UF,6.12201561095375
PRIM1,Donor3,UF,2349,Donor3|UF,6.07530878154984
PRIM1,Donor6,UF,369,Donor6|UF,7.01889096545096
PRIM1,Donor1,UF,140,Donor1|UF,6.28418722486189
PRIM1,Donor4,UA5,1576,Donor4|UA5,8.84482713163814
PRIM1,Donor3,UA5,2053,Donor3|UA5,8.85470972881652
PRIM1,Donor1,UA5,1402,Donor1|UA5,9.62049566237009
PRIM1,Donor2,UA5,944,Donor2|UA5,9.69115923196157
PRIM1,Donor6,UA5,510,Donor6|UA5,10.7632312352691
GRIP1,Donor4,UF,3393,Donor4|UF,8.84882556422359
GRIP1,Donor2,UF,720,Donor2|UF,9.1604674524082
GRIP1,Donor3,UF,2349,Donor3|UF,11.8455099792059
GRIP1,Donor6,UF,369,Donor6|UF,9.66234091598658
GRIP1,Donor1,UF,140,Donor1|UF,9.10428580141802
GRIP1,Donor4,UA5,1576,Donor4|UA5,10.5387715242515
GRIP1,Donor3,UA5,2053,Donor3|UA5,13.737673237598
GRIP1,Donor1,UA5,1402,Donor1|UA5,11.3367420122877
GRIP1,Donor2,UA5,944,Donor2|UA5,11.3590278998685
GRIP1,Donor6,UA5,510,Donor6|UA5,12.2887000117256
COMMD1,Donor4,UF,3393,Donor4|UF,5.05217716453509
COMMD1,Donor2,UF,720,Donor2|UF,5.35642447380493
COMMD1,Donor3,UF,2349,Donor3|UF,4.96451018205957
COMMD1,Donor6,UF,369,Donor6|UF,8.47200254451967
COMMD1,Donor1,UF,140,Donor1|UF,5.29670175878316
COMMD1,Donor4,UA5,1576,Donor4|UA5,7.40643721215437
COMMD1,Donor3,UA5,2053,Donor3|UA5,7.57376172372437
COMMD1,Donor1,UA5,1402,Donor1|UA5,8.18131231285644
COMMD1,Donor2,UA5,944,Donor2|UA5,8.27773688736954
COMMD1,Donor6,UA5,510,Donor6|UA5,11.7055749760767
