direction,interaction,sender,receiver,ligand,receptor,lr_interaction,id,prioritization_score_Control,prioritization_score_DSS,fraction_expressing_ligand_receptor_Control,fraction_expressing_ligand_receptor_DSS,comparison,comparator,score_DSS,score_comparator,fraction_DSS,fraction_comparator,score_delta,effect,abs_delta,rank_by_direction_effect,prioritization_score_Blockade,fraction_expressing_ligand_receptor_Blockade,ambient_epithelial_flag,display_order,contrast_label
Fibroblast -> Neutrophil,Csf1 - Csf1r,Fibroblast,Neutrophil,Csf1,Csf1r,Csf1_Csf1r,Csf1_Csf1r_Fibroblast_Neutrophil,0.287902056252484,0.878753683056774,0.333333333333333,0.666666666666667,DSS_vs_Control,Control,0.878753683056774,0.287902056252484,0.666666666666667,0.333333333333333,0.59085162680429,Higher in DSS,0.59085162680429,7,,,FALSE,5,DSS effect
Fibroblast -> Neutrophil,Csf1 - Csf1r,Fibroblast,Neutrophil,Csf1,Csf1r,Csf1_Csf1r,Csf1_Csf1r_Fibroblast_Neutrophil,,0.843292181979596,,0.666666666666667,DSS_vs_Blockade,Blockade,0.843292181979596,0.31938385804374,0.666666666666667,0.333333333333333,0.523908323935855,Higher in DSS,0.523908323935855,69,0.31938385804374,0.333333333333333,FALSE,5,a5B1 blockade
Fibroblast -> Neutrophil,Cxcl1 - Cxcr2,Fibroblast,Neutrophil,Cxcl1,Cxcr2,Cxcl1_Cxcr2,Cxcl1_Cxcr2_Fibroblast_Neutrophil,0.542776416405813,0.852272427143656,0.833333333333333,1,DSS_vs_Control,Control,0.852272427143656,0.542776416405813,1,0.833333333333333,0.309496010737842,Higher in DSS,0.309496010737842,88,,,FALSE,2,DSS effect
Fibroblast -> Neutrophil,Cxcl1 - Cxcr2,Fibroblast,Neutrophil,Cxcl1,Cxcr2,Cxcl1_Cxcr2,Cxcl1_Cxcr2_Fibroblast_Neutrophil,,0.815181094860535,,1,DSS_vs_Blockade,Blockade,0.815181094860535,0.333731625328673,1,0,0.481449469531862,Higher in DSS,0.481449469531862,96,0.333731625328673,0,FALSE,2,a5B1 blockade
Fibroblast -> Neutrophil,Cxcl2 - Cxcr2,Fibroblast,Neutrophil,Cxcl2,Cxcr2,Cxcl2_Cxcr2,Cxcl2_Cxcr2_Fibroblast_Neutrophil,0.418427432238459,0.785644020549206,0.5,1,DSS_vs_Control,Control,0.785644020549206,0.418427432238459,1,0.5,0.367216588310747,Higher in DSS,0.367216588310747,62,,,FALSE,3,DSS effect
Fibroblast -> Neutrophil,Cxcl2 - Cxcr2,Fibroblast,Neutrophil,Cxcl2,Cxcr2,Cxcl2_Cxcr2,Cxcl2_Cxcr2_Fibroblast_Neutrophil,,0.678869748203878,,1,DSS_vs_Blockade,Blockade,0.678869748203878,0.548425683584604,1,1,0.130444064619274,Higher in DSS,0.130444064619274,379,0.548425683584604,1,FALSE,3,a5B1 blockade
Fibroblast -> Neutrophil,Cxcl5 - Cxcr2,Fibroblast,Neutrophil,Cxcl5,Cxcr2,Cxcl5_Cxcr2,Cxcl5_Cxcr2_Fibroblast_Neutrophil,0.401650519628097,0.859890064504161,0,1,DSS_vs_Control,Control,0.859890064504161,0.401650519628097,1,0,0.458239544876064,Higher in DSS,0.458239544876064,28,,,FALSE,4,DSS effect
Fibroblast -> Neutrophil,Cxcl5 - Cxcr2,Fibroblast,Neutrophil,Cxcl5,Cxcr2,Cxcl5_Cxcr2,Cxcl5_Cxcr2_Fibroblast_Neutrophil,,0.835222525858471,,1,DSS_vs_Blockade,Blockade,0.835222525858471,0.494688753501765,1,0.333333333333333,0.340533772356705,Higher in DSS,0.340533772356705,232,0.494688753501765,0.333333333333333,FALSE,4,a5B1 blockade
Fibroblast -> Neutrophil,Fn1 - Itga5,Fibroblast,Neutrophil,Fn1,Itga5,Fn1_Itga5,Fn1_Itga5_Fibroblast_Neutrophil,0.461549953326871,0.644499022940418,0.333333333333333,0.833333333333333,DSS_vs_Control,Control,0.644499022940418,0.461549953326871,0.833333333333333,0.333333333333333,0.182949069613547,Higher in DSS,0.182949069613547,181,,,FALSE,6,DSS effect
Fibroblast -> Neutrophil,Fn1 - Itga5,Fibroblast,Neutrophil,Fn1,Itga5,Fn1_Itga5,Fn1_Itga5_Fibroblast_Neutrophil,,0.747638557302905,,0.833333333333333,DSS_vs_Blockade,Blockade,0.747638557302905,0.422839933884795,0.833333333333333,0.333333333333333,0.32479862341811,Higher in DSS,0.32479862341811,242,0.422839933884795,0.333333333333333,FALSE,6,a5B1 blockade
Fibroblast -> Neutrophil,Icam1 - Itgb2,Fibroblast,Neutrophil,Icam1,Itgb2,Icam1_Itgb2,Icam1_Itgb2_Fibroblast_Neutrophil,0.454799791096673,0.909209594431924,1,1,DSS_vs_Control,Control,0.909209594431924,0.454799791096673,1,1,0.454409803335252,Higher in DSS,0.454409803335252,30,,,FALSE,8,DSS effect
Fibroblast -> Neutrophil,Icam1 - Itgb2,Fibroblast,Neutrophil,Icam1,Itgb2,Icam1_Itgb2,Icam1_Itgb2_Fibroblast_Neutrophil,,0.867296013133342,,1,DSS_vs_Blockade,Blockade,0.867296013133342,0.34270286168623,1,0.333333333333333,0.524593151447112,Higher in DSS,0.524593151447112,68,0.34270286168623,0.333333333333333,FALSE,8,a5B1 blockade
