direction,downstream_pathway,receiver,lr_pathway,overlap,target_genes,pathway_genes,gene_ratio,p_value,leading_targets,fdr,enrichment_strength
Fibroblast -> Neutrophil,Apoptosis,Neutrophil,IL1,16,150,43,0.106666666666667,2.93588442086428e-08,"Bcl2l1, Birc3, Cd44, Cyld, Dcn",2.09706030061734e-07,6
Fibroblast -> Neutrophil,Apoptosis,Neutrophil,CXCL-CXCR2,23,175,43,0.131428571428571,4.04461950171662e-14,"App, Bcl2l1, Bcl2l11, Birc3, Cd44",1.01115487542915e-12,6
Fibroblast -> Neutrophil,Apoptosis,Neutrophil,CSF1,13,141,43,0.0921985815602837,4.68765678543059e-06,"App, Bcl2l11, Birc3, Gsn, Ccnd1",5.85957098178824e-05,4.23213418040899
Fibroblast -> Neutrophil,Apoptosis,Neutrophil,alpha5-integrin/ECM,22,151,43,0.145695364238411,2.07669188881004e-14,"App, Bcl2l1, Bcl2l11, Birc3, Cd14",5.19172972202509e-13,6
Fibroblast -> Neutrophil,Apoptosis,Neutrophil,ICAM adhesion,20,135,43,0.148148148148148,3.92436980982011e-13,"App, Bcl2l1, Bcl2l11, Birc3, Cd44",9.81092452455028e-12,6
Fibroblast -> Neutrophil,Il2 Stat5 Signaling,Neutrophil,IL1,9,150,54,0.06,0.0194823419739486,"Bcl2l1, Cd44, Cd83, Csf1, Lif",0.0621896856391236,1.20628163848378
Fibroblast -> Neutrophil,Il2 Stat5 Signaling,Neutrophil,CXCL-CXCR2,16,175,54,0.0914285714285714,8.97882029324444e-06,"Bcl2l1, Bhlhe40, Cd44, Cd83, Il10",4.48941014662222e-05,4.34781071621164
Fibroblast -> Neutrophil,Il2 Stat5 Signaling,Neutrophil,CSF1,17,141,54,0.120567375886525,7.20941142944448e-08,"Cd83, Ctsz, Il10, Il1r2, Itgav",1.80235285736112e-06,5.74416018061383
Fibroblast -> Neutrophil,Il2 Stat5 Signaling,Neutrophil,alpha5-integrin/ECM,14,151,54,0.0927152317880795,3.25014482623799e-05,"Bcl2l1, Bhlhe40, Cd44, Igf1r, Il10",0.000125005570239923,3.90307063442744
Fibroblast -> Neutrophil,Il2 Stat5 Signaling,Neutrophil,ICAM adhesion,17,135,54,0.125925925925926,3.68682575423186e-08,"Bcl2l1, Bhlhe40, Cd44, Cd83, Csf1",2.63344696730847e-07,6
Fibroblast -> Neutrophil,Inflammatory Response,Neutrophil,IL1,26,150,59,0.173333333333333,5.93555182797607e-15,"Atp2b1, Ccl2, Ccl7, Cd82, Csf1",1.48388795699402e-13,6
Fibroblast -> Neutrophil,Inflammatory Response,Neutrophil,CXCL-CXCR2,16,175,59,0.0914285714285714,3.11652049187237e-05,"Abca1, Ccr7, Ebi3, Hif1a, Il10",0.000141660022357835,3.84875269399405
Fibroblast -> Neutrophil,Inflammatory Response,Neutrophil,CSF1,12,141,59,0.0851063829787234,0.000734342498617023,"Abca1, Ccl7, Ccrl2, Fpr1, Il10",0.00458964061635639,2.3382213197882
