direction,receiver,lr_pathway,target,target_weight
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Adm,0.0114248506413102
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Arid5b,0.00965445501252197
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Atf3,0.0136283612761789
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Bcl2l11,0.00997145397510784
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Bcl3,0.0091854648218383
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Bcl6,0.0132326661559486
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Bhlhe40,0.012364586353659
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Birc3,0.0102591271874943
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Btg1,0.00994917921926711
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Btg2,0.0105253716866505
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,C3,0.00865256134610677
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Ccnd3,0.010198110787021
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Cd44,0.0106365153691571
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Cdkn1a,0.0254215064831486
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Cebpb,0.0110156148845629
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Cflar,0.00959410800864237
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Chd2,0.00967218251515077
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Col4a1,0.0247998678738206
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Cxcl1,0.0087735455743255
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Cxcr4,0.0121521619730783
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Ddit4,0.0132531709020723
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Dusp1,0.013138866416533
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Dusp5,0.0099273063610655
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Egr1,0.0175411897393542
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Egr3,0.0103412617485208
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Eif3b,0.0236726328836059
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Ets1,0.0107405554440263
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Fas,0.0123415607375764
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Fnbp1,0.00816516400017029
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Fosl1,0.010928474048062
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Fosl2,0.00937607985596586
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Gadd45a,0.0135471347674591
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Gadd45g,0.01045367928175
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Gan,0.0220494775280506
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Gja1,0.00961566025127917
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,H2.D1,0.01043466153194
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,H2.K1,0.01043466153194
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,H2.Q4,0.01043466153194
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,H2.Q6,0.01043466153194
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,H2.Q7,0.01043466153194
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,H3f3b,0.0132324374587999
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Hif1a,0.00827468245505505
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Hmox1,0.01380546860741
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Hnrnpr,0.00940924526250804
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Hspa5,0.00948655506340608
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Icam1,0.0135359451856505
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Id3,0.0122495638875422
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Ier3,0.0121173706087464
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Ifi204,0.0102799265598057
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Ifi205,0.0102799265598057
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Ifi211,0.0102799265598057
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Igfbp5,0.00874567002563973
Neutrophil -> Fibroblast,Fibroblast,Integrin/ECM,Il1b,0.0120015603959458
