panel,group,source_bar_y,source_cap_top_y,source_cap_bottom_y,approximate_bar_value,approximate_error_low,approximate_error_high
a,Control,447,409,481.5,1.5031152647975077,1.234423676012461,1.7990654205607475
a,DSS + PBS,519,499,535.5,0.9423676012461059,0.8138629283489096,1.0981308411214952
a,DSS + α5β1 inhibitor,593,583,600,0.3660436137071651,0.3115264797507788,0.4439252336448598
b,Control,464,441.5,482.5,4.472049689440993,4.012422360248447,5.031055900621118
b,DSS + PBS,505,488.5,517.5,3.453416149068323,3.142857142857143,3.8633540372670807
b,DSS + α5β1 inhibitor,584,569.5,595.5,1.4906832298136645,1.204968944099379,1.8509316770186335
c,Control,335.5,313.5,354.5,7.704081632653061,5.765306122448979,9.948979591836734
c,DSS + PBS,325.5,314.5,333.5,8.724489795918366,7.908163265306122,9.846938775510203
c,DSS + α5β1 inhibitor,366.5,352,378,4.540816326530612,3.36734693877551,6.020408163265306
d,Control,324,308,337.5,6.572164948453608,5.528350515463917,7.809278350515464
d,DSS + PBS,342,333,348,5.180412371134021,4.716494845360825,5.876288659793814
d,DSS + α5β1 inhibitor,382,364,397,2.0876288659793816,0.9278350515463918,3.479381443298969
e,Control,316,307.5,321.5,46.596858638743456,43.717277486910994,51.047120418848166
e,DSS + PBS,302,297,310.5,53.92670157068063,49.47643979057592,56.54450261780105
e,DSS + α5β1 inhibitor,315,301.5,325,47.12041884816754,41.88481675392671,54.18848167539267
f,Control,635,622.5,644.5,3101.2658227848096,2499.9999999999995,3892.405063291139
f,DSS + PBS,618,610,625,4177.215189873417,3734.177215189873,4683.544303797468
f,DSS + α5β1 inhibitor,673,664.5,678.5,696.2025316455696,348.1012658227848,1234.1772151898733
g,Control,620,607.5,629.5,2423.841059602649,2046.3576158940398,2920.5298013245033
g,DSS + PBS,601,591,607,3178.8079470198677,2940.3973509933776,3576.1589403973508
g,DSS + α5β1 inhibitor,683,674,695.5,-79.47019867549669,-576.158940397351,278.1456953642384
h,Control,692,689,694,613.4969325153374,0.0,1533.7423312883436
h,DSS + PBS,648,632,660.5,14110.42944785276,10276.073619631903,19018.404907975462
h,DSS + α5β1 inhibitor,648,632.5,660.5,14110.42944785276,10276.073619631903,18865.03067484663
