panel,group,visible_marker_id,source_x_pixel,source_y_pixel,source_zero_y_pixel,pixels_per_unit,unbounded_pixel_value,approximate_value,zero_boundary_adjusted,provenance
a,Control,1,361.0,338.0,640,128.4,2.35202492211838,2.35202492211838,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,Control,2,361.0,374.0,640,128.4,2.0716510903426792,2.0716510903426792,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,Control,3,361.0,390.0,640,128.4,1.9470404984423675,1.9470404984423675,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,Control,4,361.0,491.0,640,128.4,1.160436137071651,1.160436137071651,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,Control,5,361.0,527.0,640,128.4,0.8800623052959501,0.8800623052959501,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,Control,6,361.0,552.0,640,128.4,0.6853582554517134,0.6853582554517134,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,1,448.0,379.0,640,128.4,2.0327102803738315,2.0327102803738315,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,2,470.5,451.0,640,128.4,1.4719626168224298,1.4719626168224298,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,3,448.0,463.0,640,128.4,1.3785046728971961,1.3785046728971961,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,4,425.0,469.0,640,128.4,1.3317757009345794,1.3317757009345794,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,5,470.5,508.0,640,128.4,1.02803738317757,1.02803738317757,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,6,448.0,513.0,640,128.4,0.9890965732087227,0.9890965732087227,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,7,425.0,519.5,640,128.4,0.9384735202492211,0.9384735202492211,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,8,471.0,523.0,640,128.4,0.911214953271028,0.911214953271028,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,9,448.0,530.0,640,128.4,0.8566978193146417,0.8566978193146417,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,10,448.0,566.0,640,128.4,0.5763239875389408,0.5763239875389408,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,11,448.0,585.0,640,128.4,0.42834890965732086,0.42834890965732086,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,12,459.0,607.0,640,128.4,0.2570093457943925,0.2570093457943925,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + PBS,13,436.0,613.0,640,128.4,0.2102803738317757,0.2102803738317757,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + α5β1 inhibitor,1,534.0,564.0,640,128.4,0.5919003115264797,0.5919003115264797,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + α5β1 inhibitor,2,534.0,579.0,640,128.4,0.4750778816199377,0.4750778816199377,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + α5β1 inhibitor,3,534.0,604.0,640,128.4,0.2803738317757009,0.2803738317757009,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + α5β1 inhibitor,4,557.0,604.0,640,128.4,0.2803738317757009,0.2803738317757009,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
a,DSS + α5β1 inhibitor,5,511.0,607.0,640,128.4,0.2570093457943925,0.2570093457943925,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,Control,1,1009.5,408.5,644,40.25,5.850931677018633,5.850931677018633,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,Control,2,985.5,419.0,644,40.25,5.590062111801243,5.590062111801243,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,Control,3,1009.5,429.0,644,40.25,5.341614906832298,5.341614906832298,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,Control,4,985.5,492.5,644,40.25,3.7639751552795033,3.7639751552795033,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,Control,5,1009.5,494.0,644,40.25,3.7267080745341614,3.7267080745341614,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,Control,6,997.0,530.0,644,40.25,2.8322981366459627,2.8322981366459627,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,1,1084.0,419.0,644,40.25,5.590062111801243,5.590062111801243,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,2,1072.0,432.0,644,40.25,5.267080745341615,5.267080745341615,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,3,1096.0,440.0,644,40.25,5.068322981366459,5.068322981366459,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,4,1084.0,476.0,644,40.25,4.173913043478261,4.173913043478261,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,5,1072.0,489.0,644,40.25,3.8509316770186337,3.8509316770186337,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,6,1096.0,491.0,644,40.25,3.801242236024845,3.801242236024845,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,7,1072.0,507.0,644,40.25,3.4037267080745344,3.4037267080745344,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,8,1096.0,515.0,644,40.25,3.2049689440993787,3.2049689440993787,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,9,1072.0,532.0,644,40.25,2.782608695652174,2.782608695652174,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,10,1096.0,536.0,644,40.25,2.6832298136645965,2.6832298136645965,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,11,1072.0,550.0,644,40.25,2.3354037267080745,2.3354037267080745,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,12,1096.0,550.0,644,40.25,2.3354037267080745,2.3354037267080745,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + PBS,13,1084.0,602.0,644,40.25,1.0434782608695652,1.0434782608695652,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + α5β1 inhibitor,1,1182.5,543.0,644,40.25,2.5093167701863353,2.5093167701863353,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + α5β1 inhibitor,2,1158.5,551.5,644,40.25,2.298136645962733,2.298136645962733,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + α5β1 inhibitor,3,1182.5,581.0,644,40.25,1.565217391304348,1.565217391304348,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + α5β1 inhibitor,4,1158.5,586.0,644,40.25,1.4409937888198758,1.4409937888198758,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + α5β1 inhibitor,5,1182.0,613.0,644,40.25,0.7701863354037267,0.7701863354037267,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
b,DSS + α5β1 inhibitor,6,1158.5,621.0,644,40.25,0.5714285714285714,0.5714285714285714,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,Control,1,348.0,260.0,411,9.8,15.408163265306122,15.408163265306122,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,Control,2,348.0,291.5,411,9.8,12.193877551020407,12.193877551020407,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,Control,3,348.0,338.0,411,9.8,7.448979591836734,7.448979591836734,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,Control,4,348.0,345.5,411,9.8,6.683673469387754,6.683673469387754,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,Control,5,359.0,382.0,411,9.8,2.9591836734693877,2.9591836734693877,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,Control,6,337.0,386.0,411,9.8,2.5510204081632653,2.5510204081632653,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + PBS,1,393.0,266.0,411,9.8,14.795918367346937,14.795918367346937,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + PBS,2,382.0,297.5,411,9.8,11.581632653061224,11.581632653061224,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + PBS,3,393.0,302.0,411,9.8,11.122448979591836,11.122448979591836,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + PBS,4,382.0,305.0,411,9.8,10.816326530612244,10.816326530612244,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + PBS,5,404.0,306.0,411,9.8,10.714285714285714,10.714285714285714,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + PBS,6,393.0,323.5,411,9.8,8.928571428571427,8.928571428571427,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + PBS,7,382.0,324.5,411,9.8,8.826530612244897,8.826530612244897,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + PBS,8,404.0,327.0,411,9.8,8.571428571428571,8.571428571428571,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + PBS,9,393.0,336.5,411,9.8,7.6020408163265305,7.6020408163265305,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + PBS,10,404.0,347.0,411,9.8,6.530612244897958,6.530612244897958,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + PBS,11,393.0,354.0,411,9.8,5.816326530612245,5.816326530612245,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + PBS,12,393.0,398.5,411,9.8,1.2755102040816326,1.2755102040816326,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + α5β1 inhibitor,1,438.0,322.5,411,9.8,9.03061224489796,9.03061224489796,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + α5β1 inhibitor,2,438.0,331.0,411,9.8,8.16326530612245,8.16326530612245,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + α5β1 inhibitor,3,438.0,364.0,411,9.8,4.795918367346938,4.795918367346938,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + α5β1 inhibitor,4,427.0,383.5,411,9.8,2.8061224489795915,2.8061224489795915,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + α5β1 inhibitor,5,449.5,389.0,411,9.8,2.2448979591836733,2.2448979591836733,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
c,DSS + α5β1 inhibitor,6,438.0,400.5,411,9.8,1.0714285714285714,1.0714285714285714,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,Control,1,673.0,270.5,409,12.933333333333334,10.708762886597938,10.708762886597938,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,Control,2,662.0,309.0,409,12.933333333333334,7.731958762886598,7.731958762886598,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,Control,3,684.0,313.5,409,12.933333333333334,7.3840206185567006,7.3840206185567006,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,Control,4,662.0,317.5,409,12.933333333333334,7.074742268041237,7.074742268041237,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,Control,5,673.0,348.5,409,12.933333333333334,4.677835051546392,4.677835051546392,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,Control,6,673.0,376.0,409,12.933333333333334,2.551546391752577,2.551546391752577,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + PBS,1,707.0,301.0,409,12.933333333333334,8.350515463917526,8.350515463917526,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + PBS,2,718.0,308.0,409,12.933333333333334,7.809278350515464,7.809278350515464,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + PBS,3,718.0,320.0,409,12.933333333333334,6.881443298969072,6.881443298969072,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + PBS,4,707.0,327.0,409,12.933333333333334,6.34020618556701,6.34020618556701,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + PBS,5,729.0,328.0,409,12.933333333333334,6.262886597938144,6.262886597938144,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + PBS,6,712.0,336.5,409,12.933333333333334,5.605670103092783,5.605670103092783,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + PBS,7,723.0,336.5,409,12.933333333333334,5.605670103092783,5.605670103092783,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + PBS,8,707.0,349.5,409,12.933333333333334,4.600515463917525,4.600515463917525,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + PBS,9,718.0,354.5,409,12.933333333333334,4.213917525773196,4.213917525773196,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + PBS,10,712.0,364.0,409,12.933333333333334,3.479381443298969,3.479381443298969,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + PBS,11,723.0,366.5,409,12.933333333333334,3.286082474226804,3.286082474226804,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + PBS,12,718.0,392.5,409,12.933333333333334,1.2757731958762886,1.2757731958762886,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + α5β1 inhibitor,1,762.5,300.0,409,12.933333333333334,8.427835051546392,8.427835051546392,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + α5β1 inhibitor,2,751.0,385.5,409,12.933333333333334,1.8170103092783505,1.8170103092783505,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + α5β1 inhibitor,3,774.0,391.0,409,12.933333333333334,1.3917525773195876,1.3917525773195876,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + α5β1 inhibitor,4,763.0,393.5,409,12.933333333333334,1.1984536082474226,1.1984536082474226,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + α5β1 inhibitor,5,768.0,402.0,409,12.933333333333334,0.5412371134020618,0.5412371134020618,False,visible screenshot marker center; overlaps may conceal observations; not raw measurements
d,DSS + α5β1 inhibitor,6,757.0,410.0,409,12.933333333333334,-0.07731958762886598,0,True,visible screenshot marker center; overlaps may conceal observations; not raw measurements
