compartment,feature,effect_percentage_points_ablation,effect_percentage_points_blockade,fdr_global_scope_ablation,fdr_global_scope_blockade
Epithelial,Absorptive-secretory transitional epithelial,33.18397127701864,-0.3170545340692433,0.0381316511481591,0.0061251769139374
Epithelial,Mature absorptive colonocyte,32.17863094433794,-2.591564042098245,0.0381316511481591,0.0105928847556444
Epithelial,Zg16+ secretory epithelial,0.4010719518268074,40.57141385481567,0.2074888896895377,0.0034645546955279
Epithelial,Injury/inflammatory epithelial,-1.021846441980931,38.40888517420773,0.0381316511481591,0.0034645546955279
Epithelial,Satb2+ epithelial-like transitional cell,-1.0685177414806797,-4.590007711611737,0.2074888896895377,0.0034645546955279
Epithelial,IFN/MHC-II-responsive epithelial,-71.92097266873813,-75.55797147518015,0.0381316511481591,0.0034645546955279
Immune,Gamma-delta T/NK-like cell,34.16680897539142,4.673919156557455,0.0381316511481591,0.3811729494611797
Immune,Ccr3+ eosinophil,-0.0726670896914116,19.925775626834643,0.2037884355084171,0.0091833700752106
Immune,Cxcr2+ neutrophil,-3.892459879476198,17.753089211355984,0.0466868385115673,0.0034645546955279
Immune,Inflammatory monocyte/macrophage,-9.778277088961527,2.761101921882651,0.0417537391779285,0.5272801101584321
Immune,Conventional B cell,-14.36077356636353,-15.21972558036612,0.0381316511481591,0.0034645546955279
Immune,Mature B cell,-15.09288919078391,-14.158565450833285,0.0381316511481591,0.0034645546955279
Stromal,Ackr4+ Pi16-like fibroblast,36.37497776049151,-1.2098924530848163,0.0417537391779285,0.2908998710501136
Stromal,Cxcl13+ fibroblast,14.113524612559344,11.520935542101569,0.0417537391779285,1.0
Stromal,Ccl7+ Cxcl1+ inflammatory fibroblast,-4.930842145008441,-15.164420901304092,0.5222102294658173,0.0255794468514285
Stromal,Clec3b+ Has1+ matrix fibroblast,-9.473407068674748,-12.64617345153698,0.2510145453389837,0.0233308439100804
Stromal,ECM-rich fibroblast,-18.68067998516364,48.89647698716285,0.3060775521344269,0.0438344010003557
Stromal,Il1r1+ fibroblast,-27.40167226169006,-27.585698992671865,0.0417537391779285,0.0233308439100804
