gene,Level 3___Mature absorptive colonocyte___FAPTK__D1,Level 3___Mature absorptive colonocyte___FAPTK__D2,Level 3___Mature absorptive colonocyte___FAPTK__D3,Level 3___Mature absorptive colonocyte___FAPTK__D4,Level 3___Mature absorptive colonocyte___FAPTK__D5,Level 3___Mature absorptive colonocyte___FAPTK__D6,Level 3___Mature absorptive colonocyte___FAPTK__FD2,Level 3___Mature absorptive colonocyte___FAPTK__FD3,Level 3___Mature absorptive colonocyte___FAPTK__FD4,Level 3___Mature absorptive colonocyte___FAPTK__FD6,Level 3___Mature absorptive colonocyte___Merged_a5B1__M13,Level 3___Mature absorptive colonocyte___Merged_a5B1__M14,Level 3___Mature absorptive colonocyte___Merged_a5B1__M15,Level 3___Mature absorptive colonocyte___Merged_a5B1__M16,Level 3___Mature absorptive colonocyte___Merged_a5B1__M17,Level 3___Mature absorptive colonocyte___Merged_a5B1__M18,Level 3___Mature absorptive colonocyte___Merged_a5B1__M19,Level 3___Mature absorptive colonocyte___Merged_a5B1__M20,Level 3___Mature absorptive colonocyte___Merged_a5B1__M21,Level 3___Mature absorptive colonocyte___Merged_a5B1__M22,Level 3___Mature absorptive colonocyte___Merged_a5B1__M23,Level 3___Mature absorptive colonocyte___Merged_a5B1__M24
Il1b,11,9,5,42,24,17,0,5,6,0,5,8,17,583,0,7,7,15,4,9,159,7
Il6,5,5,8,21,9,9,2,13,6,2,0,0,1,42,0,0,1,2,0,0,26,2
Cxcl1,45,27,11,43,26,20,10,24,27,2,44,28,219,5622,70,96,89,148,54,67,1915,86
Cxcl2,36,15,18,96,52,29,1,19,10,0,25,23,162,5948,30,101,76,50,16,47,1011,45
Cxcl5,2,1,7,7,2,2,0,6,5,0,11,9,57,1854,9,39,17,22,13,24,491,14
Ccl20,2,0,0,9,7,1,0,89,54,1,50,34,166,6979,25,145,184,243,80,133,3843,211
Mx1,1,4,2,3,1,1,9,19,15,0,3,2,8,119,0,7,5,4,2,5,112,3
Isg15,7,5,0,6,8,6,3,70,60,2,5,6,49,1112,3,9,13,22,13,26,616,26
Ifit1,15,5,0,17,14,6,7,100,99,1,4,3,30,692,1,9,7,10,4,10,446,8
Ifit2,3,2,1,5,3,0,4,33,31,0,3,2,17,299,0,4,2,1,2,3,79,3
Ifit3,1,3,0,0,2,1,1,22,28,1,1,3,9,208,1,2,7,4,3,3,136,0
Oas1a,2,0,1,10,3,1,11,91,43,1,9,10,61,1336,11,41,65,67,37,57,1356,40
Stat1,5,6,4,18,10,3,12,93,70,3,19,17,93,2134,8,34,64,82,48,72,1592,44
Tjp1,45,21,11,123,56,44,53,441,293,11,47,54,342,7760,32,199,275,378,191,265,6728,215
Ocln,72,26,31,117,50,47,45,377,291,17,60,78,377,8550,38,193,360,434,312,356,8061,257
Cldn3,35,30,16,140,79,38,172,1453,1042,37,192,276,1455,32620,133,747,1323,1475,929,1378,28572,920
Cldn4,94,33,38,243,54,104,52,360,240,1,36,57,214,6001,13,112,134,137,110,116,2498,117
Cldn7,227,130,80,605,422,220,617,4654,3365,157,579,656,4141,89011,393,2008,3538,4295,2670,3737,81871,2754
Cdh1,271,119,80,558,302,244,340,2715,1892,121,454,526,3105,65742,318,1580,3020,3437,2113,2866,68331,2033
Muc2,69,49,13,185,148,54,565,4179,3155,169,389,450,2691,65984,324,1556,2570,3255,2178,2693,53280,1854
Tff3,11,10,2,50,17,19,144,1296,848,41,114,171,924,19859,82,476,1335,1482,986,1354,26460,781
Fcgbp,3,3,5,12,57,0,76,613,378,18,100,104,594,14348,66,372,713,894,583,755,14863,490
Clca1,0,0,0,7,5,1,43,328,261,10,56,68,337,9192,45,244,366,435,338,402,7942,249
Zg16,15,9,0,7,46,4,168,1509,1109,31,415,612,3021,77047,326,1725,3518,4584,3146,3496,74766,2146
Agr2,37,70,22,97,34,55,334,2575,1935,114,317,403,2212,56459,210,1163,2674,3127,1839,2480,53573,1684
Clu,23,55,0,108,17,80,2,19,18,4,1,0,9,204,0,4,4,4,5,5,170,12
Ly6a,156,64,27,446,366,101,115,1157,860,29,1158,1607,8794,189471,853,4451,5513,7418,4304,4987,125754,4791
Anxa1,145,63,58,375,229,134,55,464,343,26,146,152,1043,23203,96,553,853,980,591,800,19226,670
Anxa2,255,116,82,524,331,195,326,3112,2255,105,630,712,4319,92449,368,2194,2953,3686,2215,2829,69559,2402
Krt8,545,363,214,1229,676,524,932,8517,6126,305,1130,1231,7328,158761,717,3634,6432,7746,4885,6557,153033,5027
Krt18,144,136,58,358,115,174,179,1485,1038,49,220,165,1295,28197,110,600,1051,1063,748,873,21690,709
Tacstd2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0
Krt20,212,80,47,660,584,223,575,5257,3985,170,270,455,2376,41408,239,1065,1596,1896,1134,1394,32970,1205
Slc26a3,88,47,27,292,122,89,1133,7805,4878,267,426,630,3095,56446,336,1890,3780,4821,2622,3528,82066,2956
Aqp8,41,51,2,436,255,143,235,1454,1008,27,72,170,543,8106,59,306,473,737,423,694,10997,434
Car1,959,786,269,3067,2379,1960,10721,96503,66857,2436,683,966,5572,102387,687,2502,4911,6736,3780,5248,114433,4832
Car2,189,135,83,413,171,217,1535,15296,10820,537,1057,920,6042,145730,649,3019,7915,10237,6378,8983,201882,7204
Alpi,7,2,1,30,12,10,14,91,63,0,0,1,4,57,0,2,3,3,2,1,64,0
Fabp1,4,0,3,4,1,0,2,8,8,0,0,0,1,9,0,0,0,4,0,1,1,0
