gene,mice_detected,total_mice,supported_for_display,in_main_panel,detected_DSS,detected_FAP ablation,detected_alpha5beta1 blockade
Il1b,19,22,True,False,6,2,11
Il6,16,22,True,False,6,4,6
Cxcl1,22,22,True,True,6,4,12
Cxcl2,21,22,True,True,6,3,12
Cxcl5,20,22,True,True,6,2,12
Ccl20,19,22,True,True,4,3,12
Mx1,20,22,True,False,6,3,11
Isg15,21,22,True,False,5,4,12
Ifit1,21,22,True,False,5,4,12
Ifit2,19,22,True,False,5,3,11
Ifit3,19,22,True,False,4,4,11
Oas1a,21,22,True,False,5,4,12
Stat1,22,22,True,False,6,4,12
Tjp1,22,22,True,True,6,4,12
Ocln,22,22,True,True,6,4,12
Cldn3,22,22,True,False,6,4,12
Cldn4,22,22,True,False,6,4,12
Cldn7,22,22,True,True,6,4,12
Cdh1,22,22,True,False,6,4,12
Muc2,22,22,True,True,6,4,12
Tff3,22,22,True,True,6,4,12
Fcgbp,21,22,True,True,5,4,12
Clca1,19,22,True,False,3,4,12
Zg16,21,22,True,False,5,4,12
Agr2,22,22,True,False,6,4,12
Clu,19,22,True,True,5,4,10
Ly6a,22,22,True,True,6,4,12
Anxa1,22,22,True,False,6,4,12
Anxa2,22,22,True,False,6,4,12
Krt8,22,22,True,False,6,4,12
Krt18,22,22,True,False,6,4,12
Tacstd2,4,22,True,True,1,0,3
Krt20,22,22,True,False,6,4,12
Slc26a3,22,22,True,True,6,4,12
Aqp8,22,22,True,True,6,4,12
Car1,22,22,True,False,6,4,12
Car2,22,22,True,False,6,4,12
Alpi,18,22,True,True,6,3,9
Fabp1,12,22,True,False,4,3,5
