key,sample_uid,group,n_cells,mouse_id
Level 3___Mature absorptive colonocyte___FAPTK__D1,FAPTK__D1,DSS,159,D1
Level 3___Mature absorptive colonocyte___FAPTK__D2,FAPTK__D2,DSS,66,D2
Level 3___Mature absorptive colonocyte___FAPTK__D3,FAPTK__D3,DSS,65,D3
Level 3___Mature absorptive colonocyte___FAPTK__D4,FAPTK__D4,DSS,279,D4
Level 3___Mature absorptive colonocyte___FAPTK__D5,FAPTK__D5,DSS,105,D5
Level 3___Mature absorptive colonocyte___FAPTK__D6,FAPTK__D6,DSS,122,D6
Level 3___Mature absorptive colonocyte___FAPTK__FD2,FAPTK__FD2,FAP ablation,373,FD2
Level 3___Mature absorptive colonocyte___FAPTK__FD3,FAPTK__FD3,FAP ablation,2844,FD3
Level 3___Mature absorptive colonocyte___FAPTK__FD4,FAPTK__FD4,FAP ablation,2009,FD4
Level 3___Mature absorptive colonocyte___FAPTK__FD6,FAPTK__FD6,FAP ablation,121,FD6
Level 3___Mature absorptive colonocyte___Merged_a5B1__M13,Merged_a5B1__M13,alpha5beta1 blockade,88,M13
Level 3___Mature absorptive colonocyte___Merged_a5B1__M14,Merged_a5B1__M14,alpha5beta1 blockade,107,M14
Level 3___Mature absorptive colonocyte___Merged_a5B1__M15,Merged_a5B1__M15,alpha5beta1 blockade,475,M15
Level 3___Mature absorptive colonocyte___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,9600,M16
Level 3___Mature absorptive colonocyte___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,71,M17
Level 3___Mature absorptive colonocyte___Merged_a5B1__M18,Merged_a5B1__M18,alpha5beta1 blockade,327,M18
Level 3___Mature absorptive colonocyte___Merged_a5B1__M19,Merged_a5B1__M19,alpha5beta1 blockade,611,M19
Level 3___Mature absorptive colonocyte___Merged_a5B1__M20,Merged_a5B1__M20,alpha5beta1 blockade,760,M20
Level 3___Mature absorptive colonocyte___Merged_a5B1__M21,Merged_a5B1__M21,alpha5beta1 blockade,531,M21
Level 3___Mature absorptive colonocyte___Merged_a5B1__M22,Merged_a5B1__M22,alpha5beta1 blockade,628,M22
Level 3___Mature absorptive colonocyte___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,11948,M23
Level 3___Mature absorptive colonocyte___Merged_a5B1__M24,Merged_a5B1__M24,alpha5beta1 blockade,509,M24
