sample_uid,group,Absorptive differentiation,Inflammatory chemokines,Mucus / secretory,mouse_id
FAPTK__D1,DSS,6.251583473871541,5.076895942274711,5.4778233303878485,D1
FAPTK__D2,DSS,6.236210703159614,5.016973651726662,4.95992448198476,D2
FAPTK__D3,DSS,5.788769371565903,4.3621514484588655,5.895176578410903,D3
FAPTK__D4,DSS,7.0389687692617215,5.198521273377847,6.329304808754255,D4
FAPTK__D5,DSS,6.925416261239171,5.233284070558304,8.203847119023587,D5
FAPTK__D6,DSS,6.645851284760606,5.185024584100533,6.4100292954884,D6
FAPTK__FD2,FAP ablation,7.2012069736416375,-1.6447943652345416,7.596099500172183,FD2
FAPTK__FD3,FAP ablation,7.107308886860876,1.090790147612207,8.05596812741148,FD3
FAPTK__FD4,FAP ablation,7.135857958680907,1.1420084630878042,8.375602414309602,FD4
FAPTK__FD6,FAP ablation,6.936366203201767,-0.6785605895864152,7.420585661413796,FD6
Merged_a5B1__M13,alpha5beta1 blockade,5.402212206842249,3.5054471560648786,9.63899602362998,M13
Merged_a5B1__M14,alpha5beta1 blockade,5.242606882815344,3.325902352051305,9.906892070408778,M14
Merged_a5B1__M15,alpha5beta1 blockade,5.3465065692972376,3.569156320774127,9.776423874847705,M15
Merged_a5B1__M16,alpha5beta1 blockade,5.463811729657094,3.944552094541578,9.89188436036166,M16
Merged_a5B1__M17,alpha5beta1 blockade,4.434041652612978,3.7150177172624304,9.369072874533863,M17
Merged_a5B1__M18,alpha5beta1 blockade,4.969541782189952,3.370783048429736,9.561713252283914,M18
Merged_a5B1__M19,alpha5beta1 blockade,5.100768498951773,2.0713762986150885,9.41978754008506,M19
Merged_a5B1__M20,alpha5beta1 blockade,5.595617709867815,2.2035892543897013,9.405985767261626,M20
Merged_a5B1__M21,alpha5beta1 blockade,5.541094942419534,1.926484275237467,9.484441794717137,M21
Merged_a5B1__M22,alpha5beta1 blockade,5.296241811673059,1.8520526429966613,9.39335353683497,M22
Merged_a5B1__M23,alpha5beta1 blockade,5.420508708104118,2.177574200351132,9.625468727575608,M23
Merged_a5B1__M24,alpha5beta1 blockade,5.153575525138945,2.3583069539207684,9.556398007124333,M24
