scope,state,program,group,n_DSS,n_treatment,effect,low,high,p,q
All epithelial,All epithelial,Inflammatory chemokines,FAP ablation,6,4,-5.03478091444639,-6.27269802711096,-3.8835146608953375,0.009523809523809525,0.02285714285714286
All epithelial,All epithelial,Inflammatory chemokines,alpha5beta1 blockade,6,12,-2.177121635529915,-2.6478010509331638,-1.680255438615408,0.00010773540185304891,0.00043094160741219563
All epithelial,All epithelial,Interferon response,FAP ablation,6,4,-0.3109319253453182,-1.0356922156832984,0.29721380585880053,0.9142857142857143,0.9142857142857143
All epithelial,All epithelial,Interferon response,alpha5beta1 blockade,6,12,-0.6279794635114202,-1.1109209847890538,-0.13826658713769613,0.10245636716224953,0.13660848954966603
All epithelial,All epithelial,Barrier / junctions,FAP ablation,6,4,-0.21509376257296253,-0.5077451901745568,0.032885632224289196,0.6095238095238095,0.6649350649350648
All epithelial,All epithelial,Barrier / junctions,alpha5beta1 blockade,6,12,0.41161524402550764,0.1897362173595931,0.6370648285071039,0.013466925231631115,0.02693385046326223
All epithelial,All epithelial,Mucus / secretory,FAP ablation,6,4,1.649379656818473,0.6952967784672461,2.4773533543603095,0.06666666666666667,0.1
All epithelial,All epithelial,Mucus / secretory,alpha5beta1 blockade,6,12,3.37318388346376,2.490082497059408,4.104617115307481,0.00010773540185304891,0.00043094160741219563
All epithelial,All epithelial,Injury-associated regeneration,FAP ablation,6,4,-1.0262273784720177,-1.4077524657625635,-0.7017441778697664,0.009523809523809525,0.02285714285714286
All epithelial,All epithelial,Injury-associated regeneration,alpha5beta1 blockade,6,12,0.06827015172608597,-0.3260730265202069,0.42301540159723594,0.5532212885154062,0.6638655462184875
All epithelial,All epithelial,Absorptive differentiation,FAP ablation,6,4,0.6140516949532051,0.262765980894331,0.9686227804144641,0.01904761904761905,0.0326530612244898
All epithelial,All epithelial,Absorptive differentiation,alpha5beta1 blockade,6,12,-1.2339226423455836,-1.6118229044375425,-0.853463241923202,0.00010773540185304891,0.00043094160741219563
Level 2,Epithelial,Inflammatory chemokines,FAP ablation,6,4,-5.018084913567587,-6.2666063966169565,-3.8657578947616997,0.009523809523809525,0.03428571428571429
Level 2,Epithelial,Inflammatory chemokines,alpha5beta1 blockade,6,12,-2.114103135196331,-2.6041331382806896,-1.5983551469787274,0.00010773540185304891,0.0006464124111182935
Level 2,Epithelial,Interferon response,FAP ablation,6,4,-0.33695466335595725,-1.065461234064074,0.2691856123347327,0.7619047619047619,0.7619047619047619
Level 2,Epithelial,Interferon response,alpha5beta1 blockade,6,12,-0.6480350598283176,-1.154699382036933,-0.16515096733522497,0.10245636716224953,0.13172961492289223
Level 2,Epithelial,Barrier / junctions,FAP ablation,6,4,-0.24920360884405035,-0.5276137438430857,-0.005019568474109079,0.35238095238095235,0.4228571428571428
Level 2,Epithelial,Barrier / junctions,alpha5beta1 blockade,6,12,0.3789404587685965,0.16152470222556922,0.5977783703302754,0.013466925231631115,0.040400775694893344
Level 2,Epithelial,Mucus / secretory,FAP ablation,6,4,1.6180767661402058,0.701486034029857,2.4393209344134927,0.06666666666666667,0.09999999999999999
Level 2,Epithelial,Mucus / secretory,alpha5beta1 blockade,6,12,3.343538577870839,2.448756128853193,4.077628158269633,0.00010773540185304891,0.0006464124111182935
Level 2,Epithelial,Injury-associated regeneration,FAP ablation,6,4,-1.0548446039268322,-1.431533377687505,-0.7267522596771391,0.009523809523809525,0.03428571428571429
Level 2,Epithelial,Injury-associated regeneration,alpha5beta1 blockade,6,12,0.04803541734098271,-0.34264205011252985,0.39096200221787153,0.6819650937297996,0.7220806874786114
Level 2,Epithelial,Absorptive differentiation,FAP ablation,6,4,0.5820234708608174,0.23927382189152424,0.9388634367926736,0.0380952380952381,0.06233766233766234
Level 2,Epithelial,Absorptive differentiation,alpha5beta1 blockade,6,12,-1.2683660003285304,-1.6482888438462564,-0.8912368090276195,0.00010773540185304891,0.0006464124111182935
