key,sample_uid,group,scope,state,n_cells,program,score
All epithelial___All epithelial___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,All epithelial,All epithelial,77703,Inflammatory chemokines,3.944552094541578
All epithelial___All epithelial___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,All epithelial,All epithelial,77703,Interferon response,2.3320730853445832
All epithelial___All epithelial___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,All epithelial,All epithelial,77703,Barrier / junctions,7.441316972112607
All epithelial___All epithelial___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,All epithelial,All epithelial,77703,Mucus / secretory,9.89188436036166
All epithelial___All epithelial___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,All epithelial,All epithelial,77703,Injury-associated regeneration,6.254627488448642
All epithelial___All epithelial___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,All epithelial,All epithelial,77703,Absorptive differentiation,5.463811729657094
All epithelial___All epithelial___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,All epithelial,All epithelial,91182,Inflammatory chemokines,2.1775742003511316
All epithelial___All epithelial___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,All epithelial,All epithelial,91182,Interferon response,1.336695122835964
All epithelial___All epithelial___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,All epithelial,All epithelial,91182,Barrier / junctions,6.929672812889113
All epithelial___All epithelial___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,All epithelial,All epithelial,91182,Mucus / secretory,9.625468727575607
All epithelial___All epithelial___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,All epithelial,All epithelial,91182,Injury-associated regeneration,5.687375331395681
All epithelial___All epithelial___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,All epithelial,All epithelial,91182,Absorptive differentiation,5.420508708104118
All epithelial___All epithelial___Merged_a5B1__M15,Merged_a5B1__M15,alpha5beta1 blockade,All epithelial,All epithelial,5779,Inflammatory chemokines,3.569156320774127
