"key","scope","state","sample_uid","n_cells"
"All epithelial___All epithelial___Merged_a5B1__M16","All epithelial","All epithelial","Merged_a5B1__M16",77703
"All epithelial___All epithelial___Merged_a5B1__M23","All epithelial","All epithelial","Merged_a5B1__M23",91182
"All epithelial___All epithelial___Merged_a5B1__M15","All epithelial","All epithelial","Merged_a5B1__M15",5779
"All epithelial___All epithelial___Merged_a5B1__M22","All epithelial","All epithelial","Merged_a5B1__M22",5489
"All epithelial___All epithelial___Merged_a5B1__M21","All epithelial","All epithelial","Merged_a5B1__M21",4897
"All epithelial___All epithelial___Merged_a5B1__M18","All epithelial","All epithelial","Merged_a5B1__M18",3754
"All epithelial___All epithelial___Merged_a5B1__M14","All epithelial","All epithelial","Merged_a5B1__M14",1162
"All epithelial___All epithelial___Merged_a5B1__M17","All epithelial","All epithelial","Merged_a5B1__M17",751
"All epithelial___All epithelial___Merged_a5B1__M24","All epithelial","All epithelial","Merged_a5B1__M24",4859
"All epithelial___All epithelial___Merged_a5B1__M20","All epithelial","All epithelial","Merged_a5B1__M20",6717
"All epithelial___All epithelial___Merged_a5B1__M13","All epithelial","All epithelial","Merged_a5B1__M13",1023
"All epithelial___All epithelial___Merged_a5B1__M19","All epithelial","All epithelial","Merged_a5B1__M19",5893
"All epithelial___All epithelial___FAPTK__D4","All epithelial","All epithelial","FAPTK__D4",1982
"All epithelial___All epithelial___FAPTK__D2","All epithelial","All epithelial","FAPTK__D2",568
"All epithelial___All epithelial___FAPTK__D1","All epithelial","All epithelial","FAPTK__D1",1251
"All epithelial___All epithelial___FAPTK__D3","All epithelial","All epithelial","FAPTK__D3",486
"All epithelial___All epithelial___FAPTK__D6","All epithelial","All epithelial","FAPTK__D6",1051
"All epithelial___All epithelial___FAPTK__D5","All epithelial","All epithelial","FAPTK__D5",739
"All epithelial___All epithelial___FAPTK__FD3","All epithelial","All epithelial","FAPTK__FD3",6165
"All epithelial___All epithelial___FAPTK__FD4","All epithelial","All epithelial","FAPTK__FD4",4285
"All epithelial___All epithelial___FAPTK__FD6","All epithelial","All epithelial","FAPTK__FD6",285
"All epithelial___All epithelial___FAPTK__FD2","All epithelial","All epithelial","FAPTK__FD2",805
"All epithelial___All epithelial___FAPTK__FD5","All epithelial","All epithelial","FAPTK__FD5",16
"Level 2___Epithelial___Merged_a5B1__M16","Level 2","Epithelial","Merged_a5B1__M16",77703
"Level 2___Epithelial___Merged_a5B1__M23","Level 2","Epithelial","Merged_a5B1__M23",91181
"Level 2___Epithelial___Merged_a5B1__M15","Level 2","Epithelial","Merged_a5B1__M15",5779
"Level 2___Epithelial___Merged_a5B1__M22","Level 2","Epithelial","Merged_a5B1__M22",5489
"Level 2___Epithelial___Merged_a5B1__M21","Level 2","Epithelial","Merged_a5B1__M21",4897
"Level 2___Epithelial___Merged_a5B1__M18","Level 2","Epithelial","Merged_a5B1__M18",3754
"Level 2___Epithelial___Merged_a5B1__M14","Level 2","Epithelial","Merged_a5B1__M14",1162
"Level 2___Epithelial___Merged_a5B1__M17","Level 2","Epithelial","Merged_a5B1__M17",751
"Level 2___Epithelial___Merged_a5B1__M24","Level 2","Epithelial","Merged_a5B1__M24",4859
"Level 2___Epithelial___Merged_a5B1__M20","Level 2","Epithelial","Merged_a5B1__M20",6717
"Level 2___Epithelial___Merged_a5B1__M13","Level 2","Epithelial","Merged_a5B1__M13",1023
"Level 2___Epithelial___Merged_a5B1__M19","Level 2","Epithelial","Merged_a5B1__M19",5893
"Level 2___Epithelial___FAPTK__D4","Level 2","Epithelial","FAPTK__D4",1901
"Level 2___Epithelial___FAPTK__D2","Level 2","Epithelial","FAPTK__D2",543
"Level 2___Epithelial___FAPTK__D1","Level 2","Epithelial","FAPTK__D1",1192
"Level 2___Epithelial___FAPTK__D3","Level 2","Epithelial","FAPTK__D3",450
"Level 2___Epithelial___FAPTK__D6","Level 2","Epithelial","FAPTK__D6",1018
"Level 2___Epithelial___FAPTK__D5","Level 2","Epithelial","FAPTK__D5",711
"Level 2___Epithelial___FAPTK__FD3","Level 2","Epithelial","FAPTK__FD3",5950
"Level 2___Epithelial___FAPTK__FD4","Level 2","Epithelial","FAPTK__FD4",4156
"Level 2___Epithelial___FAPTK__FD6","Level 2","Epithelial","FAPTK__FD6",280
"Level 2___Epithelial___FAPTK__FD2","Level 2","Epithelial","FAPTK__FD2",780
"Level 2___Epithelial___FAPTK__FD5","Level 2","Epithelial","FAPTK__FD5",15
"Level 2___Epithelial/stromal mixed___Merged_a5B1__M23","Level 2","Epithelial/stromal mixed","Merged_a5B1__M23",1
"Level 2___Epithelial/stromal mixed___FAPTK__D3","Level 2","Epithelial/stromal mixed","FAPTK__D3",36
"Level 2___Epithelial/stromal mixed___FAPTK__D5","Level 2","Epithelial/stromal mixed","FAPTK__D5",28
"Level 2___Epithelial/stromal mixed___FAPTK__D1","Level 2","Epithelial/stromal mixed","FAPTK__D1",59
"Level 2___Epithelial/stromal mixed___FAPTK__D2","Level 2","Epithelial/stromal mixed","FAPTK__D2",25
