"sample_uid","sample_id","source_batch","source_condition"
"FAPTK__D1","D1","M1","FAP-TK_PBS_DSS"
"FAPTK__D2","D2","M1","FAP-TK_PBS_DSS"
"FAPTK__D3","D3","M1","FAP-TK_PBS_DSS"
"FAPTK__D4","D4","M1","FAP-TK_PBS_DSS"
"FAPTK__D5","D5","M1","FAP-TK_PBS_DSS"
"FAPTK__D6","D6","M1","FAP-TK_PBS_DSS"
"FAPTK__FD2","FD2","M3","FAP-TK_GCV_DSS"
"FAPTK__FD3","FD3","M3","FAP-TK_GCV_DSS"
"FAPTK__FD4","FD4","M3","FAP-TK_GCV_DSS"
"FAPTK__FD5","FD5","M3","FAP-TK_GCV_DSS"
"FAPTK__FD6","FD6","M3","FAP-TK_GCV_DSS"
"Merged_a5B1__M13","M13","I1","DSS+ a5B1_inhibitor"
"Merged_a5B1__M14","M14","I1","DSS+ a5B1_inhibitor"
"Merged_a5B1__M15","M15","I1","DSS+ a5B1_inhibitor"
"Merged_a5B1__M16","M16","I1","DSS+ a5B1_inhibitor"
"Merged_a5B1__M17","M17","I1","DSS+ a5B1_inhibitor"
"Merged_a5B1__M18","M18","I1","DSS+ a5B1_inhibitor"
"Merged_a5B1__M19","M19","I1","DSS+ a5B1_inhibitor"
"Merged_a5B1__M20","M20","I1","DSS+ a5B1_inhibitor"
"Merged_a5B1__M21","M21","I1","DSS+ a5B1_inhibitor"
"Merged_a5B1__M22","M22","I1","DSS+ a5B1_inhibitor"
"Merged_a5B1__M23","M23","I1","DSS+ a5B1_inhibitor"
"Merged_a5B1__M24","M24","I1","DSS+ a5B1_inhibitor"
