sample,group,celltype,N,retained_for_pair
FAPTK__D5,PBS_DSS,Fibroblast,548,TRUE
FAPTK__D4,PBS_DSS,Fibroblast,822,TRUE
FAPTK__D1,PBS_DSS,Fibroblast,787,TRUE
FAPTK__D6,PBS_DSS,Fibroblast,1137,TRUE
FAPTK__D2,PBS_DSS,Fibroblast,196,TRUE
FAPTK__D3,PBS_DSS,Fibroblast,135,TRUE
FAPTK__FD4,GCV_DSS,Fibroblast,214,TRUE
FAPTK__FD6,GCV_DSS,Fibroblast,8,FALSE
FAPTK__FD3,GCV_DSS,Fibroblast,372,TRUE
FAPTK__FD2,GCV_DSS,Fibroblast,29,FALSE
FAPTK__D6,PBS_DSS,Neutrophil,210,TRUE
FAPTK__D4,PBS_DSS,Neutrophil,406,TRUE
FAPTK__D5,PBS_DSS,Neutrophil,376,TRUE
FAPTK__D1,PBS_DSS,Neutrophil,42,TRUE
FAPTK__D2,PBS_DSS,Neutrophil,11,TRUE
FAPTK__D3,PBS_DSS,Neutrophil,29,TRUE
FAPTK__FD3,GCV_DSS,Neutrophil,1,TRUE
FAPTK__FD4,GCV_DSS,Neutrophil,1,TRUE
