sample,group,celltype,N,retained_for_pair
Merged_a5B1__M16,Blockade,Fibroblast,46,TRUE
Merged_a5B1__M21,Blockade,Fibroblast,2,TRUE
Merged_a5B1__M23,Blockade,Fibroblast,11,TRUE
FAPTK__D5,DSS,Fibroblast,548,TRUE
FAPTK__D4,DSS,Fibroblast,822,TRUE
FAPTK__D1,DSS,Fibroblast,787,TRUE
FAPTK__D6,DSS,Fibroblast,1137,TRUE
FAPTK__D2,DSS,Fibroblast,196,TRUE
FAPTK__D3,DSS,Fibroblast,135,TRUE
Merged_a5B1__M19,Blockade,Fibroblast,1,FALSE
Merged_a5B1__M16,Blockade,Neutrophil,338,TRUE
Merged_a5B1__M20,Blockade,Neutrophil,6,FALSE
Merged_a5B1__M15,Blockade,Neutrophil,10,FALSE
Merged_a5B1__M23,Blockade,Neutrophil,59,TRUE
Merged_a5B1__M18,Blockade,Neutrophil,6,FALSE
Merged_a5B1__M21,Blockade,Neutrophil,7,TRUE
Merged_a5B1__M14,Blockade,Neutrophil,8,FALSE
Merged_a5B1__M24,Blockade,Neutrophil,2,FALSE
Merged_a5B1__M17,Blockade,Neutrophil,4,FALSE
Merged_a5B1__M13,Blockade,Neutrophil,4,FALSE
Merged_a5B1__M22,Blockade,Neutrophil,7,FALSE
Merged_a5B1__M19,Blockade,Neutrophil,5,FALSE
FAPTK__D6,DSS,Neutrophil,210,TRUE
FAPTK__D4,DSS,Neutrophil,406,TRUE
FAPTK__D5,DSS,Neutrophil,376,TRUE
FAPTK__D1,DSS,Neutrophil,42,TRUE
FAPTK__D2,DSS,Neutrophil,11,TRUE
FAPTK__D3,DSS,Neutrophil,29,TRUE
