sample_uid,sample_id,dataset_source,source_batch,source_condition,total_cells,contrast,contrast_short,condition_label,treatment_status
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,4490,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference
FAPTK__D2,D2,FAPTK,M1,FAP-TK_PBS_DSS,1071,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference
FAPTK__D3,D3,FAPTK,M1,FAP-TK_PBS_DSS,865,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference
FAPTK__D4,D4,FAPTK,M1,FAP-TK_PBS_DSS,7124,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference
FAPTK__D5,D5,FAPTK,M1,FAP-TK_PBS_DSS,5755,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference
FAPTK__D6,D6,FAPTK,M1,FAP-TK_PBS_DSS,9660,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference
FAPTK__FD2,FD2,FAPTK,M3,FAP-TK_GCV_DSS,965,FAP ablation during DSS,FAP ablation,FAP-TK GCV+DSS,Treatment
FAPTK__FD3,FD3,FAPTK,M3,FAP-TK_GCV_DSS,8627,FAP ablation during DSS,FAP ablation,FAP-TK GCV+DSS,Treatment
FAPTK__FD4,FD4,FAPTK,M3,FAP-TK_GCV_DSS,5313,FAP ablation during DSS,FAP ablation,FAP-TK GCV+DSS,Treatment
FAPTK__FD5,FD5,FAPTK,M3,FAP-TK_GCV_DSS,21,FAP ablation during DSS,FAP ablation,FAP-TK GCV+DSS,Treatment
FAPTK__FD6,FD6,FAPTK,M3,FAP-TK_GCV_DSS,338,FAP ablation during DSS,FAP ablation,FAP-TK GCV+DSS,Treatment
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,4490,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment
FAPTK__D2,D2,FAPTK,M1,FAP-TK_PBS_DSS,1071,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment
FAPTK__D3,D3,FAPTK,M1,FAP-TK_PBS_DSS,865,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment
FAPTK__D4,D4,FAPTK,M1,FAP-TK_PBS_DSS,7124,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment
FAPTK__D5,D5,FAPTK,M1,FAP-TK_PBS_DSS,5755,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment
FAPTK__D6,D6,FAPTK,M1,FAP-TK_PBS_DSS,9660,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment
FAPTK__FC2,FC2,FAPTK,M2,FAP-TK_PBS,205,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS,Reference
FAPTK__FC3,FC3,FAPTK,M2,FAP-TK_PBS,685,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS,Reference
FAPTK__FC4,FC4,FAPTK,M2,FAP-TK_PBS,153,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS,Reference
FAPTK__FC5,FC5,FAPTK,M2,FAP-TK_PBS,1519,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS,Reference
FAPTK__FC6,FC6,FAPTK,M2,FAP-TK_PBS,1219,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS,Reference
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,4490,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment
FAPTK__D2,D2,FAPTK,M1,FAP-TK_PBS_DSS,1071,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment
FAPTK__D3,D3,FAPTK,M1,FAP-TK_PBS_DSS,865,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment
FAPTK__D4,D4,FAPTK,M1,FAP-TK_PBS_DSS,7124,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment
FAPTK__D5,D5,FAPTK,M1,FAP-TK_PBS_DSS,5755,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment
FAPTK__D6,D6,FAPTK,M1,FAP-TK_PBS_DSS,9660,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment
Merged_a5B1__M1,M1,Merged_a5B1,CD1,Control,14284,DSS induction in a5B1 cohort,DSS induction,Control,Reference
Merged_a5B1__M2,M2,Merged_a5B1,CD1,Control,29338,DSS induction in a5B1 cohort,DSS induction,Control,Reference
Merged_a5B1__M3,M3,Merged_a5B1,CD1,Control,41642,DSS induction in a5B1 cohort,DSS induction,Control,Reference
Merged_a5B1__M4,M4,Merged_a5B1,CD1,Control,22157,DSS induction in a5B1 cohort,DSS induction,Control,Reference
Merged_a5B1__M5,M5,Merged_a5B1,CD1,Control,13580,DSS induction in a5B1 cohort,DSS induction,Control,Reference
Merged_a5B1__M6,M6,Merged_a5B1,CD1,Control,30753,DSS induction in a5B1 cohort,DSS induction,Control,Reference
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,4490,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference
FAPTK__D2,D2,FAPTK,M1,FAP-TK_PBS_DSS,1071,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference
FAPTK__D3,D3,FAPTK,M1,FAP-TK_PBS_DSS,865,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference
FAPTK__D4,D4,FAPTK,M1,FAP-TK_PBS_DSS,7124,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference
FAPTK__D5,D5,FAPTK,M1,FAP-TK_PBS_DSS,5755,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference
FAPTK__D6,D6,FAPTK,M1,FAP-TK_PBS_DSS,9660,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference
Merged_a5B1__M13,M13,Merged_a5B1,I1,DSS+ a5B1_inhibitor,1050,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment
Merged_a5B1__M14,M14,Merged_a5B1,I1,DSS+ a5B1_inhibitor,1193,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment
Merged_a5B1__M15,M15,Merged_a5B1,I1,DSS+ a5B1_inhibitor,5874,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment
Merged_a5B1__M16,M16,Merged_a5B1,I1,DSS+ a5B1_inhibitor,79762,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment
Merged_a5B1__M17,M17,Merged_a5B1,I1,DSS+ a5B1_inhibitor,761,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment
Merged_a5B1__M18,M18,Merged_a5B1,I1,DSS+ a5B1_inhibitor,3816,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment
Merged_a5B1__M19,M19,Merged_a5B1,I1,DSS+ a5B1_inhibitor,6054,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment
Merged_a5B1__M20,M20,Merged_a5B1,I1,DSS+ a5B1_inhibitor,6778,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment
Merged_a5B1__M21,M21,Merged_a5B1,I1,DSS+ a5B1_inhibitor,4938,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment
Merged_a5B1__M22,M22,Merged_a5B1,I1,DSS+ a5B1_inhibitor,5532,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment
Merged_a5B1__M23,M23,Merged_a5B1,I1,DSS+ a5B1_inhibitor,91895,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment
Merged_a5B1__M24,M24,Merged_a5B1,I1,DSS+ a5B1_inhibitor,4899,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment
