sample_uid,sample_id,dataset_source,source_batch,source_condition,contrast,contrast_short,condition_label,treatment_status,total_cells,compartment,feature_scope,feature,numerator_cells,denominator_cells,proportion
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Compartment recovery,Epithelial,1251,4490,0.278619153674833
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Compartment recovery,Epithelial,1251,4490,0.278619153674833
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Compartment recovery,Epithelial,1251,4490,0.278619153674833
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Compartment recovery,Epithelial,1251,4490,0.278619153674833
FAPTK__D2,D2,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,1071,Epithelial,Compartment recovery,Epithelial,568,1071,0.530345471521942
FAPTK__D2,D2,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,1071,Epithelial,Compartment recovery,Epithelial,568,1071,0.530345471521942
FAPTK__D2,D2,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,1071,Epithelial,Compartment recovery,Epithelial,568,1071,0.530345471521942
FAPTK__D2,D2,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,1071,Epithelial,Compartment recovery,Epithelial,568,1071,0.530345471521942
FAPTK__D3,D3,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,865,Epithelial,Compartment recovery,Epithelial,486,865,0.561849710982659
FAPTK__D3,D3,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,865,Epithelial,Compartment recovery,Epithelial,486,865,0.561849710982659
FAPTK__D3,D3,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,865,Epithelial,Compartment recovery,Epithelial,486,865,0.561849710982659
FAPTK__D3,D3,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,865,Epithelial,Compartment recovery,Epithelial,486,865,0.561849710982659
FAPTK__D4,D4,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,7124,Epithelial,Compartment recovery,Epithelial,1982,7124,0.278214486243683
FAPTK__D4,D4,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,7124,Epithelial,Compartment recovery,Epithelial,1982,7124,0.278214486243683
FAPTK__D4,D4,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,7124,Epithelial,Compartment recovery,Epithelial,1982,7124,0.278214486243683
FAPTK__D4,D4,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,7124,Epithelial,Compartment recovery,Epithelial,1982,7124,0.278214486243683
FAPTK__D5,D5,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,5755,Epithelial,Compartment recovery,Epithelial,739,5755,0.128410078192876
FAPTK__D5,D5,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,5755,Epithelial,Compartment recovery,Epithelial,739,5755,0.128410078192876
FAPTK__D5,D5,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,5755,Epithelial,Compartment recovery,Epithelial,739,5755,0.128410078192876
FAPTK__D5,D5,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,5755,Epithelial,Compartment recovery,Epithelial,739,5755,0.128410078192876
FAPTK__D6,D6,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,9660,Epithelial,Compartment recovery,Epithelial,1051,9660,0.10879917184265
FAPTK__D6,D6,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,9660,Epithelial,Compartment recovery,Epithelial,1051,9660,0.10879917184265
FAPTK__D6,D6,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,9660,Epithelial,Compartment recovery,Epithelial,1051,9660,0.10879917184265
FAPTK__D6,D6,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,9660,Epithelial,Compartment recovery,Epithelial,1051,9660,0.10879917184265
FAPTK__FC2,FC2,FAPTK,M2,FAP-TK_PBS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS,Reference,205,Epithelial,Compartment recovery,Epithelial,155,205,0.75609756097561
FAPTK__FC3,FC3,FAPTK,M2,FAP-TK_PBS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS,Reference,685,Epithelial,Compartment recovery,Epithelial,525,685,0.766423357664234
FAPTK__FC4,FC4,FAPTK,M2,FAP-TK_PBS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS,Reference,153,Epithelial,Compartment recovery,Epithelial,117,153,0.764705882352941
FAPTK__FC5,FC5,FAPTK,M2,FAP-TK_PBS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS,Reference,1519,Epithelial,Compartment recovery,Epithelial,589,1519,0.387755102040816
FAPTK__FC6,FC6,FAPTK,M2,FAP-TK_PBS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS,Reference,1219,Epithelial,Compartment recovery,Epithelial,1036,1219,0.849876948318294
FAPTK__FD2,FD2,FAPTK,M3,FAP-TK_GCV_DSS,FAP ablation during DSS,FAP ablation,FAP-TK GCV+DSS,Treatment,965,Epithelial,Compartment recovery,Epithelial,805,965,0.83419689119171
FAPTK__FD3,FD3,FAPTK,M3,FAP-TK_GCV_DSS,FAP ablation during DSS,FAP ablation,FAP-TK GCV+DSS,Treatment,8627,Epithelial,Compartment recovery,Epithelial,6165,8627,0.714616900428886
