direction,ligand,receptor,disease_score_fap_series,attenuation_fap_ablation,disease_score_blockade_series,attenuation_a5b1_blockade,disease_induced_both_series,attenuation_class,consensus_strength,interaction,attenuation_difference_ablation_minus_blockade,prespecified_focus,focus_order
Neutrophil -> Fibroblast,H2.DMb2,Cd74,0.798483409430571,0.764993378879205,0.798377515749338,0.471711372790251,True,Attenuated by both,0.471711372790251,H2.DMb2 → Cd74,0.29328200608895405,False,
Fibroblast -> Neutrophil,Cd86,Ctla4,0.772983141190593,0.728551411290688,0.701281512529971,0.78951732935507,True,Attenuated by both,0.728551411290688,Cd86 → Ctla4,-0.06096591806438201,False,
Neutrophil -> Fibroblast,Tgm2,Itga4,0.737584581763224,0.67776293491337,0.609552961722186,0.282263447669438,True,Attenuated by both,0.282263447669438,Tgm2 → Itga4,0.395499487243932,True,15.0
Fibroblast -> Neutrophil,Btla,Cd79a,0.725597159570172,0.651347816272976,0.681874255105073,0.657543492883438,True,Attenuated by both,0.651347816272976,Btla → Cd79a,-0.006195676610462053,False,
Neutrophil -> Fibroblast,Alcam,Alcam,0.708785516656398,0.699814901492363,0.209526457716581,0.279117674677152,True,Attenuated by both,0.279117674677152,Alcam → Alcam,0.42069722681521105,False,
Neutrophil -> Fibroblast,Thbs1,Itga4,0.705643984330468,0.74149811691172,0.784820701278416,0.61585460246799,True,Attenuated by both,0.61585460246799,Thbs1 → Itga4,0.12564351444373,True,14.0
Fibroblast -> Neutrophil,Cd274,Cd80,0.6961423469575,0.448681268459531,0.340277462884742,0.335229948048353,True,Attenuated by both,0.335229948048353,Cd274 → Cd80,0.113451320411178,False,
Neutrophil -> Fibroblast,Tgfbi,Itga4,0.693340872822615,0.675554627528835,0.578168365167373,0.337986779880163,True,Attenuated by both,0.337986779880163,Tgfbi → Itga4,0.337567847648672,False,
Neutrophil -> Fibroblast,Il15,Il2rg,0.686891021428279,0.718668612528263,0.376846785379198,0.314666512108935,True,Attenuated by both,0.314666512108935,Il15 → Il2rg,0.404002100419328,False,
Fibroblast -> Neutrophil,H2.DMb2,Cd74,0.674256825928793,0.586426739677755,0.55798259875266,0.435656949149857,True,Attenuated by both,0.435656949149857,H2.DMb2 → Cd74,0.15076979052789807,False,
