feature_scope,compartment,feature,effect_percentage_points_ablation,ci_low_ablation,ci_high_ablation,fdr_global_scope_ablation,reference_n_ablation,treatment_n_ablation,effect_percentage_points_blockade,ci_low_blockade,ci_high_blockade,fdr_global_scope_blockade,reference_n_blockade,treatment_n_blockade,ablation_minus_blockade_percentage_points,difference_ci_low,difference_ci_high,effect_concordant,max_abs_effect
Compartment recovery,Epithelial,Epithelial,47.77122175333607,32.81640802267537,62.02861488110021,0.00811311726556578,6,5,66.97380014252604,52.43776074016731,80.8121477507977,0.0008845671563050018,6,12,-19.202578389189974,-23.573404815063945,-15.256164327299025,True,66.97380014252604
Compartment recovery,Immune,Immune,-41.83048790694223,-60.49319505787777,-22.97448943047569,0.00811311726556578,6,5,-46.82688611226749,-65.38701315618499,-27.7293459781536,0.0008845671563050018,6,12,4.996398205325252,1.3647787028392864,9.112416438215819,True,46.82688611226749
Compartment recovery,Stromal,Stromal,-11.301983021766066,-14.272189765997123,-8.389830209416994,0.00811311726556578,6,5,-14.032440363337386,-16.585267784587803,-11.35453614295475,0.0008845671563050018,6,12,2.73045734157132,1.2680098706021004,3.92406700239925,True,14.032440363337386
Level 3 fraction within compartment,Epithelial,Absorptive-secretory transitional epithelial,33.18397127701864,31.156519269698318,35.41226153588377,0.03813165114815917,6,5,-0.3170545340692433,-0.44506320172690156,-0.1885338162385526,0.0061251769139374305,6,12,33.501025811087885,31.487841495924208,35.72876945872907,False,33.18397127701864
Level 3 fraction within compartment,Epithelial,Colonocyte-like epithelial cell,2.108241180407941,0.6159233685368382,3.834181010290282,0.09338316832088671,6,5,-0.7183149598685868,-1.0973503117566143,-0.37265105377015967,0.007376150968329977,6,12,2.826556140276528,1.3364292254464598,4.58033563967797,False,2.108241180407941
Level 3 fraction within compartment,Epithelial,Enteroendocrine cell,0.12868958728378366,0.0012455620164740623,0.2509100345990073,0.20378843550841716,6,5,0.04927129538333916,-0.03655428674985613,0.1146055920536307,0.04521652033336351,6,12,0.0794182919004445,-0.027097178040579862,0.18689555991808093,True,0.12868958728378366
Level 3 fraction within compartment,Epithelial,Enteroendocrine-secretory transitional cell,0.29371427509871895,-0.18198550049610324,0.7112770819276399,0.3060775521344269,6,5,1.5298486855012405,1.1531254944098184,1.9162348918996301,0.0034645546955279233,6,12,-1.2361344104025216,-1.7920494990885298,-0.7279275191715231,True,1.5298486855012405
Level 3 fraction within compartment,Epithelial,IFN-responsive absorptive colonocyte,-0.7128929171782447,-1.01606789663995,-0.420595390539543,0.03813165114815917,6,5,-0.7089988697186714,-1.0207442582233468,-0.4128834602288194,0.0034645546955279233,6,12,-0.003894047459573335,-0.02452931997069367,0.012976480129764002,True,0.7128929171782447
Level 3 fraction within compartment,Epithelial,IFN/MHC-II-responsive epithelial,-71.92097266873813,-74.65083605865664,-69.33214329583383,0.03813165114815917,6,5,-75.55797147518015,-77.01604580911507,-73.91856335940992,0.0034645546955279233,6,12,3.636998806442019,1.2574588994847813,5.749608217177866,True,75.55797147518015
Level 3 fraction within compartment,Epithelial,Inflammatory Zg16+ secretory epithelial,0.5395563857710586,-0.053002140503709334,1.0673990227140195,0.25101454533898376,6,5,4.473140548749837,4.094193348230108,4.848081574065459,0.0034645546955279233,6,12,-3.9335841629787773,-4.574742760607036,-3.3440791999569854,True,4.473140548749837
