intervention,feature_scope,compartment,feature,reference_n,treatment_n,reference_mean,treatment_mean,effect_percentage_points,ci_low,ci_high,mann_whitney_u,p_value,minimum_total_cells,fdr_global_scope
FAP ablation,Compartment recovery,Epithelial,Epithelial,6,5,0.31437301207644053,0.7920852296098012,47.77122175333607,32.81640802267537,62.02861488110021,30.0,0.00811311726556578,0,0.00811311726556578
FAP ablation,Compartment recovery,Immune,Immune,6,5,0.47803910442176184,0.05973422535233951,-41.83048790694223,-60.49319505787777,-22.97448943047569,0.0,0.00811311726556578,0,0.00811311726556578
FAP ablation,Compartment recovery,Stromal,Stromal,6,5,0.14044372029434343,0.027423890076682778,-11.301983021766066,-14.272189765997123,-8.389830209416994,0.0,0.00811311726556578,0,0.00811311726556578
FAP ablation,Level 3 fraction within compartment,Epithelial,Absorptive-secretory transitional epithelial,6,5,0.004782083372942233,0.33662179614312865,33.18397127701864,31.156519269698318,35.41226153588377,30.0,0.00811311726556578,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Epithelial,Colonocyte-like epithelial cell,6,5,0.010121197662254267,0.031203609466333677,2.108241180407941,0.6159233685368382,3.834181010290282,27.0,0.03576376659097789,0,0.09338316832088671
FAP ablation,Level 3 fraction within compartment,Epithelial,Enteroendocrine cell,6,5,0.00048377040043038336,0.0017706662732682199,0.12868958728378366,0.0012455620164740623,0.2509100345990073,24.0,0.10360419498787639,0,0.20378843550841716
FAP ablation,Level 3 fraction within compartment,Epithelial,Enteroendocrine-secretory transitional cell,6,5,0.0053646803642442495,0.008301823115231439,0.29371427509871895,-0.18198550049610324,0.7112770819276399,22.0,0.23533326650958586,0,0.3060775521344269
FAP ablation,Level 3 fraction within compartment,Epithelial,IFN-responsive absorptive colonocyte,6,5,0.007193811572431267,6.488240064882001e-05,-0.7128929171782447,-1.01606789663995,-0.420595390539543,0.0,0.006735947344953688,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Epithelial,IFN/MHC-II-responsive epithelial,6,5,0.7613813074205321,0.0421715807331508,-71.92097266873813,-74.65083605865664,-69.33214329583383,0.0,0.00811311726556578,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Epithelial,Inflammatory Zg16+ secretory epithelial,6,5,0.004715632688400934,0.01011119654611152,0.5395563857710586,-0.053002140503709334,1.0673990227140195,23.0,0.17090352023079747,0,0.25101454533898376
FAP ablation,Level 3 fraction within compartment,Epithelial,Injury/inflammatory epithelial,6,5,0.01070823327246565,0.00048976885265634,-1.021846441980931,-1.298927860208346,-0.7650490316196313,0.0,0.007969413024121784,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Epithelial,Mature absorptive colonocyte,6,5,0.12932851392800118,0.4511148233713806,32.17863094433794,30.409260215460584,33.80212280808208,30.0,0.00811311726556578,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Epithelial,Reg4+ deep-crypt secretory epithelial,6,5,0.007828577988398618,0.022083605634793918,1.42550276463953,0.09968003144358968,2.6112102039010914,23.0,0.17090352023079747,0,0.25101454533898376
FAP ablation,Level 3 fraction within compartment,Epithelial,Satb2+ epithelial-like transitional cell,6,5,0.04590099103918698,0.035215813624380185,-1.0685177414806797,-2.7518413507887507,0.6362126847985737,6.0,0.12069080052744556,0,0.2074888896895377
FAP ablation,Level 3 fraction within compartment,Epithelial,Secretory-absorptive transitional epithelial,6,5,0.0023657801501670832,0.047014294180103215,4.464851402993613,3.661262054985113,5.346693869579008,30.0,0.00811311726556578,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Epithelial,Zg16+ secretory epithelial,6,5,0.009825420140544766,0.01383613965881284,0.4010719518268074,-0.34300760632490057,0.9645375729189766,24.0,0.12069080052744556,0,0.2074888896895377
FAP ablation,Level 3 fraction within compartment,Immune,Activated B cell,6,5,0.06186331374740539,0.00396753832281334,-5.789577542459205,-8.916766143723601,-2.844960787702129,1.0,0.011643995832960661,0,0.04175373917792852
FAP ablation,Level 3 fraction within compartment,Immune,Activated dendritic cell,6,5,0.005628334132420417,0.00126239855725878,-0.4365935575161637,-0.7353961962858799,-0.09148925220710784,5.0,0.0688944202078717,0,0.16190188748849849
FAP ablation,Level 3 fraction within compartment,Immune,C1q+ macrophage,6,5,0.0042314981296665,0.052359540931237625,4.8128042801571125,0.15577234705054518,11.451539464763549,19.0,0.5189924682098411,0,0.5807772858538699
FAP ablation,Level 3 fraction within compartment,Immune,Ccr3+ eosinophil,6,5,0.0007266708969141168,0.0,-0.07266708969141168,-0.14997935773840168,-0.016235272288708334,7.5,0.10406217983408536,0,0.20378843550841716
FAP ablation,Level 3 fraction within compartment,Immune,Conventional B cell,6,5,0.15688295858719006,0.01327522292355476,-14.36077356636353,-21.51515871956128,-7.716045522288178,0.0,0.007546234490451711,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Immune,Conventional T cell,6,5,0.04474927324313446,0.13629715824227873,9.154788499914426,-1.0390727458435673,21.741565746677633,21.0,0.31530245208174557,0,0.37997987814979595
FAP ablation,Level 3 fraction within compartment,Immune,Conventional dendritic cell,6,5,0.016313247311826783,0.00252479711451758,-1.3788450197309203,-2.685177198314355,-0.15574362507284323,6.0,0.10360419498787639,0,0.20378843550841716
FAP ablation,Level 3 fraction within compartment,Immune,Cxcr2+ neutrophil,6,5,0.03892459879476198,0.0,-3.892459879476198,-6.30555096704674,-1.3146442162876102,2.5,0.016886728823332864,0,0.04668683851156733
FAP ablation,Level 3 fraction within compartment,Immune,Cycling immune cell,6,5,0.007338670338307401,0.01851454179125308,1.1175871452945678,-0.5715586478974681,3.152700935550952,16.0,0.9270990616387901,0,0.9472533890657203
FAP ablation,Level 3 fraction within compartment,Immune,Follicular B cell,6,5,0.0097424278579855,0.01584721954372266,0.610479168573716,-1.1500837643918218,2.5575946469488446,13.5,0.8517620620140876,0,0.8896181536591581
FAP ablation,Level 3 fraction within compartment,Immune,Folr2+ resident macrophage,6,5,0.1768227713841873,0.22780916689687278,5.098639551268547,-10.508036575275721,22.059482699811095,20.0,0.41131379177625893,0,0.4832937053371042
FAP ablation,Level 3 fraction within compartment,Immune,Foxp3+ regulatory T cell,6,5,0.0436111457376124,0.0161662071230135,-2.74449386145989,-5.562117683126214,0.1909044927144155,5.0,0.08004227035831314,0,0.17914222413527228
FAP ablation,Level 3 fraction within compartment,Immune,Gamma-delta T/NK cell,6,5,0.00855238899375515,0.01735847242709124,0.880608343333609,-0.8552614025950489,2.9648187513789113,15.0,1.0,0,1.0
FAP ablation,Level 3 fraction within compartment,Immune,Gamma-delta T/NK-like cell,6,5,0.0291535957259542,0.37082168547986843,34.16680897539142,21.330132287689942,45.0146476747771,30.0,0.00811311726556578,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Immune,IL-17+ gamma-delta T cell,6,5,0.0044593901769996325,0.0032461677186654604,-0.12132224583341722,-0.6757629254243684,0.6023689767074332,8.0,0.21325850560790915,0,0.28637570753062086
FAP ablation,Level 3 fraction within compartment,Immune,IL-22+ ILC3-like cell,6,5,0.004756298178116584,0.0032461677186654604,-0.15101304594511236,-0.5735319574975167,0.5247858057057798,6.0,0.1121958240846801,0,0.2074888896895377
FAP ablation,Level 3 fraction within compartment,Immune,IL-5/IL-13+ ILC2,6,5,0.005816536090563433,0.0068207050042479594,0.10041689136845262,-0.7741812806608903,1.0745484716462443,13.0,0.7739376469563976,0,0.8267061228852429
FAP ablation,Level 3 fraction within compartment,Immune,Inflammatory monocyte/macrophage,6,5,0.10391442102487226,0.00613165013525698,-9.778277088961529,-15.122262187163207,-4.5492723699124795,1.0,0.011643995832960661,0,0.04175373917792852
FAP ablation,Level 3 fraction within compartment,Immune,Inflammatory neutrophil,6,5,0.04293439232413582,0.0013364120151987998,-4.159798030893701,-7.796222057766542,-1.5702178560824867,0.0,0.007546234490451711,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Immune,Mast cell/basophil,6,5,0.0012270509922489333,0.00072137060414788,-0.05056803881010533,-0.19844648196707,0.12153797737154402,12.0,0.5970477943493623,0,0.6525871240562797
FAP ablation,Level 3 fraction within compartment,Immune,Mature B cell,6,5,0.1520109478140609,0.00108205590622182,-15.09288919078391,-20.22908764110862,-9.702187939387526,0.0,0.006735947344953688,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Immune,Naive T cell,6,5,0.0024094440541395997,0.00036068530207394,-0.20487587520656597,-0.5187737443574643,0.010844992160917683,8.0,0.19562021138624175,0,0.2757208135755657
FAP ablation,Level 3 fraction within compartment,Immune,Naive conventional T cell,6,5,0.050257772412730016,0.00883678990081154,-4.142098251191848,-8.56798192417484,-0.19432342060094585,4.0,0.04974599072150299,0,0.12305587178477055
FAP ablation,Level 3 fraction within compartment,Immune,Plasma cell,6,5,0.027672852051010863,0.09201404634122749,6.4341194290216634,-0.7031255344702355,15.005321416335732,21.0,0.31530245208174557,0,0.37997987814979595
FAP ablation,Level 3 fraction within compartment,Stromal,Ackr4+ Pi16-like fibroblast,6,4,0.03482619725812089,0.398575974863036,36.37497776049151,22.451578642679536,50.75414259456746,24.0,0.01421403886908205,0,0.04175373917792852
FAP ablation,Level 3 fraction within compartment,Stromal,Apod+ Wnt5a+ trophic fibroblast,6,4,0.0243888997345624,0.10835063795355876,8.396173821899636,7.263398798715625,9.678260087455858,24.0,0.01421403886908205,0,0.04175373917792852
FAP ablation,Level 3 fraction within compartment,Stromal,Ccl7+ Cxcl1+ inflammatory fibroblast,6,4,0.16251377423043223,0.11320535278034782,-4.930842145008441,-14.266093758740451,4.053613268135125,8.0,0.45554509378932995,0,0.5222102294658173
