intervention,feature_scope,compartment,feature,reference_n,treatment_n,reference_mean,treatment_mean,effect_percentage_points,ci_low,ci_high,mann_whitney_u,p_value,minimum_total_cells,fdr_global_scope
FAP ablation,Compartment recovery,Epithelial,Epithelial,6,4,0.31437301207644053,0.799630346536061,48.52573344596205,33.35982975746782,62.81349286926722,24.0,0.01421403886908205,200,0.01421403886908205
FAP ablation,Compartment recovery,Immune,Immune,6,4,0.47803910442176184,0.05085825788090059,-42.71808465408613,-61.28662617667783,-23.433248772798184,0.0,0.01421403886908205,200,0.01421403886908205
FAP ablation,Compartment recovery,Stromal,Stromal,6,4,0.14044372029434343,0.03427986259585347,-10.616385769848996,-13.327575225088154,-7.9399803404548885,0.0,0.01421403886908205,200,0.01421403886908205
FAP ablation,Level 3 fraction within compartment,Epithelial,Absorptive-secretory transitional epithelial,6,4,0.004782083372942233,0.3270272451789108,32.22451618059686,30.90294821448448,34.016012079261756,24.0,0.01421403886908205,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Epithelial,Colonocyte-like epithelial cell,6,4,0.010121197662254267,0.0233795118329171,1.325831417066283,0.21379463572093585,2.1450187800614122,21.0,0.0699543585800103,200,0.126455955894634
FAP ablation,Level 3 fraction within compartment,Epithelial,Enteroendocrine cell,6,4,0.00048377040043038336,0.0022133328415852747,0.17295624411548913,0.06157780212304498,0.2828441700486883,22.0,0.036642834485515814,200,0.07828241912814743
FAP ablation,Level 3 fraction within compartment,Epithelial,Enteroendocrine-secretory transitional cell,6,4,0.0053646803642442495,0.0103772788940393,0.501259852979505,0.21024442117916936,0.8079332580793936,22.0,0.04282560923089135,200,0.08751320147182146
FAP ablation,Level 3 fraction within compartment,Epithelial,IFN-responsive absorptive colonocyte,6,4,0.007193811572431267,8.1103000811025e-05,-0.7112708571620242,-1.0080095247978251,-0.41268683900556663,0.0,0.013061845200729446,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Epithelial,IFN/MHC-II-responsive epithelial,6,4,0.7613813074205321,0.0527144759164385,-70.86668315040936,-72.83298407323139,-68.69901402988336,0.0,0.01421403886908205,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Epithelial,Inflammatory Zg16+ secretory epithelial,6,4,0.004715632688400934,0.0126389956826394,0.7923362994238465,0.3868599723982233,1.1956690607866283,23.0,0.025181464404459664,200,0.05917644135048021
FAP ablation,Level 3 fraction within compartment,Epithelial,Injury/inflammatory epithelial,6,4,0.01070823327246565,0.0006122110658204249,-1.0096022206645225,-1.2903274375845255,-0.7474783390550349,0.0,0.01421403886908205,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Epithelial,Mature absorptive colonocyte,6,4,0.12932851392800118,0.45451852921422575,32.51900152862246,30.42205613063477,34.15300730755611,24.0,0.01421403886908205,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Epithelial,Reg4+ deep-crypt secretory epithelial,6,4,0.007828577988398618,0.027604507043492398,1.9775929055093782,0.81214699756781,2.713350769786174,23.0,0.025181464404459664,200,0.05917644135048021
FAP ablation,Level 3 fraction within compartment,Epithelial,Satb2+ epithelial-like transitional cell,6,4,0.04590099103918698,0.028394767030475228,-1.7506224008711755,-3.13450018045797,-0.6380669415452608,1.0,0.025181464404459664,200,0.05917644135048021
FAP ablation,Level 3 fraction within compartment,Epithelial,Secretory-absorptive transitional epithelial,6,4,0.0023657801501670832,0.04314286772512902,4.077708757496193,3.416641703362429,4.764695003796842,24.0,0.01421403886908205,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Epithelial,Zg16+ secretory epithelial,6,4,0.009825420140544766,0.01729517457351605,0.7469754432971284,0.4754701812647039,1.0648163819653054,24.0,0.01421403886908205,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Immune,Activated B cell,6,4,0.06186331374740539,0.004959422903516675,-5.690389084388872,-8.846027900989913,-2.7797043692676517,1.0,0.023436344097303736,200,0.05917644135048021
FAP ablation,Level 3 fraction within compartment,Immune,Activated dendritic cell,6,4,0.005628334132420417,0.001577998196573475,-0.4050335935846942,-0.7372084181520734,-0.0093042163676033,4.5,0.12361040236823521,200,0.20033410038989846
FAP ablation,Level 3 fraction within compartment,Immune,C1q+ macrophage,6,4,0.0042314981296665,0.06544942616404703,6.121792803438053,0.6962939303473885,13.683763126136107,18.5,0.199457609820622,200,0.2604029905991454
FAP ablation,Level 3 fraction within compartment,Immune,Ccr3+ eosinophil,6,4,0.0007266708969141168,0.0,-0.07266708969141168,-0.14997935773840168,-0.016235272288708334,6.0,0.14910121665165135,200,0.23359190608758712
FAP ablation,Level 3 fraction within compartment,Immune,Conventional B cell,6,4,0.15688295858719006,0.01659402865444345,-14.028892993274662,-21.366766538989715,-7.268125315686505,0.0,0.013921913328143975,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Immune,Conventional T cell,6,4,0.04474927324313446,0.1703714478028484,12.562217455971394,2.2130628143546405,26.624540479739235,21.0,0.0699543585800103,200,0.126455955894634
FAP ablation,Level 3 fraction within compartment,Immune,Conventional dendritic cell,6,4,0.016313247311826783,0.003155996393146975,-1.3157250918679808,-2.65417464670637,-0.03049678841472083,5.5,0.18689377489915082,200,0.2583531594194144
FAP ablation,Level 3 fraction within compartment,Immune,Cxcr2+ neutrophil,6,4,0.03892459879476198,0.0,-3.892459879476198,-6.350926313347492,-1.3375799961041233,2.0,0.03072784224986109,200,0.06877183741635577
FAP ablation,Level 3 fraction within compartment,Immune,Cycling immune cell,6,4,0.007338670338307401,0.02314317723906635,1.580450690075895,-0.37417660496219696,3.669413437955323,16.0,0.45554509378932995,200,0.509776652573774
FAP ablation,Level 3 fraction within compartment,Immune,Follicular B cell,6,4,0.0097424278579855,0.019809024429653325,1.0066596571667825,-1.0678275951791318,3.0793917710126433,13.0,0.9140619587353949,200,0.9339328708818165
FAP ablation,Level 3 fraction within compartment,Immune,Folr2+ resident macrophage,6,4,0.1768227713841873,0.15976145862109098,-1.706131276309633,-14.050058531542449,9.648158151586955,14.0,0.7491191330005953,200,0.8001954375233631
FAP ablation,Level 3 fraction within compartment,Immune,Foxp3+ regulatory T cell,6,4,0.0436111457376124,0.020207758903766877,-2.340338683384552,-5.295470105332353,0.8828142728164605,5.0,0.16452181748948447,200,0.23614873724601926
FAP ablation,Level 3 fraction within compartment,Immune,Gamma-delta T/NK cell,6,4,0.00855238899375515,0.02169809053386405,1.31457015401089,-0.6421941147290926,3.6950634897150385,15.0,0.5940323405990415,200,0.6492911629803477
FAP ablation,Level 3 fraction within compartment,Immune,Gamma-delta T/NK-like cell,6,4,0.0291535957259542,0.33852710684983556,30.937351112388136,16.074596230224646,43.576210169867466,24.0,0.01421403886908205,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Immune,IL-17+ gamma-delta T cell,6,4,0.0044593901769996325,0.004057709648331825,-0.04016805286678072,-0.6619732551165882,0.7865140645197612,7.5,0.37892286286926913,200,0.4452343638713912
FAP ablation,Level 3 fraction within compartment,Immune,IL-22+ ILC3-like cell,6,4,0.004756298178116584,0.004057709648331825,-0.06985885297847585,-0.5680892300357733,0.753546628679896,6.0,0.23519564042349617,200,0.2980228797098367
FAP ablation,Level 3 fraction within compartment,Immune,IL-5/IL-13+ ILC2,6,4,0.005816536090563433,0.00852588125530995,0.2709345164746516,-0.7203548130546091,1.3475592442319966,12.0,1.0,200,1.0
FAP ablation,Level 3 fraction within compartment,Immune,Inflammatory monocyte/macrophage,6,4,0.10391442102487226,0.007664562669071225,-9.624985835580103,-15.071340702905097,-4.487202753812225,1.0,0.023436344097303736,200,0.05917644135048021
FAP ablation,Level 3 fraction within compartment,Immune,Inflammatory neutrophil,6,4,0.04293439232413582,0.0016705150189984998,-4.1263877305137315,-7.7223790695231,-1.5364593748179058,0.0,0.013921913328143975,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Immune,Mast cell/basophil,6,4,0.0012270509922489333,0.00090171325518485,-0.03253377370640834,-0.19844648196707,0.16306354680418333,10.5,0.8101812364104736,200,0.8461892913620501
FAP ablation,Level 3 fraction within compartment,Immune,Mature B cell,6,4,0.1520109478140609,0.001352569882777275,-15.065837793128365,-20.20210813965448,-9.669028868976554,0.0,0.013061845200729446,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Immune,Naive T cell,6,4,0.0024094440541395997,0.000450856627592425,-0.19585874265471748,-0.5144768917321817,0.03138566581845417,7.0,0.30610346625699913,200,0.36889392087381945
FAP ablation,Level 3 fraction within compartment,Immune,Naive conventional T cell,6,4,0.050257772412730016,0.011045987376014425,-3.921178503671559,-8.566658867042038,0.1908107117331574,4.0,0.10550172545634545,200,0.18365115172030505
FAP ablation,Level 3 fraction within compartment,Immune,Plasma cell,6,4,0.027672852051010863,0.11501755792653437,8.734470587552352,1.1343774088105567,17.854996808410256,21.0,0.0699543585800103,200,0.126455955894634
FAP ablation,Level 3 fraction within compartment,Stromal,Ackr4+ Pi16-like fibroblast,6,4,0.03482619725812089,0.398575974863036,36.37497776049151,22.37816281325464,50.738413640711094,24.0,0.01421403886908205,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Stromal,Apod+ Wnt5a+ trophic fibroblast,6,4,0.0243888997345624,0.10835063795355876,8.396173821899636,7.265627460898282,9.694734472978661,24.0,0.01421403886908205,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Stromal,Ccl7+ Cxcl1+ inflammatory fibroblast,6,4,0.16251377423043223,0.11320535278034782,-4.930842145008441,-14.156768542964434,4.251823583132336,8.0,0.45554509378932995,200,0.509776652573774
FAP ablation,Level 3 fraction within compartment,Stromal,Clec3b+ Has1+ matrix fibroblast,6,4,0.1264617345153698,0.03172766382862233,-9.473407068674748,-15.650278389468998,-3.220775949847056,5.0,0.16580656019401352,200,0.23614873724601926
FAP ablation,Level 3 fraction within compartment,Stromal,Cxcl13+ fibroblast,6,4,0.032517917306257055,0.1736531634318505,14.113524612559344,9.955225635774317,18.899389502320886,24.0,0.01421403886908205,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Stromal,ECM-rich fibroblast,6,4,0.2961142815117708,0.1093074816601345,-18.680679985163636,-33.403538086487735,-4.679314826976552,6.0,0.24095466870157012,200,0.2980228797098367
FAP ablation,Level 3 fraction within compartment,Stromal,Fibroblast (subtype unresolved),6,4,0.03884020882631623,0.020510198247273726,-1.8330010579042506,-3.9759618455217764,0.12679785763954127,5.0,0.16580656019401352,200,0.23614873724601926
FAP ablation,Level 3 fraction within compartment,Stromal,Il1r1+ fibroblast,6,4,0.27585698992671864,0.001840267309818075,-27.40167226169006,-37.69891395381011,-17.625439582100597,0.0,0.013921913328143975,200,0.04453732178979042
FAP ablation,Level 3 fraction within compartment,Stromal,Pdgfra+ Wnt5a+ fibroblast,6,4,0.0031380056753709837,0.017149983193510278,1.4011977518139294,0.10037705094159496,2.7112915605265893,19.5,0.12361040236823521,200,0.20033410038989846
FAP ablation,Level 3 fraction within compartment,Stromal,Wif1+ BMP-niche fibroblast,6,4,0.005341991015081051,0.025679276731848125,2.0337285716767073,0.26693845656220144,3.631200542026597,18.5,0.199457609820622,200,0.2604029905991454
alpha5beta1 blockade,Compartment recovery,Epithelial,Epithelial,6,12,0.31437301207644053,0.9841110135017009,66.97380014252604,52.71416155416762,81.02849406340209,72.0,0.0008845671563050018,200,0.0008845671563050018
alpha5beta1 blockade,Compartment recovery,Immune,Immune,6,12,0.47803910442176184,0.009770243299086982,-46.82688611226749,-65.05046277640245,-27.988167529013836,0.0,0.0008845671563050018,200,0.0008845671563050018
alpha5beta1 blockade,Compartment recovery,Stromal,Stromal,6,12,0.14044372029434343,0.00011931666096957499,-14.032440363337386,-16.63193913875854,-11.529412355817978,0.0,0.0005031118117304816,200,0.0008845671563050018
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Absorptive-secretory transitional epithelial,6,12,0.004782083372942233,0.0016115380322498,-0.3170545340692433,-0.44670412545847193,-0.18816140162567482,2.0,0.0016941978698124809,200,0.0061251769139374305
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Colonocyte-like epithelial cell,6,12,0.010121197662254267,0.0029380480635683996,-0.7183149598685868,-1.0998300053225862,-0.3690937415726889,3.0,0.0023352973555886376,200,0.007376150968329977
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Enteroendocrine cell,6,12,0.00048377040043038336,0.0009764833542637749,0.04927129538333916,-0.037594594546254655,0.11432777119529283,60.0,0.02693750147519528,200,0.04521652033336351
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Enteroendocrine-secretory transitional cell,6,12,0.0053646803642442495,0.020663167219256654,1.5298486855012405,1.1408184425930574,1.9183170600249022,72.0,0.0008845671563050018,200,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,IFN-responsive absorptive colonocyte,6,12,0.007193811572431267,0.00010382287524455336,-0.7089988697186714,-1.0094438621275907,-0.41692859785560465,0.0,0.00038218399805330674,200,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,IFN/MHC-II-responsive epithelial,6,12,0.7613813074205321,0.0058015926687306095,-75.55797147518015,-76.9844246886673,-73.9904298267103,0.0,0.0008845671563050018,200,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Inflammatory Zg16+ secretory epithelial,6,12,0.004715632688400934,0.049447038175899294,4.473140548749837,4.095076520625591,4.862838914956935,72.0,0.0008845671563050018,200,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Injury/inflammatory epithelial,6,12,0.01070823327246565,0.394797085014543,38.40888517420773,21.04752433319799,56.006347650147,72.0,0.0008845671563050018,200,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Mature absorptive colonocyte,6,12,0.12932851392800118,0.10341287350701873,-2.591564042098245,-3.7618001361686173,-1.371204451495701,5.0,0.004282230007600965,200,0.010592884755644492
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Reg4+ deep-crypt secretory epithelial,6,12,0.007828577988398618,0.00469282348305675,-0.31357545053418684,-0.5671981219495025,-0.07121776885321018,15.0,0.05485778399010964,200,0.078130783258641
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Satb2+ epithelial-like transitional cell,6,12,0.04590099103918698,9.139230696116916e-07,-4.590007711611737,-5.799532121908866,-3.674459517124399,0.0,0.00015570742655301556,200,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Secretory-absorptive transitional epithelial,6,12,0.0023657801501670832,1.5054994397170025e-05,-0.23507251557699133,-0.33867468667335965,-0.12028312967536717,7.0,0.0023967463435868265,200,0.007376150968329977
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Zg16+ secretory epithelial,6,12,0.009825420140544766,0.41553955868870146,40.57141385481567,23.450686321852338,57.43345910535292,72.0,0.0008845671563050018,200,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Activated B cell,6,12,0.06186331374740539,0.0,-6.186331374740539,-9.313519976004931,-3.40987781707437,0.0,7.48574411268451e-05,200,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Activated dendritic cell,6,12,0.005628334132420417,0.0075423252482749,0.19139911158544826,-0.46383983700961584,0.946794119246175,28.0,0.4529888046158861,200,0.5069160432606344
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,C1q+ macrophage,6,12,0.0042314981296665,0.03093778202473856,2.670628389507206,-0.4365211093710131,7.94395753726294,26.0,0.3418281289774068,200,0.39185175760824675
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Ccr3+ eosinophil,6,12,0.0007266708969141168,0.19998442716526052,19.925775626834643,12.823296325803971,27.15297442871565,67.5,0.0035170353479530327,200,0.009183370075210697
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Conventional B cell,6,12,0.15688295858719006,0.004685702783528859,-15.21972558036612,-21.963836977540048,-8.899770510790995,0.0,0.00038218399805330674,200,0.0034645546955279233
