metric,marker,group,n,group_median,group_q25,group_q75,group_mean,group_sd
median,OSM,WD,6,-18476.02277156275,-27993.762375079797,-3682.66694057507,-21330.413445616698,22686.522261080514
median,OSM,FD,5,-12334.290302296497,-19552.157494699622,3636.069981085558,-11988.640692747696,22488.943333696432
median,OSM,FC,6,-1151.9170218125732,-2194.86733825713,3294.5764535243206,769.3956945936076,5161.048199825258
median,OSM,FG,6,-9901.027331086792,-12738.86702097044,-8819.612963361913,-11239.923119371948,6088.2259905636265
median,CXCR4,WD,6,139.90714781755966,-111.25366862849877,1147.3584778069303,982.9046776685723,2812.664005838163
median,CXCR4,FD,5,1644.524883659702,1155.3200930456435,2003.1332318042116,1478.4905390410947,791.8941855678721
median,CXCR4,FC,6,1702.7558318449667,1322.9002851194127,1954.0274872611103,1638.960156959624,477.37776856354503
median,CXCR4,FG,6,1018.5212819607909,550.7612245805772,1358.3045057661393,849.3372662700804,680.3953234815002
median,MX1,WD,6,-3230.8553914460363,-6263.185484939463,-494.44457776500354,-4420.637706136774,6147.883905971254
median,MX1,FD,5,-2933.8666513018547,-4155.020332722468,1761.5450239762508,-2124.4101756764185,5501.946744616044
median,MX1,FC,6,3292.6391125563223,1479.5499160132633,5890.392732839253,3936.4252712685397,2896.254976593585
median,MX1,FG,6,417.0462119647167,-404.8841401844352,1110.0127436780965,949.5149136276247,2160.343895166301
median,PADI4,WD,6,1163.9446717414176,266.22194180082613,1482.7815932353371,807.8871197333425,1117.048790857123
median,PADI4,FD,5,1443.674674676287,1284.909270777372,1665.4708967069844,1668.3240045251764,1080.1163642751187
median,PADI4,FC,6,4684.269776921434,4308.3483369886435,5552.542811642204,4894.150715420702,848.5340145866285
median,PADI4,FG,6,7636.867457453019,5338.199844580334,9259.65942668772,7499.638754473945,2656.097220222318
median,NAMPT,WD,6,-137.74964978730068,-229.08850605944994,-39.24383629589448,-137.07689173601176,284.5725426262112
median,NAMPT,FD,5,-16.591832872057783,-182.6759420569304,173.63603734852927,49.59424135710856,320.6278707887003
median,NAMPT,FC,6,50.90117849248732,30.17167344621163,287.92230434753765,183.33885900080506,242.0850064770195
median,NAMPT,FG,6,-113.77173733252803,-193.8773357380187,-72.63661842734402,-131.53260466177878,101.00475560160446
median,CD177,WD,6,-5795.962622754721,-6095.019794932767,333.3664108238295,-3699.703810563254,5343.448261109022
median,CD177,FD,5,-5029.36204398893,-7432.44790691944,-4074.932133719875,-4922.94224243566,2833.677289623895
median,CD177,FC,6,-9865.396984110364,-10622.24327487688,-9075.447217751294,-9758.148564269193,1368.202965280281
median,CD177,FG,6,-13697.386277159821,-14272.624427110097,-9862.652145800177,-13130.554095069776,4114.736399196355
median,CD11b,WD,6,18442.013770037716,12464.45733950888,23289.60088392928,27520.854673740996,27379.628991882804
median,CD11b,FD,5,13425.387913816674,11236.279898057412,20614.450774613677,17437.03709418914,8633.070270246244
median,CD11b,FC,6,7553.066590908,6422.730480684833,9321.35606687166,7755.090296224898,2440.0861278817156
median,CD11b,FG,6,15007.03494948414,14579.116318287479,21622.07742128475,18387.820085412368,5871.474265737277
median,CD45,WD,6,14710.221183722131,13087.173602133891,15654.54793236652,15631.538189797668,4751.6961529097
median,CD45,FD,5,13339.245900564289,12080.736473871626,15179.796594707332,14538.245539115966,3686.977308810322
median,CD45,FC,6,20738.253177279712,19319.995563737626,29397.160270573073,23252.75883052143,7538.812288225652
median,CD45,FG,6,14469.778565640914,12183.200698257839,16505.369925740277,14783.531381351522,3475.150235356954
median,Ly6G,WD,6,13415.38519272108,12248.148383522846,15461.718931125988,17357.237304187885,12474.837454175975
median,Ly6G,FD,5,19583.95909071907,15926.585845970494,21903.99666131044,19678.232875618112,4731.226277070502
median,Ly6G,FC,6,12423.23959872386,10885.890618230558,13497.941647586442,13757.186611129771,4777.277998411329
median,Ly6G,FG,6,16744.802273508918,14302.070379077257,17714.53347014131,17566.115053230827,5793.848177760862
median,F4/80,WD,6,3343.4300674612527,2410.9996057038097,3957.5632195905587,4196.380785972159,2979.4876106601364
