compartment,sample,group,marker,channel,n,median,mean,q25,q75,negative_percent,raw_reconstructed_median,role
neutrophil,WD1,WD,CXCR4,U820-A,127,1409.838496894532,4570.848891909435,271.3954398485622,4598.355733483152,18.89763779527559,4829.7177734375,phenotype
neutrophil,WD1,WD,OSM,B515-A,127,-699.3642883404634,-9908.87285888854,-16705.272847504955,6452.407692969453,52.75590551181102,4631.649414062503,phenotype
neutrophil,WD1,WD,PADI4,R710-A,127,1374.637682473588,2403.598535108142,-329.133263195988,3592.0553665741627,28.346456692913385,13125.73828125,phenotype
neutrophil,WD1,WD,MX1,Y670-A,127,43.51238581189413,-1008.3950359602356,-4147.286373410112,2195.901282627264,49.60629921259843,6118.93310546875,phenotype
neutrophil,WD1,WD,NAMPT,R780-A,127,-128.96949401185685,19.31072660253661,-417.8745478625208,95.97477561552094,65.35433070866141,1843.6286621093757,phenotype
neutrophil,WD1,WD,CD177,Y586-A,127,-5924.269844143816,-5962.00007700569,-9212.801776819357,-3342.79607815188,81.88976377952756,5934.729003906252,phenotype
neutrophil,WD1,WD,CD45,V710-A,127,14741.946173899752,21039.541856517728,9748.323608337629,23639.048756473792,0.0,21842.578125000007,lineage diagnostic
neutrophil,WD1,WD,CD11b,U670-A,127,11315.26878450658,21738.46082712469,6859.308816867575,23185.898623828856,0.0,13892.2734375,lineage diagnostic
neutrophil,WD1,WD,Ly6G,V610-A,127,12781.04462592384,20113.998853269684,7362.489374913345,20681.98877791562,0.0,17499.455078125,lineage diagnostic
neutrophil,WD1,WD,F4/80,R670-A,127,2175.7448145534736,1399.5981980151453,-450.488552195202,4446.743382381673,32.28346456692913,9811.941406250002,lineage diagnostic
neutrophil,WD2,WD,CXCR4,U820-A,197,-1948.7900768446384,-1314.1021741495824,-3940.577513721482,9.952624706612095,74.61928934010153,9277.630859375,phenotype
neutrophil,WD2,WD,OSM,B515-A,197,-60811.09955670435,-63602.15435735802,-99852.6497591004,-18810.59553007779,93.4010152284264,5366.183105468752,phenotype
neutrophil,WD2,WD,PADI4,R710-A,197,1518.8295634892536,2081.392242841181,-891.3519537758103,4115.947143952878,36.04060913705584,43877.92968749999,phenotype
neutrophil,WD2,WD,MX1,Y670-A,197,-15206.16339205995,-16826.48390356305,-27777.00441539656,-4151.68270135128,88.3248730964467,26108.722656250007,phenotype
neutrophil,WD2,WD,NAMPT,R780-A,197,-256.6080728916851,-96.24166672488997,-1081.3298241655616,253.71025434639452,63.45177664974619,6345.136230468751,phenotype
neutrophil,WD2,WD,CD177,Y586-A,197,-10151.929848366935,-12210.705231752769,-23270.39465917448,-2614.187608922062,81.7258883248731,39189.93749999998,phenotype
neutrophil,WD2,WD,CD45,V710-A,197,24675.609036829694,26526.31008688977,13365.165715417204,36451.25162807406,0.0,60784.31250000002,lineage diagnostic
neutrophil,WD2,WD,CD11b,U670-A,197,82353.51968626473,94829.3631855362,24236.334549685744,152820.100324567,0.0,85315.3984375,lineage diagnostic
neutrophil,WD2,WD,Ly6G,V610-A,197,42115.34597510294,66838.15037214378,16134.951369362996,102858.12909725169,0.0,91234.828125,lineage diagnostic
neutrophil,WD2,WD,F4/80,R670-A,197,10075.270709261278,12605.154639948702,4765.582613615282,18704.700973672763,6.091370558375635,53838.49999999997,lineage diagnostic
neutrophil,WD3,WD,CXCR4,U820-A,261,-121.63684986832985,1476.4438801713811,-1023.276491754883,1706.0201252351792,54.78927203065134,4760.86865234375,phenotype
neutrophil,WD3,WD,OSM,B515-A,261,-24319.470645846617,-31256.679341866824,-53342.34660548002,2190.232940008095,70.11494252873564,4053.250488281259,phenotype
neutrophil,WD3,WD,PADI4,R710-A,261,-1032.3173669305183,-1184.7152936886448,-3134.02137438949,1110.9503973497967,62.45210727969349,16841.882812500004,phenotype
neutrophil,WD3,WD,MX1,Y670-A,261,-4353.395314396376,-6076.163936775469,-11389.0779703979,1399.6601863151377,66.28352490421456,9678.756835937502,phenotype
neutrophil,WD3,WD,NAMPT,R780-A,261,-146.5298055627445,-212.23296198315197,-647.2632895704377,169.44889920260073,60.53639846743295,2453.636474609375,phenotype
neutrophil,WD3,WD,CD177,Y586-A,261,2333.707014886982,8068.815257192454,-4713.978292473399,17563.390533259815,46.36015325670498,16154.7958984375,phenotype
neutrophil,WD3,WD,CD45,V710-A,261,12556.732738330353,18288.5314472882,8053.950691217538,24596.10283783603,0.0,27538.109375000004,lineage diagnostic
neutrophil,WD3,WD,CD11b,U670-A,261,15912.02300451578,21842.709841665845,9783.469592624544,27586.731429867334,0.0,26078.798828125004,lineage diagnostic
neutrophil,WD3,WD,Ly6G,V610-A,261,15932.383321661877,29550.8993742645,7126.583378748848,39082.05517447239,0.0,31550.623046875,lineage diagnostic
neutrophil,WD3,WD,F4/80,R670-A,261,2153.690149564188,2981.9180092544807,-474.0453530377791,4959.988870227839,30.65134099616858,16902.322265624993,lineage diagnostic
neutrophil,WD4,WD,CXCR4,U820-A,337,359.9184205441249,853.0381031312933,-405.7437573066351,1540.2067163011825,38.57566765578635,4123.943847656251,phenotype
neutrophil,WD4,WD,OSM,B515-A,337,-12632.574897278888,-23271.649780603668,-24182.335903688898,-5816.950499563875,86.94362017804154,2576.7729492187545,phenotype
neutrophil,WD4,WD,PADI4,R710-A,337,953.2516610092472,375.7571162210836,-1603.6420611727397,2821.3981956732337,36.20178041543027,14498.0087890625,phenotype
neutrophil,WD4,WD,MX1,Y670-A,337,-2108.3154684956967,-4567.182756779254,-5708.377151244107,165.67324238979114,73.59050445103857,8856.593750000004,phenotype
neutrophil,WD4,WD,NAMPT,R780-A,337,-9.335283723907027,1.9620302405981456,-389.4252954443756,433.70463115922087,50.14836795252226,2360.8935546875,phenotype
neutrophil,WD4,WD,CD177,Y586-A,337,-5667.655401365628,-1586.2268393122572,-9377.883898304524,-1375.6118103914562,76.8545994065282,9723.444335937504,phenotype
neutrophil,WD4,WD,CD45,V710-A,337,11177.696477659592,16273.750527427075,7243.87811383708,18893.93486882684,0.0,19967.529296875004,lineage diagnostic
neutrophil,WD4,WD,CD11b,U670-A,337,20972.00453555965,30211.09745245116,12784.300665258022,34962.61171358699,0.0,24214.093750000004,lineage diagnostic
neutrophil,WD4,WD,Ly6G,V610-A,337,12070.516302722515,20067.723492617224,6835.006299439111,24266.6642614759,0.0,23845.05078125,lineage diagnostic
neutrophil,WD4,WD,F4/80,R670-A,337,3570.0961557676865,4255.312952409646,1691.138890905093,5813.267556932438,10.979228486646884,16598.794921874996,lineage diagnostic
neutrophil,WD5,WD,CXCR4,U820-A,301,6278.202200194751,11800.554595153666,2096.929017115002,14734.489007364033,3.986710963455149,9879.764648437502,phenotype
neutrophil,WD5,WD,OSM,B515-A,301,-301.44500070568847,-5999.888036149752,-11329.249965894218,4575.317772865833,50.49833887043189,6453.047363281252,phenotype
neutrophil,WD5,WD,PADI4,R710-A,301,1995.7091429604657,2004.288693636525,-605.0497397612068,4940.607672210541,29.900332225913623,14852.0185546875,phenotype
neutrophil,WD5,WD,MX1,Y670-A,301,2000.3177607733155,12551.370383361864,101.6447856111889,4993.463682812087,24.58471760797342,9356.140625,phenotype
neutrophil,WD5,WD,NAMPT,R780-A,301,291.996946147774,571.9685521139447,36.249002048761554,656.7295404524173,21.2624584717608,2942.302978515625,phenotype
neutrophil,WD5,WD,CD177,Y586-A,301,-6151.93644519575,-8731.665410856058,-12883.5147531287,-3144.2883877984405,85.71428571428571,6455.448730468747,phenotype
neutrophil,WD5,WD,CD45,V710-A,301,15958.748518522108,20679.55155391056,9869.35205639164,26489.54456012942,0.0,21578.35546875,lineage diagnostic
neutrophil,WD5,WD,CD11b,U670-A,301,10510.179031546752,16270.960559190467,7320.931122501727,17056.464824892744,0.0,15192.385742187502,lineage diagnostic
