metric,marker,H,df,p_permutation,p_chisquare,permutations,mc_standard_error,n,q_BH_10
median,OSM,5.630434782608688,3,0.12745,0.13104200847490524,99999,0.0010545449136950024,23,0.15659
median,CXCR4,5.3905797101449195,3,0.14311,0.145331623187526,99999,0.0011073821738677213,23,0.15659
median,MX1,8.805072463768113,3,0.02267,0.031998022393391494,99999,0.0004707023592462651,23,0.04534
median,PADI4,17.576086956521735,3,1e-05,0.0005378765156318174,99999,9.999949999874999e-06,23,0.0001
median,NAMPT,8.155072463768107,3,0.03316,0.04291321864583954,99999,0.0005662191660479182,23,0.055266666666666665
median,CD177,14.247101449275362,3,0.00028,0.002587390064594893,99999,5.290761759898096e-05,23,0.0013999999999999998
median,CD11b,12.207246376811582,3,0.00185,0.006705913351954768,99999,0.00013588883324247065,23,0.004625000000000001
median,CD45,6.078985507246372,3,0.10105,0.10783000902119423,99999,0.0009530944208209384,23,0.14435714285714285
median,Ly6G,5.187681159420279,3,0.15659,0.15855889296916026,99999,0.0011492152622550747,23,0.15659
median,F4/80,13.493478260869566,3,0.00052,0.0036823418694806316,99999,7.20922742046608e-05,23,0.0017333333333333333
mean,OSM,9.822463768115938,3,0.01195,0.02013713689737666,99999,0.00034361602843872114,23,0.01991666666666667
mean,CXCR4,5.381159420289848,3,0.14336,0.1459219272469362,99999,0.0011081873054678076,23,0.14336
mean,MX1,9.521014492753636,3,0.01414,0.023108849185323067,99999,0.000373363902915105,23,0.0202
mean,PADI4,17.271014492753636,3,1e-05,0.0006215863903980228,99999,9.999949999874999e-06,23,0.0001
mean,NAMPT,5.9702898550724655,3,0.10851,0.11306466911796331,99999,0.0009835424744259903,23,0.1356375
mean,CD177,15.337681159420285,3,0.0001,0.0015496763563404722,99999,3.162119542332326e-05,23,0.0005
mean,CD11b,11.850724637681154,3,0.0026,0.007912406590496584,99999,0.00016103539983494311,23,0.0052
mean,CD45,13.702173913043481,3,0.00038,0.003339893766998918,99999,6.163242653019594e-05,23,0.0012666666666666668
mean,Ly6G,5.424637681159425,3,0.14137,0.1432162485888572,99999,0.0011017464458758196,23,0.14336
mean,F4/80,13.503623188405797,3,0.00056,0.0036649185887626386,99999,7.481219151983184e-05,23,0.0013999999999999998
