metric,marker,role,reference,comparison,n_reference,n_comparison,median_reference,median_comparison,difference_group_medians,hodges_lehmann_shift,U_comparison,rank_biserial,p_exact,allocations,ties,contrast_context,q_BH_60
median,OSM,phenotype,WD,FD,6,5,-18476.02277156275,-12334.290302296497,6141.732469266255,10825.774566837345,20.0,0.33333333333333326,0.42857142857142855,462,False,within recorded context,0.5844155844155844
median,OSM,phenotype,WD,FC,6,6,-18476.02277156275,-1151.9170218125732,17324.10574975018,20819.01512637383,28.0,0.5555555555555556,0.13203463203463203,924,False,cross-context; preparation day and design confounding,0.25555090071219105
median,OSM,phenotype,WD,FG,6,6,-18476.02277156275,-9901.027331086792,8574.99544047596,5708.318724510827,22.0,0.22222222222222232,0.5887445887445888,924,False,cross-context; preparation day and design confounding,0.735930735930736
median,OSM,phenotype,FD,FC,5,6,-12334.290302296497,-1151.9170218125732,11182.373280483924,11182.373280483924,20.0,0.33333333333333326,0.42857142857142855,462,False,cross-context; preparation day and design confounding,0.5844155844155844
median,OSM,phenotype,FD,FG,5,6,-12334.290302296497,-9901.027331086792,2433.262971209704,385.7869880528824,15.0,0.0,1.0,462,False,cross-context; preparation day and design confounding,1.0
median,OSM,phenotype,FC,FG,6,6,-1151.9170218125732,-9901.027331086792,-8749.11030927422,-10389.706661804059,1.0,-0.9444444444444444,0.004329004329004329,924,False,within recorded context,0.019980019980019977
median,CXCR4,phenotype,WD,FD,6,5,139.90714781755966,1644.524883659702,1504.6177358421423,1256.1905804343112,22.0,0.46666666666666656,0.24675324675324675,462,False,within recorded context,0.41125541125541126
median,CXCR4,phenotype,WD,FC,6,6,139.90714781755966,1702.7558318449667,1562.848684027407,1324.5706795481638,28.0,0.5555555555555556,0.13203463203463203,924,False,cross-context; preparation day and design confounding,0.25555090071219105
median,CXCR4,phenotype,WD,FG,6,6,139.90714781755966,1018.5212819607909,878.6141341432312,584.4999718291153,23.0,0.2777777777777777,0.48484848484848486,924,False,cross-context; preparation day and design confounding,0.6464646464646465
median,CXCR4,phenotype,FD,FC,5,6,1644.524883659702,1702.7558318449667,58.23094818526465,43.78897653338856,17.0,0.1333333333333333,0.7922077922077922,462,False,cross-context; preparation day and design confounding,0.8802308802308803
median,CXCR4,phenotype,FD,FG,5,6,1644.524883659702,1018.5212819607909,-626.0036016989111,-626.0036016989111,7.0,-0.5333333333333333,0.1774891774891775,462,False,cross-context; preparation day and design confounding,0.3170359052711994
median,CXCR4,phenotype,FC,FG,6,6,1702.7558318449667,1018.5212819607909,-684.2345498841757,-701.6565573097837,6.0,-0.6666666666666667,0.06493506493506493,924,False,within recorded context,0.1693958215697346
median,MX1,phenotype,WD,FD,6,5,-3230.8553914460363,-2933.8666513018547,296.9887401441815,2082.3531197824846,18.0,0.19999999999999996,0.6623376623376623,462,False,within recorded context,0.7642357642357642
median,MX1,phenotype,WD,FC,6,6,-3230.8553914460363,3292.6391125563223,6523.494504002359,7353.042716774862,34.0,0.8888888888888888,0.008658008658008658,924,False,cross-context; preparation day and design confounding,0.032467532467532464
median,MX1,phenotype,WD,FG,6,6,-3230.8553914460363,417.0462119647167,3647.901603410753,4204.128567919839,29.0,0.6111111111111112,0.09307359307359307,924,False,cross-context; preparation day and design confounding,0.21478521478521478
median,MX1,phenotype,FD,FC,5,6,-2933.8666513018547,3292.6391125563223,6226.505763858177,5376.854886080077,24.0,0.6000000000000001,0.12554112554112554,462,False,cross-context; preparation day and design confounding,0.25555090071219105
median,MX1,phenotype,FD,FG,5,6,-2933.8666513018547,417.0462119647167,3350.9128632665715,3301.6277044235685,20.0,0.33333333333333326,0.42857142857142855,462,False,cross-context; preparation day and design confounding,0.5844155844155844
