metric,marker,role,reference,comparison,n_reference,n_comparison,median_reference,median_comparison,difference_group_medians,hodges_lehmann_shift,U_comparison,rank_biserial,p_exact,allocations,ties,contrast_context,q_BH_60
median,OSM,phenotype,WD,FD,6,5,-18476.02277156275,-12334.290302296497,6141.732469266255,10825.774566837345,20.0,0.33333333333333326,0.42857142857142855,462,False,within recorded context,0.5844155844155844
median,OSM,phenotype,FC,FG,6,6,-1151.9170218125732,-9901.027331086792,-8749.11030927422,-10389.706661804059,1.0,-0.9444444444444444,0.004329004329004329,924,False,within recorded context,0.019980019980019977
median,CXCR4,phenotype,WD,FD,6,5,139.90714781755966,1644.524883659702,1504.6177358421423,1256.1905804343112,22.0,0.46666666666666656,0.24675324675324675,462,False,within recorded context,0.41125541125541126
median,CXCR4,phenotype,FC,FG,6,6,1702.7558318449667,1018.5212819607909,-684.2345498841757,-701.6565573097837,6.0,-0.6666666666666667,0.06493506493506493,924,False,within recorded context,0.1693958215697346
median,MX1,phenotype,WD,FD,6,5,-3230.8553914460363,-2933.8666513018547,296.9887401441815,2082.3531197824846,18.0,0.19999999999999996,0.6623376623376623,462,False,within recorded context,0.7642357642357642
median,MX1,phenotype,FC,FG,6,6,3292.6391125563223,417.0462119647167,-2875.5929005916055,-2485.9101920137286,6.0,-0.6666666666666667,0.06493506493506493,924,False,within recorded context,0.1693958215697346
median,PADI4,phenotype,WD,FD,6,5,1163.9446717414176,1443.674674676287,279.7300029348694,481.84512305420407,20.0,0.33333333333333326,0.42857142857142855,462,False,within recorded context,0.5844155844155844
median,PADI4,phenotype,FC,FG,6,6,4684.269776921434,7636.867457453019,2952.597680531585,2624.363284006265,29.0,0.6111111111111112,0.09307359307359307,924,False,within recorded context,0.21478521478521478
median,NAMPT,phenotype,WD,FD,6,5,-137.74964978730068,-16.591832872057783,121.1578169152429,156.45464688156153,18.0,0.19999999999999996,0.6623376623376623,462,False,within recorded context,0.7642357642357642
median,NAMPT,phenotype,FC,FG,6,6,50.90117849248732,-113.77173733252803,-164.67291582501537,-247.8786901877093,0.0,-1.0,0.0021645021645021645,924,False,within recorded context,0.018552875695732836
median,CD177,phenotype,WD,FD,6,5,-5795.962622754721,-5029.36204398893,766.6005787657914,-1298.7171276682125,14.0,-0.06666666666666665,0.9307359307359307,462,False,within recorded context,0.986557302346776
median,CD177,phenotype,FC,FG,6,6,-9865.396984110364,-13697.386277159821,-3831.989293049457,-3413.5478644599507,10.0,-0.4444444444444444,0.24025974025974026,924,False,within recorded context,0.41125541125541126
median,CD11b,gate-conditioned lineage diagnostic,WD,FD,6,5,18442.013770037716,13425.387913816674,-5016.625856221042,-1531.7104146297552,12.0,-0.19999999999999996,0.6623376623376623,462,False,within recorded context,0.7642357642357642
median,CD11b,gate-conditioned lineage diagnostic,FC,FG,6,6,7553.066590908,15007.03494948414,7453.9683585761395,8483.519070855558,36.0,1.0,0.0021645021645021645,924,False,within recorded context,0.018552875695732836
median,CD45,gate-conditioned lineage diagnostic,WD,FD,6,5,14710.221183722131,13339.245900564289,-1370.9752831578426,-934.6767231538997,13.0,-0.1333333333333333,0.7922077922077922,462,False,within recorded context,0.8802308802308803
median,CD45,gate-conditioned lineage diagnostic,FC,FG,6,6,20738.253177279712,14469.778565640914,-6268.474611638798,-7686.627905314148,5.0,-0.7222222222222222,0.04112554112554113,924,False,within recorded context,0.12987012987012989
median,Ly6G,gate-conditioned lineage diagnostic,WD,FD,6,5,13415.38519272108,19583.95909071907,6168.573897997989,5752.923335424656,23.0,0.5333333333333334,0.1774891774891775,462,False,within recorded context,0.3170359052711994
median,Ly6G,gate-conditioned lineage diagnostic,FC,FG,6,6,12423.23959872386,16744.802273508918,4321.562674785058,3791.0645346498522,27.0,0.5,0.17965367965367965,924,False,within recorded context,0.3170359052711994
median,F4/80,gate-conditioned lineage diagnostic,WD,FD,6,5,3343.4300674612527,3977.319565170647,633.8894977093942,525.9681204555768,18.0,0.19999999999999996,0.6623376623376623,462,False,within recorded context,0.7642357642357642
median,F4/80,gate-conditioned lineage diagnostic,FC,FG,6,6,-1192.1087422226624,1403.3157751820959,2595.4245174047583,2451.4714873469916,36.0,1.0,0.0021645021645021645,924,False,within recorded context,0.018552875695732836
