subset,marker,kind,family,n_PBS,n_GCV,PBS_median,GCV_median,PBS_q25,PBS_q75,GCV_q25,GCV_q75,status,p_exact,rank_biserial,median_difference,hodges_lehmann_shift,q_family,family_test_count,q_all_tests
All neutrophils / viable cells,Frequency (%),total abundance,Abundance and total-neutrophil MFI,6,5,0.7138742983404713,0.7337045528987881,0.4261792985572801,1.0925373510339382,0.714008305201207,1.1423668814937917,tested,0.6623376623376623,0.19999999999999996,0.019830254558316773,0.1023665050328188,0.9395952884324977,61.0,1.0
All neutrophils / CD45-CD11b gate,Frequency (%),total abundance,Abundance and total-neutrophil MFI,6,5,20.847871362111867,28.8659793814433,18.769326401446655,21.092747929178504,19.20768307322929,29.032258064516128,tested,0.6623376623376623,0.19999999999999996,8.018108019331432,7.788477912988114,0.9395952884324977,61.0,1.0
Saved: cd177+ all neutrophil,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,17.917474707352973,29.464285714285715,13.44178424397458,42.197039462464616,9.402720283855707,32.704402515723274,tested,0.6623376623376623,-0.19999999999999996,11.546811006932742,-5.109451828235359,0.9395952884324977,61.0,1.0
Saved: cd177+ all neutrophil/cxcr4+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,4.4543796432225635,4.4352454169130695,1.6519077548540855,6.990064289888954,3.5714285714285716,4.53125,tested,0.9307359307359307,0.06666666666666665,-0.019134226309494018,0.37932872141327584,1.0,61.0,1.0
Saved: cd177+ all neutrophil/cxcr4+/padi4+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,0.47405675693226834,1.4675052410901468,0.09578544061302682,1.9128964811601938,0.8870490833826138,1.71875,tested,0.6190476190476191,0.19999999999999996,0.9934484841578785,0.41299232645034545,0.9395952884324977,61.0,1.0
Saved: cd177+ all neutrophil/cxcr4- osm+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,0.0,0.0,0.0,0.0,0.0,0.0,tested,0.45454545454545453,0.19999999999999996,0.0,0.0,0.8402203856749311,61.0,0.963302752293578
Saved: cd177+ all neutrophil/mx1+ cxcr4-,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,0.0,0.0,0.0,0.0,0.0,0.15625,tested,0.18181818181818182,0.3999999999999999,0.0,0.0,0.7922077922077922,61.0,0.8636363636363636
Saved: cd177+ all neutrophil/padi4+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,5.18612499019018,6.49895178197065,4.074277436388701,8.954333014246297,3.1933767001774096,7.142857142857143,tested,0.9307359307359307,0.06666666666666665,1.31282679178047,1.1208702822995116,1.0,61.0,1.0
Saved: cd177+ all neutrophil/padi4+ cxcr4-,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,1.119807796985566,0.8385744234800838,0.6942732927827124,1.460159750633158,0.5913660555884093,2.5,tested,0.9307359307359307,0.06666666666666665,-0.28123337350548216,0.2794550723859081,1.0,61.0,1.0
Saved: cd177- all neutrophils,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,78.33752579493591,66.07142857142857,52.89914389986016,81.59498780926495,61.84486373165618,78.4742755765819,tested,1.0,0.0,-12.266097223507344,0.13674978164599594,1.0,61.0,1.0
Saved: cd177- all neutrophils/cxcr4+ osm+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,3.048266368407468,14.78415138971023,2.1982029289923566,12.972014189988176,9.84375,42.857142857142854,tested,0.12554112554112554,0.6000000000000001,11.735885021302762,11.735885021302762,0.7922077922077922,61.0,0.8055555555555556
