sample,group,subset,events,immediate_parent_events,percent_immediate_parent
FD1,FD,Saved: cd177+ all neutrophil,159,1691,9.402720283855707
FD1,FD,Saved: cd177+ all neutrophil/cxcr4+,75,159,47.16981132075472
FD1,FD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,15,75,20.0
FD1,FD,Saved: cd177+ all neutrophil/cxcr4- osm+,0,159,0.0
FD1,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,0,159,0.0
FD1,FD,Saved: cd177+ all neutrophil/padi4+,54,159,33.9622641509434
FD1,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,10,159,6.289308176100629
FD1,FD,Saved: cd177- all neutrophils,1327,1691,78.4742755765819
FD1,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,250,1327,18.839487565938207
FD1,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,97,1327,7.309721175584024
FD1,FD,Saved: cd177- all neutrophils/cxcr4- osm+,49,1327,3.6925395629238884
FD1,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,168,1327,12.660135644310476
FD1,FD,Saved: cd177- all neutrophils/mx1+ osm+,165,1327,12.434061793519216
FD1,FD,Saved: cd177- all neutrophils/osm+ padi4+,147,1327,11.077618688771665
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,476,1327,35.87038432554635
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,113,1327,8.51544837980407
FD1,FD,Saved: cd177- all neutrophils/padi4+ mx1+,84,1327,6.330067822155238
FD1,FD,Saved: cxcr4+,1081,1691,63.926670609107035
FD1,FD,Saved: cxcr4+/cd177 hi,73,1081,6.753006475485662
FD1,FD,"Saved: cxcr4+/mx1, osm+",93,1081,8.603145235892692
FD1,FD,"Saved: cxcr4+/mx1, padi4+",92,1081,8.51063829787234
FD1,FD,"Saved: cxcr4+/padi4, osm+",101,1081,9.343200740055504
FD1,FD,Saved: cxcr4+/padi4- or osm-,835,1081,77.24329324699353
FD1,FD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,778,835,93.17365269461078
FD1,FD,Saved: cxcr4-,510,1691,30.15966883500887
FD1,FD,Saved: cxcr4-/cd177 hi,86,510,16.862745098039216
FD1,FD,Saved: mx1+,106,1691,6.268480189237137
FD1,FD,Saved: mx1+/cd177 hi,0,106,0.0
FD1,FD,Saved: osm+,334,1691,19.75162625665287
FD1,FD,Saved: osm+/cd177 hi,0,334,0.0
FD1,FD,Saved: padi4+,119,1691,7.037256061502069
FD1,FD,Saved: padi4+/cd177 hi,1,119,0.8403361344537815
FD2,FD,Saved: cd177+ all neutrophil,33,112,29.464285714285715
FD2,FD,Saved: cd177+ all neutrophil/cxcr4+,4,33,12.121212121212121
FD2,FD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,2,4,50.0
FD2,FD,Saved: cd177+ all neutrophil/cxcr4- osm+,0,33,0.0
FD2,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,0,33,0.0
FD2,FD,Saved: cd177+ all neutrophil/padi4+,8,33,24.242424242424242
FD2,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,4,33,12.121212121212121
FD2,FD,Saved: cd177- all neutrophils,74,112,66.07142857142857
FD2,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,48,74,64.86486486486487
FD2,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,6,74,8.108108108108109
FD2,FD,Saved: cd177- all neutrophils/cxcr4- osm+,1,74,1.3513513513513513
FD2,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,39,74,52.7027027027027
FD2,FD,Saved: cd177- all neutrophils/mx1+ osm+,12,74,16.216216216216218
FD2,FD,Saved: cd177- all neutrophils/osm+ padi4+,33,74,44.5945945945946
FD2,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,42,74,56.75675675675676
