sample,group,subset,kind,marker,events,median,mean,eligible
FD1,FD,All neutrophils,total,OSM,1691,-12334.290302296497,-20576.004051007865,True
FD1,FD,All neutrophils,total,CXCR4,1691,2303.1018999482067,4443.475256051081,True
FD1,FD,All neutrophils,total,MX1,1691,-2933.8666513018547,-4827.64594650937,True
FD1,FD,All neutrophils,total,PADI4,1691,1443.674674676287,2156.197894707675,True
FD1,FD,All neutrophils,total,NAMPT,1691,-264.62244477481056,-321.90617328306763,True
FD1,FD,All neutrophils,total,CD177,1691,-5029.36204398893,-5251.48713870869,True
FD1,FD,All neutrophils,total,CD11b,1691,20614.450774613673,35803.783686934956,True
FD1,FD,All neutrophils,total,CD45,1691,12080.736473871626,15960.537615437905,True
FD1,FD,All neutrophils,total,Ly6G,1691,14606.654033100129,21831.441714794117,True
FD1,FD,All neutrophils,total,F4/80,1691,3682.335527291208,4391.777102580353,True
FD1,FD,Saved: cd177+ all neutrophil,saved gate,OSM,159,-53780.64416121146,-64560.70664554675,True
FD1,FD,Saved: cd177+ all neutrophil,saved gate,CXCR4,159,760.3861242517288,1809.7970096301851,True
FD1,FD,Saved: cd177+ all neutrophil,saved gate,MX1,159,-12721.695396429279,-16096.767909316217,True
FD1,FD,Saved: cd177+ all neutrophil,saved gate,PADI4,159,-728.3190778486166,-850.448578684463,True
FD1,FD,Saved: cd177+ all neutrophil,saved gate,NAMPT,159,-945.9624062275211,-1101.9300425739277,True
FD1,FD,Saved: cd177+ all neutrophil,saved gate,CD177,159,7480.111543171402,11288.473314546909,True
FD1,FD,Saved: cd177+ all neutrophil,saved gate,CD11b,159,52244.24850378275,62273.041214034674,True
FD1,FD,Saved: cd177+ all neutrophil,saved gate,CD45,159,10828.633463906384,13613.834129897099,True
FD1,FD,Saved: cd177+ all neutrophil,saved gate,Ly6G,159,15903.512824032538,28297.196556136656,True
FD1,FD,Saved: cd177+ all neutrophil,saved gate,F4/80,159,5616.345350199527,6534.410824884806,True
FD1,FD,Saved: cd177+ all neutrophil/cxcr4+,saved gate,OSM,75,-45467.491546425714,-57690.28998488414,True
FD1,FD,Saved: cd177+ all neutrophil/cxcr4+,saved gate,CXCR4,75,3284.039158537509,4838.352088356018,True
FD1,FD,Saved: cd177+ all neutrophil/cxcr4+,saved gate,MX1,75,-10806.843201010188,-14153.34686252585,True
