sample_id	Patient	alpha5beta1 adhesion_activated	alpha5beta1 adhesion_other	difference
CID003352-2	UC1	0.7021106003498713	0.640422602770451	0.06168799757942023
CID003356-1	UC1	0.9145055739964945	0.73184189474711	0.18266367924938443
CID003360-1	UC2	0.9334046171402572	0.7363700332538735	0.19703458388638373
CID003361-1	UC2	0.9414035544026234	0.8200093002153059	0.12139425418731742
CID003366-1	UC3	0.8159636135890376	0.5744971930923499	0.24146642049668765
CID003367-2	UC3	0.6095197687747824	0.5411100773002505	0.06840969147453191
CID003372-1	UC3	0.5462462002393002	0.5415170681423819	0.004729132096918276
CID003667-1	UC4	0.7480079457137806	0.5579841797449616	0.19002376596881898
CID003669-1	UC4	0.8431429673377024	0.607827267812033	0.23531569952566944
CID004696-1	UC5	0.6815297473601257	0.611523834595243	0.07000591276488277
CID004697-1	UC5	0.6844575596684205	0.6747932322055602	0.009664327462860278
CID004698-1	UC5	0.9364425521400024	0.8132455936941207	0.12319695844588163
CID004701-1	UC5	0.4082492466801594	0.5317664905765368	-0.12351724389637742
CID004703-1	UC6	0.8955085823113911	0.8099067229852992	0.08560185932609188
CID004704-1	UC6	0.6930602651569105	0.6605936385982146	0.03246662655869592
CID004705-1	UC6	0.7536840764057302	0.7998669798076167	-0.046182903401886466
CID004706-1	UC6	0.7261939567040604	0.7814113373488438	-0.05521738064478343
CID004707-1	UC6	1.0117390890705844	0.8863158300354597	0.12542325903512475
CID004739-1	UC22	0.6520858660146085	0.6201667459126265	0.031919120101981946
CID004740-1	UC22	0.6239449264409206	0.6971166600077373	-0.07317173356681672
CID004742-1	UC22	1.0140626194594944	0.8749315574768574	0.13913106198263703
CID004744-1	UC22	0.7845830599736331	0.6687785579970774	0.11580450197655567
CID004747-1	UC7	0.670048376666349	0.6803976945167008	-0.010349317850351869
CID004750-1	UC7	0.8023126754024359	0.5983799689026983	0.2039327064997376
CID005704-1	UC8	0.585560676329739	0.6404036350288687	-0.054842958699129696
CID005705-1	UC8	0.730667675947065	0.724453063087646	0.006214612859419044
CID005706-1	UC8	0.6592050277886445	0.7315307470132087	-0.07232571922456421
CID005707-1	UC8	0.7426005893691704	0.6202689164448069	0.12233167292436353
CID005708-1	UC8	0.7162688501161878	0.6056483112265795	0.11062053888960832
CID005713-1	UC9	0.905672847710057	0.7824731806524932	0.1231996670575638
CID005714-1	UC9	0.9781200718593842	0.7816923249078739	0.19642774695151033
CID005715-1	UC9	0.8019807934703306	0.7274566426084518	0.0745241508618788
CID005718-1	UC9	0.8600768195358146	0.6972102833506664	0.16286653618514824
CID005720-1	UC10	0.5967814844760135	0.6253263677911861	-0.028544883315172576
CID005721-1	UC10	0.6233583989872524	0.6239746912128757	-0.0006162922256233161
CID005723-1	UC10	0.9603848133974571	0.6824961820835466	0.2778886313139105
CID005724-1	UC10	0.8680384068898297	0.6961073351555337	0.171931071734296
CID005725-1	UC11	0.5421823249878085	0.5678726770735845	-0.02569035208577597
CID005726-1	UC11	0.8951580587053561	0.8480804476678434	0.047077611037512734
CID005728-1	UC11	0.5720088503260916	0.5192053834318617	0.05280346689422988
CID005729-1	UC11	0.8182278647484763	0.625754603220584	0.19247326152789235
CID005732-1	UC12	0.6739608649299728	0.6577347088674695	0.016226156062503216
CID005733-1	UC12	0.7838877443812421	0.5708557126701921	0.21303203171105
CID005735-1	UC12	0.6663528476424002	0.6786254186907884	-0.012272571048388192
CID005743-1	UC14	0.6667160688740685	0.8233040774867103	-0.15658800861264177
CID005744-1	UC14	0.7829474721064417	0.7181524009692797	0.06479507113716199
CID005745-1	UC14	0.7141659929080697	0.571475290244506	0.14269070266356365
CID005746-1	UC14	0.7074393431296606	0.5621764029457397	0.14526294018392094
CID006563-1	UC15	0.7710528459457882	0.7252256271887547	0.04582721875703344
CID006578-1	UC18	0.7336159021429923	0.7409252990104525	-0.007309396867460127
