feature	comparison	n_patients	median_delta	ci_low	ci_high	p_value	FDR
FAP inflammatory	Non_Remission	11	0.045530414886579565	-0.08066850865302427	0.13623669659238608	0.3203125	0.640625
FAP inflammatory	Remission	5	-0.1685410679733398	-0.4996015672278021	0.16202984132649098	0.1875	0.46875
FAP inflammatory	delta: remission vs nonremission	16	-0.21407148285991934			0.11492673992673993	0.21771978021978025
OSM response	Non_Remission	11	0.010389554139719093	-0.23957698607082797	0.1899542496386083	0.7646484375	0.9658203125
OSM response	Remission	5	0.02056836576628307	-0.39464314756371327	0.33198296042460945	1.0	1.0
OSM response	delta: remission vs nonremission	16	0.010178811626563977			0.9130036630036632	0.9130036630036632
activated FAP fibroblast fraction	Non_Remission	13	0.008955493543983364	0.0052880340680424905	0.01783140027726795	0.167724609375	0.640625
activated FAP fibroblast fraction	Remission	6	-0.01012563957361831	-0.06003101993797172	4.5370452164718625e-05	0.125	0.46875
activated FAP fibroblast fraction	delta: remission vs nonremission	19	-0.01908113311760167			0.012457614624797286	0.07474568774878372
alpha5beta1 adhesion	Non_Remission	11	0.038687425101079004	-0.04047447830752371	0.1274294284137198	0.3203125	0.640625
alpha5beta1 adhesion	Remission	5	-0.030212274638115506	-0.22309277292474317	0.07005156865893147	0.4375	0.546875
alpha5beta1 adhesion	delta: remission vs nonremission	16	-0.0688996997391945			0.14514652014652016	0.21771978021978025
myeloid feedback proxy	Non_Remission	11	-0.020493899796919957	-0.3021255265269496	0.27412253978862366	0.9658203125	0.9658203125
myeloid feedback proxy	Remission	2	-0.26990421448333934	-0.43906174655870545	-0.10074668240797324		
myeloid feedback proxy	delta: remission vs nonremission	13	-0.2494103146864194			0.3076923076923077	0.36923076923076925
neutrophil recruitment	Non_Remission	11	0.0036763866498005504	-0.08162834112280876	0.179685991939406	0.8310546875	0.9658203125
neutrophil recruitment	Remission	5	-0.09295007199303697	-0.614614128054146	0.16883512986269733	0.3125	0.5208333333333334
neutrophil recruitment	delta: remission vs nonremission	16	-0.09662645864283752			0.14514652014652016	0.21771978021978025
